ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΜΗΤΡΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παντελή,ΠΑΠΑΗΛΙΟΥ ΓΕΩΡΓΙΟΣ του Ηλία,ΡΟΥΣΙΑΣ ΜΑΡΙΝΟΣ του Ιωάννη,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΜΑΥΡΑ του Σπυρίδωνος,ΣΤΑΪΚΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Νέα Δημοκρατία,ΒΛΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΤΣΙΡΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΛΥΤΡΙΒΗ ΙΩΑΝΝΑ του Δημητρίου,ΠΑΠΑΗΛΙΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΛΥ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΗ ΔΕΣΠΟΙΝΑ του Αγγελου,ΗΛΙΟΠΟΥΛΟΥ ΔΑΦΝΗ του Γαβριήλ,ΚΟΛΟΚΟΤΡΩΝΗΣ ΒΑΣΙΛΕΙΟΣ του Θεοδώρου,ΣΚΑΝΤΖΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΧΑΡΜΠΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Κίνημα Αλλαγής,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΒΟΓΙΑΤΖΟΓΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ ΟΔΥΣΣΕΑΣ του Κωνσταντίνου,ΠΡΑΧΑΛΙΑΣ ΓΕΩΡΓΙΟΣ του Θεοδώρου,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΑΔΑΜΑΝΤΙΑ του Αριστείδη,Κ.Κ.Ε.,ΔΙΑΜΑΝΤΑΚΟΣ ΗΛΙΑΣ του Κωνσταντίνου,ΜΠΟΥΡΣΙΑΝΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΝΟΥΣΗ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΡΟΥΣΑΛΗΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΦΡΑΓΚΟΥ ΣΤΑΥΡΟΥΛΑ του Ιωάννη,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αγγελή,ΞΑΝΘΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Γεωργίου,ΡΩΣΣΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΠΡΙΦΤΗ ΕΥΓΕΝΙΑ του Γιοσήφ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΣΣΕΛΟΥΡΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΑΡΑΛΕΚΑ ΠΑΡΑΣΚΕΥΗ του Ιωάννη,ΛΙΑΜΠΟΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σαράντη,ΣΚΑΝΤΖΟΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΛΕΞΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΝΙΚΟΛΑΟΥ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΠΟΛΙΤΗ ΖΑΧΑΡΕΝΙΑ του Ηλία,Κ.Κ.Ε. (μ-λ),ΚΑΤΡΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΒΑΡΕΛΑ ΜΑΛΑΜΩ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΑΝΙΑΔΟΥ ΙΩΑΝΝΑ του Ιωάννη,ΔΡΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Κανέλλου,ΜΑΡΝΕΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΠΕΠΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΤΡΕΜΠΑ ΦΩΤΕΙΝΗ του Δημητρίου,Λαϊκή Ενότητα,ΑΛΕΞΑΝΔΡΗΣ ΣΑΡΑΝΤΟΣ του Νικολάου,ΓΕΩΡΓΙΟΠΟΥΛΟΥ ΙΟΥΛΙΑ (ΗΛΙΑΝΑ) του Δημητρίου,ΠΑΝΑΓΟΠΟΥΛΟΥ ΕΛΕΝΗ του Γεωργίου,ΣΤΑΘΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΟΥΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΜέΡΑ25,ΓΑΒΡΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΓΚΑΡΤΖΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΚΟΥΤΡΗ ΕΛΕΝΗ του Χρήστου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΡΤΑΓΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΔΑΣΚΑΛΟΠΟΥΛΟΥ ΣΠΥΡΙΔΟΥΛΑ του Γεωργίου,ΣΤΑΘΗΣ ΔΙΟΝΥΣΙΟΣ του Γρηγορίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΕΟΔΟΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου
45 - Αρκαδίας,235 E.T. Δήμου Τρίπολης,611,208,0,0,0,208,54,2,5,17,2,7,82,39,8,16,5,5,1,0,0,0,0,0,36,2,1,19,6,4,2,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,7,3,2,1,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,3,3,1,0,0,5,4
45 - Αρκαδίας,236 E.T. Δήμου Τρίπολης,639,187,4,1,5,182,56,4,18,6,2,10,77,47,2,15,9,2,5,2,0,1,0,1,17,0,0,14,1,0,10,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,1,0,1,0,4,0
45 - Αρκαδίας,237 E.T. Δήμου Τρίπολης,515,146,1,2,3,143,36,6,10,3,4,3,64,38,7,5,7,4,6,0,1,1,0,2,16,0,0,9,1,1,2,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,9,1,3,4,0,0,0,0,2,0
45 - Αρκαδίας,238 E.T. Δήμου Τρίπολης,538,195,2,1,3,192,53,4,14,7,5,6,93,48,3,14,2,6,2,0,0,0,0,0,21,0,0,16,2,2,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,6,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,0,0,0,2,0
45 - Αρκαδίας,239 E.T. Δήμου Τρίπολης,472,183,0,0,0,183,63,6,20,16,4,7,67,35,3,2,5,9,1,0,0,0,0,1,34,1,0,25,2,0,6,0,0,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
45 - Αρκαδίας,240 E.T. Δήμου Τρίπολης,548,269,1,1,2,267,80,5,17,21,6,13,106,68,11,2,4,1,8,2,0,1,0,2,49,1,1,34,4,2,7,0,0,4,0,0,2,1,0,0,1,0,3,2,0,0,0,0,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,1
45 - Αρκαδίας,241 E.T. Δήμου Τρίπολης,473,164,1,2,3,161,49,4,11,2,2,20,65,26,9,20,1,0,9,2,0,1,3,0,19,0,1,7,6,0,9,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
45 - Αρκαδίας,242 E.T. Δήμου Τρίπολης,480,170,2,0,2,168,30,0,6,1,0,12,94,42,6,31,4,0,8,0,0,1,2,0,12,0,0,6,2,1,16,5,0,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
45 - Αρκαδίας,243 E.T. Δήμου Τρίπολης,573,157,0,2,2,155,50,2,18,13,0,8,42,26,1,10,1,0,8,0,0,3,0,4,29,0,1,18,8,1,4,1,0,0,0,0,4,3,1,0,0,0,2,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,5,0,1,1,1,0,1,0,2,0
45 - Αρκαδίας,244 E.T. Δήμου Τρίπολης,580,145,1,1,2,143,55,6,14,15,4,9,51,22,8,10,3,2,1,0,0,1,0,0,19,0,0,17,1,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,0,0,0,0,2,1
45 - Αρκαδίας,245 E.T. Δήμου Τρίπολης,575,151,0,0,0,151,56,5,22,5,5,3,49,20,4,16,2,1,4,1,1,1,0,0,20,0,0,15,0,1,8,2,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,1,1,0,0,0,0
45 - Αρκαδίας,246 E.T. Δήμου Τρίπολης,580,151,0,0,0,151,48,8,15,10,1,7,43,19,4,12,1,0,0,0,0,0,0,0,32,1,1,19,7,0,6,0,0,1,0,2,3,1,0,0,0,0,5,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,2,0,0,0,0,0,0
45 - Αρκαδίας,247 E.T. Δήμου Τρίπολης,379,152,0,0,0,152,30,2,5,8,0,5,90,46,9,24,1,0,2,0,0,0,0,0,25,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
45 - Αρκαδίας,248 E.T. Δήμου Τρίπολης,376,140,6,0,6,134,49,2,12,16,1,4,44,22,1,4,2,10,2,0,0,0,0,0,28,0,0,19,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
45 - Αρκαδίας,249 E.T. Δήμου Τρίπολης,528,169,1,3,4,165,58,5,13,25,3,5,62,30,11,13,2,1,5,1,0,0,0,4,32,1,1,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,1,1
45 - Αρκαδίας,250 E.T. Δήμου Τρίπολης,168,68,0,0,0,68,20,5,5,0,1,5,29,20,0,4,1,0,1,0,0,0,0,1,6,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0
45 - Αρκαδίας,251 E.T. Δήμου Τρίπολης,396,70,0,1,1,69,13,2,1,4,1,3,42,32,3,6,0,0,3,0,0,3,0,0,7,0,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,252 E.T. Δήμου Τρίπολης,543,108,2,0,2,106,29,3,10,1,0,5,59,26,4,15,0,1,1,0,0,0,0,1,7,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,253 E.T. Δήμου Τρίπολης,534,119,1,0,1,118,29,0,6,2,1,2,68,28,5,11,3,2,2,1,0,0,0,0,13,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,254 E.T. Δήμου Τρίπολης,564,102,1,0,1,101,29,3,6,4,6,5,54,19,2,8,6,9,0,0,0,0,0,0,10,0,0,8,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,255 E.T. Δήμου Τρίπολης,561,97,1,0,1,96,30,6,4,7,1,4,49,25,2,6,1,5,1,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,256 E.T. Δήμου Τρίπολης,359,148,1,1,2,146,64,12,21,8,2,3,56,34,6,8,1,3,2,0,0,0,0,2,12,1,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,1,1
45 - Αρκαδίας,257 E.T. Δήμου Τρίπολης,476,191,0,1,1,190,62,2,25,16,5,13,76,43,14,8,5,5,4,0,0,1,2,0,13,1,0,8,4,0,16,14,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,5,3,0,1,1,1,0,0,1,0
45 - Αρκαδίας,258 E.T. Δήμου Τρίπολης,510,197,3,0,3,194,69,1,21,13,1,15,67,22,13,9,6,5,6,1,0,1,0,2,27,0,0,16,5,2,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,1,0
45 - Αρκαδίας,259 E.T. Δήμου Τρίπολης,366,134,0,1,1,133,33,6,10,7,0,3,62,40,0,13,2,0,8,0,0,0,2,1,9,0,0,6,2,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,6,2
45 - Αρκαδίας,260 E.T. Δήμου Τρίπολης,454,159,0,1,1,158,43,0,0,0,0,0,60,0,0,0,0,0,9,0,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,261 E.T. Δήμου Τρίπολης,634,188,2,2,4,184,56,4,8,22,2,6,84,44,0,20,9,4,3,0,0,0,0,0,20,0,0,11,3,4,4,2,1,0,0,0,5,3,0,0,0,0,1,1,0,0,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,262 E.T. Δήμου Τρίπολης,635,203,2,1,3,200,61,5,12,21,3,1,77,35,4,18,3,3,2,0,0,0,0,2,30,1,1,15,4,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,16,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,4,2
45 - Αρκαδίας,263 E.T. Δήμου Τρίπολης,660,123,0,2,2,121,39,4,11,7,0,8,43,26,0,9,1,2,4,0,0,0,1,1,16,1,0,11,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,6,5
45 - Αρκαδίας,264 E.T. Δήμου Τρίπολης,453,144,2,0,2,142,30,0,6,2,1,3,67,30,3,25,3,0,8,0,0,2,2,3,21,0,0,18,2,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
45 - Αρκαδίας,265 E.T. Δήμου Τρίπολης,367,130,8,2,10,120,46,4,7,13,0,9,52,26,1,20,1,2,4,0,0,1,0,3,7,0,1,2,1,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,1
45 - Αρκαδίας,266 E.T. Δήμου Τρίπολης,134,32,0,0,0,32,16,3,4,4,1,2,12,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,267 E.T. Δήμου Τρίπολης,242,78,2,0,2,76,28,5,7,1,1,6,34,17,2,6,0,1,1,0,1,0,0,0,4,0,0,1,1,0,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
45 - Αρκαδίας,268 E.T. Δήμου Τρίπολης,367,172,4,1,5,167,56,24,9,4,1,4,48,24,12,5,3,1,5,0,0,0,1,4,31,2,0,18,6,1,18,2,1,2,4,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
45 - Αρκαδίας,269 E.T. Δήμου Τρίπολης,447,230,2,1,3,227,59,28,11,7,1,4,84,38,11,15,3,3,8,0,0,1,0,6,36,0,0,21,11,0,26,5,2,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,7,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0
45 - Αρκαδίας,270 E.T. Δήμου Τρίπολης,530,198,5,0,5,193,30,0,11,6,0,6,99,50,7,26,4,2,9,1,0,1,2,4,15,2,0,8,0,0,12,6,1,2,0,0,2,2,0,0,0,0,1,1,0,0,0,0,9,4,0,1,0,0,0,0,2,1,0,0,0,0,6,2,1,0,1,2,7,0,2,2,0,0,0,0,1,1
45 - Αρκαδίας,271 E.T. Δήμου Τρίπολης,333,113,1,3,4,109,30,4,7,2,1,4,45,20,2,5,0,1,3,0,0,0,0,3,14,0,0,5,6,0,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,2,1
45 - Αρκαδίας,272 E.T. Δήμου Τρίπολης,647,224,3,3,6,218,64,14,6,26,1,6,82,47,4,17,7,4,18,5,0,0,1,11,25,0,1,11,8,2,10,2,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,10,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
45 - Αρκαδίας,273 E.T. Δήμου Τρίπολης,226,78,1,0,1,77,23,2,11,4,2,4,29,21,1,4,2,1,3,0,0,0,0,2,13,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3
45 - Αρκαδίας,274 E.T. Δήμου Τρίπολης,511,240,3,1,4,236,69,11,26,9,1,7,104,54,11,25,3,3,8,0,0,2,2,1,19,0,0,12,2,1,8,1,0,1,0,2,2,1,0,0,0,0,2,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,7,4
45 - Αρκαδίας,275 E.T. Δήμου Τρίπολης,445,243,0,3,3,240,65,5,19,11,2,9,95,50,4,19,8,6,14,2,0,1,2,5,19,2,0,9,3,2,10,3,1,3,0,0,7,1,3,0,0,0,0,0,0,0,0,0,12,3,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,1,2,4,1,0,0,1,6,2
45 - Αρκαδίας,276 E.T. Δήμου Τρίπολης,275,153,4,0,4,149,45,6,17,8,1,0,71,32,2,19,5,2,5,1,0,0,1,2,11,0,0,6,1,1,4,3,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0
45 - Αρκαδίας,277 E.T. Δήμου Τρίπολης,414,224,0,1,1,223,68,7,19,14,4,8,95,63,4,13,7,2,11,0,0,2,0,6,16,1,0,9,3,1,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,7,5,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,7,0,1,0,0,0,0,0,3,2
45 - Αρκαδίας,278 E.T. Δήμου Τρίπολης,243,94,2,3,5,89,23,3,3,2,0,3,38,16,1,11,3,1,3,0,0,0,0,2,5,0,0,4,0,1,9,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,1
45 - Αρκαδίας,279 E.T. Δήμου Τρίπολης,106,74,5,1,6,68,26,1,7,4,0,6,24,11,6,5,1,0,2,0,0,0,0,1,7,0,0,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,280 E.T. Δήμου Τρίπολης,352,194,6,0,6,188,58,5,17,9,3,9,74,30,6,17,5,1,7,0,0,1,1,3,19,0,0,16,2,0,11,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,2,1
45 - Αρκαδίας,281 E.T. Δήμου Τρίπολης,218,83,1,0,1,82,14,5,6,0,0,0,53,45,5,3,0,0,3,0,0,0,0,3,6,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
45 - Αρκαδίας,282 E.T. Δήμου Τρίπολης,391,200,5,1,6,194,50,5,15,11,0,12,89,39,3,17,3,10,4,0,0,0,1,3,13,0,0,0,1,12,2,0,0,1,0,0,2,0,0,0,0,0,1,0,6,5,0,0,9,3,4,0,0,0,0,0,4,0,0,0,3,1,2,0,0,0,0,2,9,1,1,2,2,2,0,0,1,1
45 - Αρκαδίας,283 E.T. Δήμου Τρίπολης,168,111,0,1,1,110,10,3,3,1,0,0,73,34,9,13,5,2,4,0,0,1,2,1,14,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,0,0
45 - Αρκαδίας,284 E.T. Δήμου Τρίπολης,337,124,0,0,0,124,44,7,9,2,4,12,47,33,2,5,1,3,4,0,0,0,2,1,10,0,0,3,4,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,1,0,0,1,4,3
45 - Αρκαδίας,285 E.T. Δήμου Τρίπολης,360,98,1,1,2,96,17,10,4,0,0,1,48,31,5,5,5,0,9,0,2,0,0,5,15,0,0,10,3,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
45 - Αρκαδίας,286 E.T. Δήμου Τρίπολης,239,107,1,1,2,105,44,4,8,5,1,8,42,25,6,7,2,1,2,0,0,1,0,1,9,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
45 - Αρκαδίας,287 E.T. Δήμου Τρίπολης,548,243,6,2,8,235,67,5,24,6,4,11,84,41,8,22,1,5,14,1,1,0,0,7,29,0,1,17,8,3,9,2,1,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,7,0,1,2,0,0,1,0,3,0,1,0,2,0,4,3,0,0,0,0,11,1,1,1,1,1,0,0,2,1
45 - Αρκαδίας,288 E.T. Δήμου Τρίπολης,495,231,4,2,6,225,75,8,23,4,0,16,110,38,6,38,4,8,5,1,1,0,0,2,10,0,0,5,2,1,7,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,1,0,1,1,0,0,1,5,2
45 - Αρκαδίας,289 E.T. Δήμου Τρίπολης,279,163,2,1,3,160,42,7,15,7,0,7,62,35,1,21,0,0,4,0,0,1,0,2,16,1,0,4,6,4,14,4,0,5,0,1,2,0,0,1,0,0,4,2,1,0,0,0,4,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,1,0,0,0,1,0
45 - Αρκαδίας,290 E.T. Δήμου Τρίπολης,347,159,3,0,3,156,61,24,8,3,1,15,75,52,2,12,4,2,5,0,0,1,3,0,8,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
45 - Αρκαδίας,291 E.T. Δήμου Τρίπολης,247,81,1,0,1,80,37,1,21,5,1,6,13,8,2,2,0,1,4,0,0,0,0,4,16,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
45 - Αρκαδίας,292 E.T. Δήμου Τρίπολης,536,329,5,2,7,322,88,0,0,0,0,0,143,0,0,0,0,0,10,0,0,0,0,0,33,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,3,0,0,0,6,0
45 - Αρκαδίας,293 E.T. Δήμου Τρίπολης,555,310,6,3,9,301,98,11,30,15,3,24,124,55,13,29,6,8,6,1,0,1,0,4,26,1,0,16,5,2,12,5,0,4,0,1,4,1,0,1,0,0,0,0,2,1,0,0,12,5,2,1,0,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,6,0,0,1,3,0,0,0,4,0
45 - Αρκαδίας,294 E.T. Δήμου Τρίπολης,520,326,4,3,7,319,72,8,14,9,5,21,160,65,22,34,16,20,14,0,0,1,1,12,26,2,0,12,6,1,13,3,0,4,0,0,4,1,1,0,0,0,1,0,0,0,0,0,7,2,3,1,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,1,13,2,3,3,1,0,0,0,3,2
45 - Αρκαδίας,295 E.T. Δήμου Τρίπολης,525,305,3,2,5,300,99,14,22,16,0,28,109,58,8,28,6,3,8,0,0,1,1,6,25,3,0,11,5,4,13,4,0,7,0,1,5,0,0,2,0,0,5,1,0,0,0,0,12,9,1,0,0,0,0,0,3,0,1,2,0,0,5,1,0,1,1,1,8,1,2,3,2,0,1,0,6,4
45 - Αρκαδίας,296 E.T. Δήμου Τρίπολης,545,353,4,0,4,349,118,0,0,0,0,0,143,0,0,0,0,0,18,0,0,0,0,0,29,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,2,0,0,0,3,0
