ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΖΑΝΝΙΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΘΗΒΑΙΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΤΣΙΦΗ-ΖΩΤΑ ΒΕΝΕΤΙΑ του Γεωργίου,ΠΟΥΛΟΥ ΠΑΝΑΓΙΟΥ (ΓΙΩΤΑ) του Λεωνίδα,ΧΑΛΒΑΤΖΗΣ ΣΤΑΜΑΤΗΣ του Ηλία,Νέα Δημοκρατία,ΘΕΟΔΩΡΟΥ - ΜΑΓΟΥΛΑ ΛΟΥΚΙΑ του Αναστασίου,ΚΑΡΑΜΠΕΛΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΤΣΟΥΜΠΑΣ ΑΝΔΡΕΑΣ του Βασιλείου,ΚΤΙΣΤΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Νικολάου,ΤΖΟΥΒΕΛΕΚΗ - ΡΕΠΟΥΣΚΟΥ ΕΥΑΓΓΕΛΙΑ του Ευαγγέλου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΚΑΡΑΚΩΣΤΑΣ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΣΠΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ - ΝΙΚΟΛΕΤΤΑ του Μιχαήλ,Κίνημα Αλλαγής,ΑΓΓΕΛΟΥ ΔΗΜΗΤΡΙΟΣ (ΜΙΜΗΣ) του Κωνσταντίνου,ΚΑΡΒΟΥΝΗΣ ΑΡΗΣ του Αλεξάνδρου,ΚΟΣΚΟΒΟΛΗ - ΓΙΑΧΡΙΤΣΗ ΑΙΚΑΤΕΡΙΝΗ του Λουκά,ΜΟΥΛΚΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΤΑΝΤΟΥΜΗ ΙΩΑΝΝΑ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΑΡΚΟΥΜΑΝΗΣ ΠΕΤΡΟΣ του Ιωάννη,ΔΑΝΑΣΗ - ΔΙΑΜΑΝΤΑΡΗ ΜΑΡΙΑ του Νικολάου,ΤΑΤΣΗ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Αποστόλου,ΤΟΥΛΟΥΜΑΚΟΣ ΑΝΤΩΝΙΟΣ του Σπύρου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΕΥΣΤΑΘΙΑ του Νικολάου,ΛΥΓΓΟΥ ΑΓΛΑΪΑ του Μιχαήλ,ΣΤΙΓΚΑΣ ΒΑΣΙΛΕΙΟΣ του Αθανασίου,ΤΖΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΚΙΤΣΩΝΗ ΧΡΙΣΤΙΝΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΛΛΙΑΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΚΟΥΝΟΥΚΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΡΟΔΗ ΕΛΕΝΗ του Χρήστου,Ελλήνων Συνέλευσις,ΒΑΡΘΑΛΙΤΟΥ ΜΑΡΙΑΝΝΑ του Ιωσήφ,ΜΕΛΙΤΖΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΜΕΛΙΤΖΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΞΗΝΤΑΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Ευαγγέλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΥΘΕΡΙΑ του Μιχαήλ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΣΩΤΗΡΗΣ του Στυλιανού,Ελληνική Λύση - Κ. Βελόπουλος,ΚΥΡΙΑΚΙΔΟΥ ΜΑΡΙΑΝΘΗ του Παντελή,ΣΤΑΜΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Λουκά,ΣΩΤΗΡΙΟΥ ΓΕΩΡΓΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΣΑΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Σεραφείμ,Μ-Λ Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΤΑΞΙΑΡΧΗΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΤΩΝΑΚΟΣ ΓΡΗΓΟΡΙΟΣ του Παναγιώτη,ΜΟΣΧΟΣ ΑΘΑΝΑΣΙΟΣ του Αστερίου,ΧΡΙΣΤΕΛΗ ΠΑΝΑΓΙΩΤΑ του Αθανασίου,Λαϊκή Ενότητα,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΓΟΥΝΑΡΗ ΟΛΥΜΠΙΑ του Αθανασίου,ΣΚΟΥΜΑΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,ΜέΡΑ25,ΔΑΒΑΝΕΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Ευαγγέλου,ΝΤΑΛΛΗ ΘΕΟΔΩΡΑ - ΒΙΡΓΙΝΙΑ (ΡΑΝΙΑ) του Δημητρίου,ΠΛΑΣ ΔΗΜΗΤΡΙΟΣ του Λουκά,Δημιουργία ξανά - Θ. Τζήμερος,ΒΟΓΙΑΤΖΑΚΗ ΜΑΡΙΑ του Εμμανουήλ,ΛΑΝΤΖΟΣ ΑΘΑΝΑΣΙΟΣ του Χαραλάμπους,ΣΚΟΥΡΤΑΝΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΜΑΝΙΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου
36 - Βοιωτίας,114 E.T. Δήμου Λεβαδέων,522,314,3,1,4,310,102,6,35,1,42,1,145,9,34,39,14,32,5,1,3,1,24,3,5,5,4,6,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2,8,0,0,0,0,0,1,0,0
36 - Βοιωτίας,115 E.T. Δήμου Λεβαδέων,478,296,3,1,4,292,114,6,20,8,51,6,90,3,49,15,10,7,1,0,1,0,37,0,8,23,3,2,17,0,8,1,1,0,0,0,0,0,0,0,0,3,1,0,0,5,2,1,0,0,0,0,0,8,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,13,3,5,1,1,1,0,0,2,1,1
36 - Βοιωτίας,116 E.T. Δήμου Λεβαδέων,519,303,4,6,10,293,99,5,19,6,50,1,109,7,55,19,13,10,8,1,2,1,32,0,9,11,9,1,11,0,7,1,0,0,5,2,0,1,1,0,0,1,0,0,0,2,0,0,1,1,0,1,1,7,3,0,1,1,0,0,0,2,0,1,0,0,0,0,0,11,2,5,0,1,0,0,0,3,0,1
36 - Βοιωτίας,117 E.T. Δήμου Λεβαδέων,464,295,3,0,3,292,86,6,18,2,40,3,116,1,36,53,5,3,5,1,1,1,40,5,3,6,13,6,23,0,10,0,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,4,1,0
36 - Βοιωτίας,118 E.T. Δήμου Λεβαδέων,468,320,3,3,6,314,90,6,17,2,50,0,144,10,35,76,5,3,6,1,5,0,31,1,8,3,8,7,17,0,9,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,1,1,0,1,0,3,1,0,0,0,0,0,0,7,1,0,2,0,0,0,0,2,0,1
36 - Βοιωτίας,119 E.T. Δήμου Λεβαδέων,469,328,5,0,5,323,82,5,13,3,50,1,129,7,33,56,8,3,6,0,4,1,61,4,19,2,19,12,23,0,10,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,4,1,2,0,0,0,0,0,1,0,1
36 - Βοιωτίας,120 E.T. Δήμου Λεβαδέων,514,324,3,1,4,320,113,10,15,3,60,3,102,3,32,53,3,5,2,0,1,0,44,4,9,7,9,10,32,0,10,0,3,0,5,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,2,1,0,0,3,1,2,0,6,1,2,0,1,0,0,0,2,0,0
36 - Βοιωτίας,121 E.T. Δήμου Λεβαδέων,217,132,2,0,2,130,35,2,3,0,20,1,66,3,18,30,0,2,5,3,1,0,10,2,4,0,0,2,7,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
36 - Βοιωτίας,122 E.T. Δήμου Λεβαδέων,316,163,5,4,9,154,51,4,8,2,26,0,65,6,14,23,10,2,0,0,0,0,15,0,5,0,6,2,6,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,1,0,1,1,0,0,1,0,0
36 - Βοιωτίας,123 E.T. Δήμου Λεβαδέων,362,204,0,1,1,203,87,4,29,3,32,2,53,3,6,24,2,9,2,0,1,1,20,1,6,2,5,4,21,0,7,2,3,2,5,2,1,0,0,1,0,2,0,1,0,3,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,1
36 - Βοιωτίας,124 E.T. Δήμου Λεβαδέων,508,338,1,5,6,332,178,0,7,2,139,4,78,3,19,19,11,12,4,1,3,0,25,0,5,17,1,0,16,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,10,4,1,1,3,3,0,0,5,1,2
36 - Βοιωτίας,125 E.T. Δήμου Λεβαδέων,515,354,3,2,5,349,179,3,6,1,146,3,92,9,12,4,9,4,4,0,1,1,21,4,0,11,2,1,19,0,9,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,3,3,1,1,1,0,0,8,1,3
36 - Βοιωτίας,126 E.T. Δήμου Λεβαδέων,523,349,6,3,9,340,148,1,4,1,130,0,108,7,24,52,9,3,6,0,1,1,25,0,6,12,4,3,19,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,14,5,0,0,3,0,1,0,7,1,1
36 - Βοιωτίας,127 E.T. Δήμου Λεβαδέων,510,346,2,2,4,342,160,3,5,4,136,3,88,5,15,43,11,4,8,0,3,3,39,0,9,15,9,4,22,0,11,0,4,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,10,2,6,0,3,2,0,0,6,0,5
36 - Βοιωτίας,128 E.T. Δήμου Λεβαδέων,530,346,2,1,3,343,115,3,29,3,57,1,97,4,33,37,10,3,14,0,9,2,35,1,10,1,6,12,33,0,14,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,2,0,0,0,0,3,0,1,0,0,0,0,0,15,10,1,2,3,0,0,1,10,0,7
36 - Βοιωτίας,129 E.T. Δήμου Λεβαδέων,544,332,5,0,5,327,113,5,29,1,50,2,103,6,26,49,6,0,10,0,8,0,19,2,2,7,2,3,33,0,14,0,6,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13,2,3,2,0,0,0,0,3,0,0,1,0,0,0,0,17,7,4,2,4,1,1,1,7,1,2
36 - Βοιωτίας,130 E.T. Δήμου Λεβαδέων,540,327,5,2,7,320,120,2,32,1,57,0,106,2,44,40,2,7,9,0,7,0,25,1,7,3,2,10,26,0,16,0,4,0,4,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,11,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,0,2,0,0,0,3,0,1
36 - Βοιωτίας,131 E.T. Δήμου Λεβαδέων,530,333,1,2,3,330,108,7,28,2,51,0,100,4,33,39,6,2,12,1,7,2,35,2,7,4,9,12,35,0,24,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,3,2,4,1,0,0,0,1,0,1,0,0,0,0,0,16,5,5,0,1,1,0,0,6,0,3
36 - Βοιωτίας,132 E.T. Δήμου Λεβαδέων,563,395,4,2,6,389,118,5,31,3,52,2,132,11,51,42,9,1,8,0,4,2,36,2,4,5,9,15,55,5,29,0,11,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7,0,4,1,0,0,0,0,3,1,0,1,0,0,0,0,22,3,1,5,2,1,0,0,3,1,1
36 - Βοιωτίας,133 E.T. Δήμου Λεβαδέων,542,354,6,5,11,343,119,5,20,6,60,3,108,8,31,41,7,3,4,0,4,0,27,0,6,3,4,12,52,7,32,0,4,3,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7,0,5,0,0,0,0,0,2,0,0,0,1,0,0,0,13,6,1,1,1,0,0,0,5,1,1
36 - Βοιωτίας,134 E.T. Δήμου Λεβαδέων,544,330,3,2,5,325,118,6,32,2,59,2,82,9,32,33,1,1,3,0,0,1,19,4,4,1,4,4,55,0,24,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,3,3,3,1,1,0,0,2,0,0,1,0,0,0,0,10,5,0,0,2,0,0,0,15,3,5
36 - Βοιωτίας,135 E.T. Δήμου Λεβαδέων,532,348,2,0,2,346,127,3,37,1,64,3,100,6,38,40,4,1,4,0,0,1,28,1,5,3,2,12,37,6,18,0,4,1,5,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,1,10,3,1,1,0,0,0,0,3,0,1,0,0,0,0,0,16,3,5,3,6,2,0,0,6,1,3
36 - Βοιωτίας,136 E.T. Δήμου Λεβαδέων,530,332,4,2,6,326,120,2,40,3,51,0,97,7,32,35,5,7,8,1,5,0,30,3,5,4,6,8,33,0,12,1,3,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1,0,0,0,0,0,6,0,3
36 - Βοιωτίας,137 E.T. Δήμου Λεβαδέων,542,355,4,2,6,349,130,9,40,2,57,4,99,7,39,44,2,0,7,1,5,1,50,0,11,4,17,12,32,0,17,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,17,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,8,3,1,1,0,0,0,0,3,1,2
36 - Βοιωτίας,138 E.T. Δήμου Λεβαδέων,529,324,2,0,2,322,110,7,28,5,51,2,102,3,39,43,8,1,6,0,4,0,26,2,5,1,1,13,34,0,14,0,4,0,4,1,0,1,1,0,0,4,0,1,2,1,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,16,7,3,2,1,0,0,0,9,0,1
36 - Βοιωτίας,139 E.T. Δήμου Λεβαδέων,530,331,2,0,2,329,135,8,24,2,73,2,85,3,43,24,4,2,6,0,6,0,32,2,17,3,3,7,34,0,22,0,5,0,1,1,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0,5,1,2,0,0,0,0,0,3,3,0,0,1,0,0,1,10,1,0,5,3,0,0,1,9,1,6
36 - Βοιωτίας,140 E.T. Δήμου Λεβαδέων,528,350,5,0,5,345,135,4,39,1,71,1,93,7,31,35,5,2,5,0,3,0,27,0,4,9,2,7,39,0,21,0,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,0,0,0,3,0,2,0,0,0,0,0,18,2,3,5,4,2,0,0,10,2,2
36 - Βοιωτίας,141 E.T. Δήμου Λεβαδέων,528,332,6,3,9,323,128,5,37,4,60,2,75,10,21,30,0,4,5,0,1,0,32,1,12,3,5,5,49,0,29,0,2,3,3,1,0,1,0,1,1,2,1,1,0,1,1,0,0,0,0,0,0,10,1,2,1,0,0,0,0,3,2,1,0,2,0,0,0,9,0,2,1,3,0,0,0,0,0,0
36 - Βοιωτίας,142 E.T. Δήμου Λεβαδέων,535,323,0,1,1,322,111,6,15,6,57,2,112,8,39,50,3,1,8,0,6,0,18,2,7,0,1,7,31,0,17,0,5,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,7,4,1,0,0,1,0,2,0,1,0,0,0,0,0,16,4,4,3,1,0,1,0,3,1,0
36 - Βοιωτίας,143 E.T. Δήμου Λεβαδέων,236,194,2,1,3,191,63,2,12,2,30,0,65,17,9,26,5,0,1,0,0,0,19,0,0,4,4,5,16,0,7,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,1,1,1,0,1,0,2,0,1
36 - Βοιωτίας,144 E.T. Δήμου Λεβαδέων,149,122,1,0,1,121,20,0,6,1,11,1,66,1,2,60,0,0,2,0,1,0,23,0,14,0,5,2,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36 - Βοιωτίας,145 E.T. Δήμου Λεβαδέων,535,325,3,1,4,321,102,5,35,2,41,2,104,10,30,48,2,2,6,1,2,1,31,1,8,3,6,7,31,10,14,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,4,6,0,0,0,0,0,2,0,1,0,1,1,0,0,22,4,2,4,1,1,0,0,4,0,2
36 - Βοιωτίας,146 E.T. Δήμου Λεβαδέων,559,372,8,1,9,363,140,7,30,3,67,2,112,9,44,25,4,5,11,0,6,0,26,1,5,4,6,9,35,0,15,0,4,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,6,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,14,3,4,2,3,0,0,0,10,1,6
36 - Βοιωτίας,147 E.T. Δήμου Λεβαδέων,541,357,10,2,12,345,121,8,35,1,56,0,128,6,39,65,3,2,2,0,2,0,26,1,3,7,3,10,27,4,13,1,5,0,2,2,0,0,0,0,0,4,1,1,2,1,0,0,0,0,0,0,0,7,3,0,0,2,1,0,0,3,1,1,0,1,0,0,1,16,7,3,2,1,0,0,0,4,0,2
36 - Βοιωτίας,148 E.T. Δήμου Λεβαδέων,532,350,3,4,7,343,130,7,29,3,65,1,113,3,36,41,8,1,7,0,7,0,25,0,7,6,4,4,31,0,19,0,4,1,3,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,11,6,2,1,1,0,0,0,1,0,0,0,0,0,0,0,16,4,3,3,0,0,0,0,3,0,2
36 - Βοιωτίας,149 E.T. Δήμου Λεβαδέων,531,361,3,1,4,357,107,5,24,3,56,1,117,7,28,65,3,5,10,0,6,3,34,2,5,3,11,8,47,0,20,0,6,0,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,18,6,6,1,1,1,0,0,0,0,0,0,1,0,0,1,13,3,4,3,1,0,0,0,4,0,3
36 - Βοιωτίας,150 E.T. Δήμου Λεβαδέων,546,333,2,5,7,326,112,6,25,4,52,3,106,8,32,37,13,3,8,0,5,2,28,1,13,5,1,5,31,0,15,0,7,1,3,1,0,0,0,0,0,2,0,1,0,4,1,0,1,0,0,0,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,3,0,0,0,10,0,2
36 - Βοιωτίας,151 E.T. Δήμου Λεβαδέων,527,349,2,3,5,344,134,6,37,4,58,2,92,3,23,43,11,1,6,0,6,0,24,1,5,1,2,12,42,0,17,0,8,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,9,3,2,2,1,1,0,0,3,0,1,0,1,0,0,0,21,7,4,2,1,0,0,0,5,1,4
36 - Βοιωτίας,152 E.T. Δήμου Λεβαδέων,533,341,8,1,9,332,118,3,29,1,63,1,92,3,26,45,2,0,6,0,4,1,34,2,9,3,4,15,42,0,20,0,3,0,5,1,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,14,4,1,2,1,0,0,0,9,1,2
36 - Βοιωτίας,153 E.T. Δήμου Λεβαδέων,530,361,7,2,9,352,120,6,30,4,55,1,102,3,40,42,2,5,10,0,10,0,37,1,7,2,12,10,33,0,23,0,1,0,2,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,16,7,5,3,0,0,0,0,1,0,0,1,0,0,0,0,18,3,8,2,1,1,0,0,7,2,2
36 - Βοιωτίας,154 E.T. Δήμου Λεβαδέων,528,332,5,2,7,325,112,4,39,2,43,1,98,8,34,42,3,2,9,1,6,1,36,3,7,6,6,9,28,2,19,0,1,1,2,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,9,2,3,1,0,0,0,0,5,2,2,1,1,0,0,0,15,3,2,2,4,1,0,1,3,0,0
36 - Βοιωτίας,155 E.T. Δήμου Λεβαδέων,531,354,3,3,6,348,114,7,31,2,47,1,111,5,37,43,6,2,11,1,9,0,28,2,2,2,6,10,45,0,26,0,12,0,2,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,12,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,12,6,3,0,0,0,0,0,8,0,2
36 - Βοιωτίας,156 E.T. Δήμου Λεβαδέων,557,367,2,4,6,361,122,6,41,2,44,1,117,10,42,37,10,1,7,1,4,1,27,0,8,4,5,2,53,0,27,0,5,0,3,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,1,1,3,0,0,1,7,0,1
36 - Βοιωτίας,157 E.T. Δήμου Λεβαδέων,547,382,6,6,12,370,129,6,24,3,76,0,131,5,67,39,10,1,11,0,7,2,28,7,4,1,1,11,38,0,17,1,7,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,1,2,0,0,0,0,0,0,0,1,0,1,0,11,4,1,0,0,0,0,0,4,0,2
36 - Βοιωτίας,158 E.T. Δήμου Λεβαδέων,564,380,3,2,5,375,112,8,34,5,42,2,137,8,46,58,6,4,8,0,7,0,30,3,13,3,2,3,40,8,19,1,5,0,7,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,12,3,2,0,0,0,0,0,4,1,1,0,0,0,0,0,15,2,3,4,0,0,0,0,7,0,3
36 - Βοιωτίας,159 E.T. Δήμου Λεβαδέων,565,377,3,0,3,374,119,5,31,1,68,0,137,7,49,55,8,2,9,0,7,1,29,2,1,3,8,5,37,0,15,1,8,0,5,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,7,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,24,5,8,2,0,0,0,0,3,1,1
36 - Βοιωτίας,160 E.T. Δήμου Λεβαδέων,570,363,5,4,9,354,99,3,30,3,41,0,125,13,31,49,5,5,6,0,4,0,28,2,8,3,2,7,54,0,22,0,14,1,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,0,2,0,1,0,1,0,0,0,14,4,4,3,2,1,0,1,9,1,3
36 - Βοιωτίας,161 E.T. Δήμου Λεβαδέων,555,349,10,4,14,335,109,6,24,4,51,2,101,9,29,40,2,2,7,0,6,0,25,0,6,8,4,5,46,0,21,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,20,3,3,6,2,0,0,0,5,0,2
36 - Βοιωτίας,162 E.T. Δήμου Λεβαδέων,273,185,2,2,4,181,62,8,18,1,24,1,66,0,16,34,0,1,6,0,4,1,25,3,5,3,2,7,10,0,5,0,3,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,2,0,0
36 - Βοιωτίας,163 E.T. Δήμου Λεβαδέων,347,223,2,0,2,221,85,2,21,5,33,5,60,7,15,24,5,0,4,0,3,0,16,1,7,1,0,4,19,0,12,0,3,0,5,2,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7,2,1,2,1,0,0,0,2,0,0,0,1,0,0,0,17,4,5,3,1,0,0,0,1,1,0
36 - Βοιωτίας,164 E.T. Δήμου Λεβαδέων,382,227,7,7,14,213,81,7,6,0,56,0,48,2,18,18,1,3,4,0,2,0,14,0,2,4,7,0,41,0,10,0,14,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,0,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,2,0
36 - Βοιωτίας,165 E.T. Δήμου Λεβαδέων,386,241,3,2,5,236,86,9,16,2,41,2,58,4,19,24,3,2,3,0,3,0,27,0,11,3,5,5,35,0,26,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,1,3,1,1,0,0,2,0,1,0,0,0,0,0,9,1,1,5,2,1,0,0,4,1,1
36 - Βοιωτίας,166 E.T. Δήμου Λεβαδέων,296,196,2,1,3,193,60,3,7,3,35,3,62,4,20,21,8,4,6,1,3,0,33,0,8,5,4,14,23,0,19,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
36 - Βοιωτίας,167 E.T. Δήμου Λεβαδέων,399,215,3,0,3,212,59,3,24,1,24,1,93,4,24,35,4,4,2,0,2,0,36,4,9,3,3,5,1,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1,0,0
36 - Βοιωτίας,168 E.T. Δήμου Λεβαδέων,216,151,9,1,10,141,38,2,6,0,18,2,65,7,13,36,3,0,3,0,1,2,22,2,2,4,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,1,1,1,0,0,1,0,1
36 - Βοιωτίας,169 E.T. Δήμου Λεβαδέων,275,172,1,2,3,169,56,5,10,1,30,2,63,10,5,44,0,1,3,0,0,2,22,0,1,1,10,8,21,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
36 - Βοιωτίας,170 E.T. Δήμου Λεβαδέων,89,43,0,0,0,43,14,2,7,0,3,0,13,3,3,4,0,3,2,0,1,0,8,0,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
36 - Βοιωτίας,171 E.T. Δήμου Λεβαδέων,250,164,1,1,2,162,47,3,9,0,26,0,76,14,12,35,2,1,3,0,1,2,21,2,6,2,6,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,1
36 - Βοιωτίας,172 E.T. Δήμου Λεβαδέων,76,52,0,1,1,51,14,0,7,0,1,0,25,7,2,8,2,2,0,0,0,0,5,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
36 - Βοιωτίας,173 E.T. Δήμου Λεβαδέων,198,105,0,0,0,105,30,2,4,0,20,0,54,7,7,28,3,1,1,0,0,0,5,0,3,0,0,0,5,0,3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,4,0,1
36 - Βοιωτίας,174 E.T. Δήμου Ορχομενού,568,391,7,2,9,382,100,9,26,10,30,7,165,43,21,34,33,14,15,1,4,4,34,20,1,1,7,0,18,5,1,0,0,9,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,23,6,7,1,0,0,0,0,5,1,1
36 - Βοιωτίας,175 E.T. Δήμου Ορχομενού,522,345,3,5,8,337,99,7,21,4,31,15,156,22,24,35,43,10,5,1,2,0,39,23,4,0,5,0,13,0,4,0,0,1,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,1,0,0,0,3,0,1
36 - Βοιωτίας,176 E.T. Δήμου Ορχομενού,434,308,5,1,6,302,88,15,6,8,13,5,108,35,15,27,17,5,14,1,9,1,37,4,6,0,16,5,23,0,4,0,13,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,0,0,1,0,0,0,4,0,0,2,10,3,2,0,2,0,1,0,1,0,0
