ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΖΑΝΝΙΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΘΗΒΑΙΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΤΣΙΦΗ-ΖΩΤΑ ΒΕΝΕΤΙΑ του Γεωργίου,ΠΟΥΛΟΥ ΠΑΝΑΓΙΟΥ (ΓΙΩΤΑ) του Λεωνίδα,ΧΑΛΒΑΤΖΗΣ ΣΤΑΜΑΤΗΣ του Ηλία,Νέα Δημοκρατία,ΘΕΟΔΩΡΟΥ - ΜΑΓΟΥΛΑ ΛΟΥΚΙΑ του Αναστασίου,ΚΑΡΑΜΠΕΛΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΥΤΣΟΥΜΠΑΣ ΑΝΔΡΕΑΣ του Βασιλείου,ΚΤΙΣΤΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Νικολάου,ΤΖΟΥΒΕΛΕΚΗ - ΡΕΠΟΥΣΚΟΥ ΕΥΑΓΓΕΛΙΑ του Ευαγγέλου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΚΑΡΑΚΩΣΤΑΣ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΣΠΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ - ΝΙΚΟΛΕΤΤΑ του Μιχαήλ,Κίνημα Αλλαγής,ΑΓΓΕΛΟΥ ΔΗΜΗΤΡΙΟΣ (ΜΙΜΗΣ) του Κωνσταντίνου,ΚΑΡΒΟΥΝΗΣ ΑΡΗΣ του Αλεξάνδρου,ΚΟΣΚΟΒΟΛΗ - ΓΙΑΧΡΙΤΣΗ ΑΙΚΑΤΕΡΙΝΗ του Λουκά,ΜΟΥΛΚΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΤΑΝΤΟΥΜΗ ΙΩΑΝΝΑ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΑΡΚΟΥΜΑΝΗΣ ΠΕΤΡΟΣ του Ιωάννη,ΔΑΝΑΣΗ - ΔΙΑΜΑΝΤΑΡΗ ΜΑΡΙΑ του Νικολάου,ΤΑΤΣΗ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Αποστόλου,ΤΟΥΛΟΥΜΑΚΟΣ ΑΝΤΩΝΙΟΣ του Σπύρου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΕΥΣΤΑΘΙΑ του Νικολάου,ΛΥΓΓΟΥ ΑΓΛΑΪΑ του Μιχαήλ,ΣΤΙΓΚΑΣ ΒΑΣΙΛΕΙΟΣ του Αθανασίου,ΤΖΑΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΚΙΤΣΩΝΗ ΧΡΙΣΤΙΝΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΛΛΙΑΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΚΟΥΝΟΥΚΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΡΟΔΗ ΕΛΕΝΗ του Χρήστου,Ελλήνων Συνέλευσις,ΒΑΡΘΑΛΙΤΟΥ ΜΑΡΙΑΝΝΑ του Ιωσήφ,ΜΕΛΙΤΖΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΜΕΛΙΤΖΑΝΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΞΗΝΤΑΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Ευαγγέλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΥΘΕΡΙΑ του Μιχαήλ,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΣΩΤΗΡΗΣ του Στυλιανού,Ελληνική Λύση - Κ. Βελόπουλος,ΚΥΡΙΑΚΙΔΟΥ ΜΑΡΙΑΝΘΗ του Παντελή,ΣΤΑΜΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Λουκά,ΣΩΤΗΡΙΟΥ ΓΕΩΡΓΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΣΑΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Σεραφείμ,Μ-Λ Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΤΑΞΙΑΡΧΗΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΤΩΝΑΚΟΣ ΓΡΗΓΟΡΙΟΣ του Παναγιώτη,ΜΟΣΧΟΣ ΑΘΑΝΑΣΙΟΣ του Αστερίου,ΧΡΙΣΤΕΛΗ ΠΑΝΑΓΙΩΤΑ του Αθανασίου,Λαϊκή Ενότητα,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΓΟΥΝΑΡΗ ΟΛΥΜΠΙΑ του Αθανασίου,ΣΚΟΥΜΑΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,ΜέΡΑ25,ΔΑΒΑΝΕΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Ευαγγέλου,ΝΤΑΛΛΗ ΘΕΟΔΩΡΑ - ΒΙΡΓΙΝΙΑ (ΡΑΝΙΑ) του Δημητρίου,ΠΛΑΣ ΔΗΜΗΤΡΙΟΣ του Λουκά,Δημιουργία ξανά - Θ. Τζήμερος,ΒΟΓΙΑΤΖΑΚΗ ΜΑΡΙΑ του Εμμανουήλ,ΛΑΝΤΖΟΣ ΑΘΑΝΑΣΙΟΣ του Χαραλάμπους,ΣΚΟΥΡΤΑΝΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΜΑΝΙΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΠΟΛΥΧΡΟΝΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου
36 - Βοιωτίας,177 E.T. Δήμου Ορχομενού,390,243,1,1,2,241,82,13,17,3,10,1,79,28,8,14,10,3,13,0,9,0,35,3,3,0,14,12,16,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,2,1,0,0,2,0,0,1,4,1,1,0,0,0,0,0,2,0,1
36 - Βοιωτίας,178 E.T. Δήμου Ορχομενού,418,255,2,0,2,253,73,3,17,5,16,12,114,23,32,17,32,9,17,5,6,1,19,2,2,0,11,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,5,3,0
36 - Βοιωτίας,179 E.T. Δήμου Ορχομενού,393,246,7,2,9,237,82,5,14,2,14,9,111,6,12,53,11,15,4,1,0,0,17,4,4,1,2,0,7,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2,1,1
36 - Βοιωτίας,180 E.T. Δήμου Ορχομενού,518,307,4,1,5,302,110,56,6,2,28,1,121,9,56,36,2,5,4,0,0,1,26,0,6,1,6,7,12,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,1,0,0,0,0,1,0,1
36 - Βοιωτίας,181 E.T. Δήμου Ορχομενού,529,292,5,1,6,286,139,58,14,4,30,3,67,4,30,21,4,1,14,1,10,1,31,2,4,2,6,11,6,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,2,0,0,0,0,6,2,1
36 - Βοιωτίας,182 E.T. Δήμου Ορχομενού,508,257,1,0,1,256,108,12,6,23,2,0,70,33,18,3,3,0,3,0,2,1,22,2,1,0,8,6,14,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,1,1,1,0,0,0,0,0,0,1,1,0,0,18,5,3,2,4,2,0,0,6,0,4
36 - Βοιωτίας,183 E.T. Δήμου Ορχομενού,508,293,12,3,15,278,113,65,16,0,27,1,92,4,44,34,3,2,11,1,5,1,22,0,4,0,7,9,6,0,0,0,1,0,3,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,14,6,3,2,2,2,0,0,1,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,4,1,2
36 - Βοιωτίας,184 E.T. Δήμου Ορχομενού,536,301,2,2,4,297,100,57,7,2,13,2,87,2,47,15,5,3,5,2,1,1,39,0,8,3,8,14,26,0,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14,2,6,0,0,0,0,0,3,1,1,0,0,0,0,0,10,3,1,1,4,1,0,0,7,0,4
36 - Βοιωτίας,185 E.T. Δήμου Ορχομενού,507,288,4,2,6,282,146,75,23,4,24,3,65,16,26,18,2,3,3,1,0,1,20,1,3,3,6,4,15,0,3,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,9,2,4,0,0,0,0,0,6,0,3
36 - Βοιωτίας,186 E.T. Δήμου Ορχομενού,536,295,5,6,11,284,122,54,4,3,25,1,91,12,31,22,4,6,6,0,1,0,23,0,3,0,5,10,16,0,1,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,11,2,2,0,1,0,0,0,3,1,2
36 - Βοιωτίας,187 E.T. Δήμου Ορχομενού,536,318,3,1,4,314,112,57,10,1,25,2,122,5,50,37,7,9,11,0,7,1,20,0,5,0,2,9,17,0,3,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,1,0,0,1,0,1,0,0,0,1,0,1,0,9,2,2,1,0,0,0,0,6,1,2
36 - Βοιωτίας,188 E.T. Δήμου Ορχομενού,529,314,5,1,6,308,109,59,13,1,15,3,120,8,54,26,6,8,10,1,3,2,28,3,3,0,6,9,8,0,1,0,0,0,5,0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,11,3,1,3,3,1,0,0,3,2,1
36 - Βοιωτίας,189 E.T. Δήμου Ορχομενού,537,295,3,2,5,290,111,63,11,0,14,2,107,8,44,29,4,12,10,0,6,2,17,2,0,0,5,8,12,0,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,12,2,1,2,2,1,1,0,6,4,1
36 - Βοιωτίας,190 E.T. Δήμου Ορχομενού,478,273,3,1,4,269,73,13,11,2,28,4,123,7,44,45,5,2,9,0,8,0,35,4,10,5,10,2,9,1,5,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,4,0,2
36 - Βοιωτίας,191 E.T. Δήμου Ορχομενού,538,356,4,3,7,349,113,26,12,5,40,7,166,7,57,68,2,4,1,0,1,0,37,3,3,3,17,7,13,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,2,0,0,0,2,0,0
36 - Βοιωτίας,192 E.T. Δήμου Ορχομενού,360,217,4,2,6,211,58,16,11,1,11,1,83,11,20,29,9,2,1,0,1,0,37,2,12,1,0,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,1,0,1,0,2,0,1,0,9,4,0,0,1,0,0,0,4,2,1
36 - Βοιωτίας,193 E.T. Δήμου Ορχομενού,308,210,1,2,3,207,49,7,12,0,3,1,84,25,8,24,5,3,1,0,1,0,44,3,8,0,17,6,24,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0
36 - Βοιωτίας,194 E.T. Δήμου Ορχομενού,407,276,3,0,3,273,86,9,17,3,23,2,112,22,33,22,6,12,3,0,2,0,36,2,3,0,20,5,15,6,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,1,0,2,0,0,1,0,0,0
36 - Βοιωτίας,195 E.T. Δήμου Ορχομενού,336,204,1,0,1,203,73,23,1,6,11,0,76,9,12,43,5,1,6,0,2,0,23,1,3,1,5,8,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,7,1,2,0,1,0,0,0,3,0,2
36 - Βοιωτίας,196 E.T. Δήμου Ορχομενού,378,253,4,1,5,248,84,27,14,3,30,1,74,8,12,39,5,2,6,0,5,0,55,3,5,3,5,35,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,2,0,0
36 - Βοιωτίας,197 E.T. Δήμου Ορχομενού,398,241,8,0,8,233,88,20,15,1,23,6,46,7,11,15,2,2,2,0,0,0,70,0,1,0,0,65,6,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,11,1,3,1,0,0,0,0,4,0,2
36 - Βοιωτίας,198 E.T. Δήμου Ορχομενού,492,327,0,0,0,327,135,32,24,0,43,8,90,8,33,28,7,4,5,1,1,1,54,4,3,0,1,42,17,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,4,1,1,1,1,1,0,0,10,2,2,0,1,0,1,0,0,0,0
36 - Βοιωτίας,199 E.T. Δήμου Ορχομενού,444,287,6,2,8,279,125,38,20,8,22,10,62,7,13,19,2,6,5,1,2,1,60,0,0,1,3,54,6,0,2,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,1,0,0
36 - Βοιωτίας,200 E.T. Δήμου Ορχομενού,140,85,2,1,3,82,16,6,3,1,3,2,31,2,7,12,4,2,3,0,3,0,12,3,5,0,0,3,10,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36 - Βοιωτίας,201 E.T. Δήμου Τανάγρας,150,100,0,0,0,100,31,4,10,11,2,1,45,12,0,5,1,23,2,0,2,0,15,4,1,0,7,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36 - Βοιωτίας,202 E.T. Δήμου Τανάγρας,402,255,5,5,10,245,72,9,16,17,9,2,96,22,1,15,32,12,8,1,3,0,43,7,5,3,22,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,1,1
36 - Βοιωτίας,203 E.T. Δήμου Τανάγρας,331,222,1,2,3,219,51,1,7,9,13,4,121,28,4,16,43,19,6,2,2,1,15,5,1,1,7,1,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,3,0,0
36 - Βοιωτίας,204 E.T. Δήμου Τανάγρας,410,272,4,4,8,264,38,6,6,8,1,4,149,30,10,9,46,39,19,5,7,2,25,6,5,0,7,1,7,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,11,5,1
36 - Βοιωτίας,205 E.T. Δήμου Τανάγρας,358,251,5,3,8,243,60,3,10,19,3,4,106,9,10,13,26,33,16,4,4,0,16,3,4,1,4,1,7,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,1,1,0,0,0,0,2,0,0,1,0,0,0,0,8,0,1,0,2,0,0,1,4,1,1
36 - Βοιωτίας,206 E.T. Δήμου Τανάγρας,305,224,4,1,5,219,54,8,4,23,4,1,120,19,4,15,42,25,5,2,1,1,10,2,0,2,5,0,11,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5,1,1
36 - Βοιωτίας,207 E.T. Δήμου Τανάγρας,414,291,1,1,2,289,118,26,23,23,2,10,65,20,10,8,7,11,11,1,6,2,12,3,3,1,1,3,61,0,2,53,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,3,1,1
36 - Βοιωτίας,208 E.T. Δήμου Τανάγρας,400,287,17,0,17,270,90,13,9,24,2,9,77,11,16,12,10,11,13,3,8,0,16,1,3,1,5,2,43,1,0,41,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,5,2,3
36 - Βοιωτίας,209 E.T. Δήμου Τανάγρας,401,285,0,0,0,285,110,7,20,33,18,19,82,22,12,15,6,14,4,2,1,0,13,3,1,2,6,0,44,3,0,40,1,0,3,0,1,0,0,0,0,1,0,0,1,3,0,2,0,1,0,0,0,13,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,1,0,1,0,3,0,1
36 - Βοιωτίας,210 E.T. Δήμου Τανάγρας,510,370,2,1,3,367,151,21,28,31,5,10,84,16,15,34,3,14,18,1,2,2,30,2,7,3,12,1,44,0,0,42,0,0,5,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,19,8,5,2,0,0,1,0,1,1,0,0,1,0,0,0,8,0,2,0,1,1,0,0,2,2,0
36 - Βοιωτίας,211 E.T. Δήμου Τανάγρας,511,362,1,2,3,359,146,19,27,33,19,11,80,14,14,15,18,7,15,2,7,1,22,5,1,1,11,2,63,0,0,56,2,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,2,1,0,0,0,0,1,0,0,0,2,1,1,0,7,1,4,0,0,0,0,0,1,0,0
36 - Βοιωτίας,212 E.T. Δήμου Τανάγρας,508,347,1,5,6,341,113,12,22,21,7,10,98,30,17,12,7,7,17,4,5,0,18,3,1,4,6,0,56,0,0,47,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,1,0,0,1,0,1,1,0,0,1,1,0,0,8,0,1,0,2,0,0,0,5,1,2
36 - Βοιωτίας,213 E.T. Δήμου Τανάγρας,402,280,1,1,2,278,78,5,8,34,9,5,117,36,7,18,29,9,18,0,10,2,17,1,0,0,11,2,22,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,2,1,0,0,0,0,0,0,0,1,0,1,0,8,1,3,1,2,1,0,0,0,0,0
36 - Βοιωτίας,214 E.T. Δήμου Τανάγρας,453,308,4,1,5,303,86,6,12,27,6,4,135,38,11,12,33,24,15,3,8,2,26,4,1,1,11,1,10,1,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,6,2,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,0,2,0,1,1,7,0,2
36 - Βοιωτίας,215 E.T. Δήμου Τανάγρας,490,335,6,2,8,327,126,11,15,41,16,7,115,50,6,12,18,17,16,5,7,1,25,4,2,1,13,2,13,0,0,9,0,1,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,2,3,1,1,0,5,0,3
36 - Βοιωτίας,216 E.T. Δήμου Τανάγρας,437,285,4,4,8,277,86,8,12,29,10,1,100,43,6,7,22,11,14,9,5,0,18,2,1,1,9,0,18,2,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,2,1,2,2,0,0,3,0,1,1,1,0,1,0,10,0,3,2,2,1,0,0,3,0,2
36 - Βοιωτίας,217 E.T. Δήμου Τανάγρας,353,218,4,1,5,213,49,1,4,18,5,1,84,25,5,7,23,13,20,2,9,4,20,4,0,0,11,1,13,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,5,2,0,0,2,1,0,0,7,0,3
36 - Βοιωτίας,218 E.T. Δήμου Τανάγρας,362,231,0,1,1,230,70,5,6,26,16,3,87,26,4,4,28,10,15,2,5,2,17,4,2,1,6,0,16,0,0,5,1,2,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,1,0,0,0,0,4,2,0
36 - Βοιωτίας,219 E.T. Δήμου Τανάγρας,454,257,2,0,2,255,70,3,4,25,7,3,101,18,8,6,30,12,28,6,12,0,14,2,0,0,6,1,10,0,0,3,1,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1,0,0,0,0,2,1,0,0,1,1,0,0,8,2,0,2,0,0,0,0,8,2,3
36 - Βοιωτίας,220 E.T. Δήμου Τανάγρας,382,265,4,2,6,259,73,1,0,66,1,0,128,39,11,12,22,25,17,1,4,3,12,3,0,1,3,1,5,2,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,3,0,0,0,0,0,3,0,1
36 - Βοιωτίας,221 E.T. Δήμου Τανάγρας,541,387,9,4,13,374,91,6,18,24,8,5,150,56,7,24,26,7,30,8,12,2,18,2,1,1,10,0,19,0,0,6,2,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,23,5,5,2,0,0,0,0,12,10,0,2,1,0,0,1,19,1,7,1,0,0,0,0,7,1,4
36 - Βοιωτίας,222 E.T. Δήμου Τανάγρας,538,402,4,2,6,396,100,14,11,10,18,11,151,48,9,22,36,17,21,3,8,0,37,5,6,0,20,2,27,4,0,13,0,1,7,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,7,1,3,1,0,0,0,3,1,1,0,3,1,0,1,16,0,7,0,2,0,0,0,13,2,6
36 - Βοιωτίας,223 E.T. Δήμου Τανάγρας,549,395,4,4,8,387,96,5,19,21,17,4,135,37,8,20,21,21,15,4,2,2,55,5,1,3,40,0,15,0,0,4,1,0,6,1,0,1,0,1,0,3,1,0,0,2,0,1,0,0,1,0,0,19,7,0,1,0,0,0,0,6,5,0,0,0,0,0,0,19,4,6,0,3,1,0,0,12,0,2
36 - Βοιωτίας,224 E.T. Δήμου Τανάγρας,532,385,7,7,14,371,95,11,9,16,10,13,194,57,16,27,8,25,8,2,2,1,22,6,2,1,7,1,12,3,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,3,0,1,0,0,0,0,6,5,0,0,0,0,0,0,12,3,5,1,3,1,1,1,9,2,3
36 - Βοιωτίας,225 E.T. Δήμου Τανάγρας,530,352,1,0,1,351,94,8,20,13,5,10,157,33,3,39,50,11,12,2,4,2,25,5,3,0,13,2,11,2,0,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,7,2,7,0,0,0,0,3,1,1,1,1,0,1,0,13,2,4,2,2,0,0,0,7,1,2
36 - Βοιωτίας,226 E.T. Δήμου Τανάγρας,546,371,1,0,1,370,117,8,20,33,13,10,118,58,2,14,31,9,14,2,4,3,46,5,6,3,22,3,21,0,0,5,3,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,6,5,5,0,0,0,0,8,8,0,0,2,0,0,2,17,4,8,0,1,1,0,0,4,1,1
36 - Βοιωτίας,227 E.T. Δήμου Τανάγρας,396,272,4,3,7,265,61,4,7,10,7,11,133,28,4,18,40,30,14,2,3,1,37,6,0,2,26,1,5,2,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,1,0
36 - Βοιωτίας,228 E.T. Δήμου Τανάγρας,419,299,6,3,9,290,71,5,5,14,8,12,142,12,5,10,54,37,6,0,1,0,36,11,0,0,22,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,2,2,1,3,0,0,0,3,0,0,1,1,0,0,1,5,0,1,1,1,0,0,1,3,2,1
36 - Βοιωτίας,229 E.T. Δήμου Τανάγρας,435,299,5,1,6,293,60,2,7,16,5,7,174,32,10,32,50,25,10,0,6,0,18,2,1,0,12,0,5,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,1,2,0,0,0,2,0,1
36 - Βοιωτίας,230 E.T. Δήμου Τανάγρας,422,297,8,0,8,289,68,5,9,29,11,5,144,32,10,30,39,18,9,0,2,1,35,4,1,0,23,3,11,0,0,1,0,1,3,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,4,1,0,0,1,0,0,0,2,0,1,0,4,1,0,1,3,0,1
36 - Βοιωτίας,231 E.T. Δήμου Τανάγρας,489,341,4,1,5,336,64,3,7,20,8,9,167,32,21,29,46,24,17,0,11,2,31,7,2,2,14,1,15,7,0,3,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,2,0,15,0,0,14,4,1,2
36 - Βοιωτίας,232 E.T. Δήμου Τανάγρας,285,279,4,1,5,274,63,6,4,10,14,6,133,38,7,5,11,11,14,3,2,1,16,0,2,3,6,2,12,0,0,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,13,0,1,4,2,0,0,0,3,0,0
36 - Βοιωτίας,233 E.T. Δήμου Τανάγρας,341,302,3,1,4,298,63,8,6,9,13,7,150,45,4,17,46,9,10,2,4,0,17,1,1,3,3,1,13,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,6,3,1,1,1,0,0,4,1,0,0,2,0,2,0,7,0,0,1,1,0,0,0,8,1,4
36 - Βοιωτίας,Ετερ. Βοιωτίας (από Εφετείο Θεσσαλονίκης),48,34,0,0,0,34,11,1,3,0,3,0,13,3,3,5,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36 - Βοιωτίας,"ΚΕΝΤΡΟ ΑΠΕΞΑΡΤΗΣΗΣ ΤΟΞΙΚΟΜΑΝΩΝ ΚΡΑΤΟΥΜΕΝΩΝ 32200, ΕΛΑΙΩΝΑΣ",17,17,0,0,0,17,14,4,3,1,3,1,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36 - Βοιωτίας,"ΚΑΤΑΣΤΗΜΑ ΚΡΑΤΟΥΜΕΝΩΝ ΓΥΝΑΙΚΩΝ 32200, ΕΛΑΙΩΝΑΣ",111,100,10,0,10,90,76,14,5,6,4,4,10,1,2,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36 - Βοιωτίας,Ετερ. Βοιωτίας (από 31ο Ε.Τ. Νομ. Αττικής-Αθηνών),536,293,6,2,8,285,90,7,18,7,16,5,109,11,8,39,14,12,9,1,1,1,25,4,4,6,2,1,22,0,4,0,2,3,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,10,0,1,3,1,0,0,0,6,1,3
Σύνολο,,106733,66821,824,451,1275,65546,21159,1964,3584,2009,6144,2466,23752,4224,4003,5238,4459,2655,2114,219,1026,209,6355,838,931,459,2185,991,4595,219,1033,454,409,949,646,144,131,33,47,25,4,256,59,34,48,160,62,18,27,14,11,51,20,2218,671,458,282,84,35,43,16,367,95,77,56,226,28,22,117,2233,445,598,221,320,64,19,60,942,156,333
