ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΑΒΟΥΛΗ ΣΤΑΜΑΤΑ (ΜΑΤΙΝΑ) του Διονυσίου,ΜΠΑΛΤΑΣ ΑΡΙΣΤΕΙΔΗΣ-ΝΙΚΟΛΑΟΣ-ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,ΠΑΝΤΖΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα-Αριστοτέλη,ΤΣΙΠΡΑΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,ΧΑΤΖΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Χαράλαμπου,ΧΗΡΑ ΜΑΡΙΑ του Αλέξανδρου,Νέα Δημοκρατία,ΚΟΠΑΝΑΚΗ ΕΥΑΓΓΕΛΙΑ του Εμμανουήλ,ΚΩΤΣΗΡΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΛΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΠΑΡΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΜΠΟΥΡΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΠΟΥΛΗΣ ΣΤΑΜΑΤΙΟΣ του Κυριάκου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΓΚΩΝΑΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΑΤΑΤΣΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΕΥΘΥΜΙΑ του Νικολάου,ΠΑΠΠΑΣ ΧΡΗΣΤΟΣ του Ηλία,ΦΡΑΓΚΟΥΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,Κίνημα Αλλαγής,ΑΚΑΜΙΩΤΑΚΗ ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΑΝΑΣΤΑΣΑΚΗΣ ΜΗΝΑΣ του Μιχαήλ,ΛΙΟΣΗΣ ΑΓΓΕΛΟΣ του Αθανασίου,ΜΟΥΣΤΑΚΑΚΗ ΓΕΩΡΓΙΑ του Τιμολέων,ΞΑΝΘΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Λάζαρου,ΥΨΗΛΑΝΤΗΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΚΟΥΜΠΟΥΡΗΣ ΔΗΜΟΣ του Ιωάννη,ΜΕΝΙΔΙΑΤΗ ΑΛΕΞΑΝΔΡΑ (ΑΛΕΚΑ) του Ιωάννη,ΜΠΑΚΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,ΠΑΠΑΔΑΤΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΠΑΠΑΣΤΑΥΡΟΥ ΚΥΡΙΛΛΟΣ του Χρυσοστόμου,ΧΡΙΣΤΙΔΗΣ ΣΤΑΥΡΟΣ του Θωμά,Ένωση Κεντρώων,ΔΩΡΗΣ ΣΠΥΡΙΔΩΝ του Κοσμά,ΖΩΓΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Γεωργίου,ΘΕΟΔΩΡΟΥ ΕΥΑΓΓΕΛΟΣ του Θεοδώρου,ΠΑΓΚΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΣΑΓΚΟΥΡΗ ΑΘΑΝΑΣΙΑ του Δημητρίου,ΤΑΜΗΛΙΑΣ ΣΠΥΡΟΣ του Αλεξάνδρου,Ο.Κ.Δ.Ε.,ΑΣΛΑΝΙΔΗ ΑΝΝΑ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΩΝΑΡΟΠΟΥΛΟΥ ΧΡΥΣΑΝΘΗ του Ιωάννη,ΚΑΤΑΡΑΧΙΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΜΠΕΚΟΣ ΒΑΣΙΛΕΙΟΣ της Ελένης,Ελλήνων Συνέλευσις,ΣΙΔΗΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σάββα,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΑΓΓΕΛΗ-ΚΑΡΔΟΥΛΑΚΗ ΑΡΤΕΜΙΣ του Εμμανουήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΝΩΛΗ ΕΛΕΝΗ του Βασιλείου,ΜΠΟΥΓΕΣΗ ΜΑΡΙΑ του Δημητρίου,ΠΕΤΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Σταύρου,ΤΣΟΥΤΣΟΥΡΑΣ ΙΩΑΝΝΗΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Θεοφίλου,ΛΑΜΠΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΑΡΡΗΣ ΑΠΟΣΤΟΛΟΣ του Αντωνίου,Μ-Λ Κ.Κ.Ε.,ΑΔΡΙΑΝΟΣ ΙΑΣΩΝ- ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΣΜΙΤΖ ΙΩΑΝΝΑ του Βασιλείου,Λαϊκή Ενότητα,ΚΑΤΣΙΚΕΑ ΟΥΡΑΝΙΑ ΕΛΕΝΗ του Γεωργίου,ΛΕΒΕΝΤΗ-ΓΙΑΚΟΥΜΑΤΟΥ ΑΓΓΕΛΙΚΗ συζ. Ιωάννη,ΡΟΔΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΤΣΙΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΜέΡΑ25,ΑΝΤΩΝΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Γεωργίου,ΓΕΓΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΘΕΑΚΟΣ ΓΡΗΓΟΡΙΟΣ του Επαμεινώνδα,ΜΑΡΑΚΗΣ ΙΩΑΝΝΗΣ του Στυλιανού,ΠΑΤΕΛΗ ΟΥΡΑΝΙΑ του Αντωνίου,ΧΡΑΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Δημιουργία ξανά - Θ. Τζήμερος,ΦΩΚΑΣ ΙΩΑΝΝΗΣ του Κοσμά,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΛΙΣΑΓΚΟΡ-ΒΕΡΓΗ ΣΒΕΤΛΑΝΑ του Γκριγκόρι,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΦΟΥΦΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
64 - Β' Δυτικής Αττικής,195 E.T. Δήμου Φυλής,524,282,6,5,11,271,112,25,23,29,49,7,14,66,13,24,24,4,25,22,14,3,3,5,8,1,17,6,4,12,5,1,0,12,2,2,1,8,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,11,9,11,5,1,0,0,0,0,0,3,2,2,3,2,0,1,0,11,5,2,1,3,0,1,0,0,0,0,6,5
64 - Β' Δυτικής Αττικής,196 E.T. Δήμου Φυλής,529,280,2,1,3,277,127,15,28,28,52,12,12,68,12,25,37,6,27,9,6,1,1,0,5,2,14,4,2,2,6,3,1,34,6,5,2,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,0,8,1,2,0,0,2,2,1,0,0,0,9,4
64 - Β' Δυτικής Αττικής,197 E.T. Δήμου Φυλής,558,351,7,4,11,340,168,40,22,50,77,13,23,88,10,22,33,16,51,14,10,2,0,1,4,1,12,4,0,8,1,2,1,21,3,1,1,17,11,0,2,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,1,16,5,5,5,4,0,0,0,0,0,0,4,2,1,2,0,0,0,0,9,3,1,0,0,1,4,1,0,0,0,3,2
64 - Β' Δυτικής Αττικής,198 E.T. Δήμου Φυλής,521,295,3,2,5,290,124,14,18,30,47,8,8,75,9,19,23,9,24,17,15,2,2,1,5,3,14,0,3,8,3,1,1,18,4,1,0,13,6,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,3,2,4,7,2,1,0,0,0,0,2,2,1,0,0,0,0,0,14,0,3,0,1,2,4,2,1,0,0,4,3
64 - Β' Δυτικής Αττικής,199 E.T. Δήμου Φυλής,511,314,7,3,10,304,116,32,18,29,53,8,9,86,9,18,41,6,32,18,18,5,6,6,8,5,21,3,3,13,8,0,0,15,1,2,1,11,4,0,3,2,1,0,0,1,0,0,0,3,1,2,0,1,1,0,0,20,7,1,6,3,0,0,0,0,1,1,5,3,1,0,0,0,0,0,9,1,2,0,0,3,3,3,1,0,0,3,1
64 - Β' Δυτικής Αττικής,200 E.T. Δήμου Φυλής,553,298,9,1,10,288,135,22,20,32,55,15,11,66,12,12,25,9,23,14,12,2,4,5,7,4,12,5,5,4,5,0,0,20,3,3,0,12,4,0,7,4,2,3,0,1,0,0,0,1,1,0,1,1,1,0,0,13,5,2,6,4,0,0,0,0,0,0,4,1,1,2,1,1,1,1,6,2,2,0,1,2,2,1,0,0,0,8,3
64 - Β' Δυτικής Αττικής,201 E.T. Δήμου Φυλής,510,286,6,4,10,276,126,29,26,23,52,17,17,58,11,12,15,4,33,14,18,1,4,3,9,4,11,3,0,6,0,5,2,23,7,2,1,18,8,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,17,7,2,10,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,12,3,4,0,1,5,4,1,0,0,0,3,1
64 - Β' Δυτικής Αττικής,202 E.T. Δήμου Φυλής,523,246,7,2,9,237,96,23,19,14,44,10,17,47,4,11,14,4,25,13,12,4,7,2,4,0,6,0,0,3,0,0,0,17,2,2,0,14,5,2,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,24,9,8,13,8,1,0,1,0,0,0,4,4,4,2,0,1,0,1,19,7,3,1,1,2,9,3,1,0,0,2,1
64 - Β' Δυτικής Αττικής,203 E.T. Δήμου Φυλής,515,270,11,0,11,259,110,20,22,26,62,5,10,83,12,19,31,4,31,21,10,1,2,2,6,3,3,0,1,1,0,1,0,11,4,2,1,8,2,2,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,7,5,0,0,0,0,0,0,2,0,1,1,0,0,0,0,7,2,1,0,1,0,0,1,0,0,0,5,1
64 - Β' Δυτικής Αττικής,204 E.T. Δήμου Φυλής,522,269,3,1,4,265,139,24,13,42,59,10,8,61,9,6,35,4,29,20,10,2,1,1,3,3,9,2,0,4,1,2,0,18,4,2,2,11,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,1,4,3,1,1,1,0,2,0,0,0,0,2,1,0,1,0,7,1,1,0,0,1,2,3,0,0,0,2,1
64 - Β' Δυτικής Αττικής,205 E.T. Δήμου Φυλής,554,266,14,6,20,246,126,18,14,22,47,7,9,52,7,12,13,5,27,8,14,1,3,1,2,2,12,2,7,1,1,3,0,11,1,2,0,8,3,1,2,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0,14,6,3,5,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,7,2,3,0,0,2,1,0,0,0,0,4,0
64 - Β' Δυτικής Αττικής,206 E.T. Δήμου Φυλής,536,332,7,1,8,324,123,27,23,31,71,10,11,103,27,19,35,14,45,20,15,1,4,4,7,6,8,1,0,5,0,1,0,26,8,4,0,13,9,0,6,0,2,0,0,2,2,0,0,5,4,1,0,1,1,0,0,19,5,8,5,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,3,2,0,1,2,4,3,2,0,0,3,1
64 - Β' Δυτικής Αττικής,207 E.T. Δήμου Φυλής,535,317,5,2,7,310,137,25,19,39,62,9,18,71,14,13,23,5,31,14,17,4,3,4,7,4,15,5,3,4,1,3,1,26,4,5,1,10,5,3,3,1,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,13,5,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,6,4,1,2,5,3,1,0,0,0,7,5
64 - Β' Δυτικής Αττικής,208 E.T. Δήμου Φυλής,559,365,5,0,5,360,139,38,33,34,62,17,24,112,26,20,32,10,45,23,11,3,4,5,3,0,16,3,3,7,6,0,2,33,6,7,3,21,11,3,4,0,2,0,0,1,1,0,0,0,0,0,0,2,1,0,0,17,8,5,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,13,1,5,2,0,5,3,2,0,0,0,10,6
64 - Β' Δυτικής Αττικής,209 E.T. Δήμου Φυλής,513,262,1,0,1,261,145,44,25,33,74,11,16,48,9,12,12,5,17,17,11,4,0,0,9,4,5,2,0,2,0,2,1,18,1,5,3,11,3,1,10,4,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,10,6,1,4,2,0,0,0,0,0,0,4,3,2,0,0,0,0,0,7,1,2,0,2,1,2,0,0,0,0,3,1
64 - Β' Δυτικής Αττικής,210 E.T. Δήμου Φυλής,511,275,3,2,5,270,121,30,34,33,64,12,14,82,15,20,36,6,36,19,13,3,4,1,11,3,15,3,3,10,0,1,2,14,6,3,1,11,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,12,8,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,2,2,1,3,1,0,0,0,0,0
64 - Β' Δυτικής Αττικής,211 E.T. Δήμου Φυλής,517,311,1,3,4,307,125,19,27,32,60,7,25,87,7,16,33,7,34,2,13,1,4,1,8,5,8,2,2,3,2,0,0,33,9,4,1,23,12,2,3,1,1,0,1,1,1,0,0,1,1,0,0,2,2,0,0,15,9,6,4,4,0,0,0,0,0,0,3,2,1,1,0,0,0,0,10,2,3,1,1,4,2,1,0,0,0,5,4
64 - Β' Δυτικής Αττικής,212 E.T. Δήμου Φυλής,516,288,8,0,8,280,126,29,27,22,63,9,19,76,13,20,17,16,34,15,13,2,4,4,4,3,9,2,0,4,3,2,1,15,4,6,1,8,2,2,7,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,18,9,4,13,4,0,0,0,0,0,0,4,3,2,1,0,1,0,0,5,2,1,0,2,2,2,1,1,0,0,5,5
64 - Β' Δυτικής Αττικής,213 E.T. Δήμου Φυλής,533,267,8,2,10,257,132,14,20,30,48,6,15,54,11,11,14,8,25,10,11,0,1,1,4,2,7,1,3,4,1,0,0,24,5,2,2,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,4,2,6,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,7,1,2,2,0,2,1,0,0,0,0,3,1
64 - Β' Δυτικής Αττικής,214 E.T. Δήμου Φυλής,553,315,3,4,7,308,130,27,17,25,52,8,26,81,15,22,22,7,43,14,13,3,3,0,8,2,20,5,4,9,4,3,2,22,1,1,1,14,6,0,9,0,3,0,0,1,1,3,0,0,0,1,1,0,0,0,0,13,8,4,1,2,0,0,0,0,0,0,2,1,1,1,0,0,0,0,8,1,3,1,1,3,1,2,0,0,0,4,3
64 - Β' Δυτικής Αττικής,215 E.T. Δήμου Φυλής,517,250,1,1,2,248,112,22,14,27,45,15,10,93,14,23,18,8,32,31,9,1,3,5,3,0,6,1,1,3,2,1,0,10,2,0,0,5,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,2,0,0,0,2,3,0,0,0,2,0
64 - Β' Δυτικής Αττικής,216 E.T. Δήμου Φυλής,518,289,2,2,4,285,118,26,11,37,57,7,11,74,7,13,20,10,31,31,15,2,3,4,6,3,19,1,3,14,4,3,1,19,6,1,0,14,4,1,6,2,1,0,1,3,0,0,0,3,1,3,0,0,0,0,0,15,5,4,2,6,0,0,0,0,0,0,3,1,1,0,0,0,0,0,10,2,2,2,2,5,1,1,0,0,0,2,0
64 - Β' Δυτικής Αττικής,217 E.T. Δήμου Φυλής,534,312,2,3,5,307,115,28,16,34,66,8,18,100,20,37,35,11,50,46,8,3,0,2,6,3,12,1,2,4,1,5,1,18,5,3,1,14,2,0,3,1,0,1,0,2,1,0,0,5,1,0,0,1,1,0,0,25,12,9,10,9,2,2,2,0,0,0,2,1,1,2,1,1,0,1,10,0,1,0,0,1,5,1,0,0,0,3,3
64 - Β' Δυτικής Αττικής,218 E.T. Δήμου Φυλής,511,282,8,3,11,271,118,17,27,26,59,12,12,78,12,16,28,6,31,25,11,0,0,3,7,1,11,3,3,4,1,7,0,15,4,3,0,7,1,1,5,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,14,9,2,7,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,9,5,3,1,0,2,3,3,0,0,0,3,2
64 - Β' Δυτικής Αττικής,219 E.T. Δήμου Φυλής,528,302,19,4,23,279,132,17,17,29,52,11,12,84,6,18,16,18,32,24,9,1,0,0,6,3,5,0,1,2,0,2,0,12,1,2,0,8,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,16,3,4,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,1,4,2,2,0,0,6,2
64 - Β' Δυτικής Αττικής,220 E.T. Δήμου Φυλής,510,303,7,1,8,295,135,18,27,30,50,10,15,72,9,10,16,7,34,19,18,0,3,1,10,5,21,2,2,15,3,7,1,16,2,3,1,11,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,0,2,2,2,0,0,0,0,4,0
64 - Β' Δυτικής Αττικής,221 E.T. Δήμου Φυλής,517,243,15,1,16,227,129,20,35,33,70,4,10,50,5,13,17,2,22,24,6,2,1,0,3,3,4,0,1,1,0,1,0,15,2,2,0,12,5,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,6,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,3,2
64 - Β' Δυτικής Αττικής,222 E.T. Δήμου Φυλής,516,299,4,4,8,291,131,22,22,40,61,6,14,63,16,29,16,6,22,15,8,1,2,0,7,2,14,2,3,7,3,3,1,34,8,1,1,0,1,1,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,19,9,6,6,8,0,0,0,0,0,0,0,0,0,2,1,0,1,1,8,3,1,0,1,1,3,3,2,0,0,5,4
64 - Β' Δυτικής Αττικής,223 E.T. Δήμου Φυλής,517,256,7,2,9,247,110,21,19,42,54,15,12,74,10,25,22,10,37,12,13,4,3,5,7,2,11,1,6,2,4,2,1,11,1,4,0,10,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,12,8,4,6,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,5,2,2,0,1,2,1,2,2,0,0,3,1
64 - Β' Δυτικής Αττικής,224 E.T. Δήμου Φυλής,560,333,7,4,11,322,147,25,25,31,69,12,17,92,16,16,33,14,41,22,8,0,2,3,2,1,11,1,3,5,2,3,1,10,1,0,0,5,3,2,6,1,3,0,0,2,0,0,0,0,0,0,0,1,1,2,2,25,6,4,8,9,2,0,0,0,0,0,4,4,2,2,1,0,1,1,7,2,1,0,1,1,3,2,0,0,0,3,0
64 - Β' Δυτικής Αττικής,225 E.T. Δήμου Φυλής,557,324,10,2,12,312,174,27,25,47,74,12,18,63,15,19,9,7,32,18,5,1,2,0,3,1,12,3,0,2,3,4,1,17,5,1,1,7,3,2,7,1,1,1,0,0,1,1,1,5,0,1,0,0,0,0,0,14,4,2,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,2,1,4,1,0,0,2,1
64 - Β' Δυτικής Αττικής,226 E.T. Δήμου Φυλής,560,348,6,3,9,339,154,29,32,32,76,20,25,94,23,18,34,18,45,23,16,2,2,0,7,1,14,5,4,6,3,0,0,15,1,1,0,8,5,1,3,0,1,0,1,2,0,0,0,3,2,1,0,1,1,0,0,21,11,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,2,4,1,3,1,0,0,6,4
64 - Β' Δυτικής Αττικής,227 E.T. Δήμου Φυλής,560,326,4,0,4,322,122,20,18,37,61,15,19,86,23,19,59,7,29,18,25,5,6,3,12,5,11,4,2,8,2,1,0,32,4,8,1,29,8,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,25,13,5,7,11,0,0,0,0,1,0,1,1,1,0,0,0,0,0,7,1,3,2,1,3,2,1,0,0,0,8,4
64 - Β' Δυτικής Αττικής,228 E.T. Δήμου Φυλής,534,295,2,2,4,291,135,31,14,32,55,18,21,67,19,17,24,3,22,20,15,4,7,4,7,4,15,3,2,5,4,3,1,17,2,1,0,16,6,1,4,2,1,0,0,1,1,0,0,2,0,0,0,2,1,0,0,13,6,1,7,4,1,1,1,0,0,0,4,2,2,0,0,0,0,0,9,3,2,1,1,1,3,3,0,0,0,4,2
64 - Β' Δυτικής Αττικής,229 E.T. Δήμου Φυλής,539,331,12,3,15,316,168,28,22,41,74,9,13,66,9,9,10,8,33,10,14,1,1,0,7,3,17,3,5,2,6,1,0,22,8,1,0,18,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,1,2,1,1,0,0,0,1,1
64 - Β' Δυτικής Αττικής,230 E.T. Δήμου Φυλής,531,300,7,4,11,289,110,22,12,30,60,6,16,105,23,10,19,23,56,21,17,4,6,6,7,1,10,1,1,5,4,2,1,19,2,5,0,12,5,0,2,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,10,2,3,3,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,8,1,2,0,0,4,3,1,0,0,0,3,2
64 - Β' Δυτικής Αττικής,231 E.T. Δήμου Φυλής,534,258,4,1,5,253,126,10,11,34,64,5,12,64,9,3,7,16,44,8,8,2,1,0,6,3,14,1,3,6,2,2,1,20,7,1,0,17,8,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,11,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,3,3
64 - Β' Δυτικής Αττικής,232 E.T. Δήμου Φυλής,560,288,11,3,14,274,173,11,12,44,111,8,7,50,6,8,7,8,31,10,8,2,3,1,4,0,7,1,3,3,2,1,1,11,3,0,0,9,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1,3,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,1
64 - Β' Δυτικής Αττικής,233 E.T. Δήμου Φυλής,566,329,9,1,10,319,152,26,3,41,93,12,18,67,9,11,7,13,38,10,16,3,1,3,5,3,14,3,5,4,3,2,1,35,9,3,2,21,11,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,5,3,4,5,1,1,0,1,0,0,2,1,2,1,1,0,0,0,12,0,2,2,1,1,0,3,2,0,0,4,2
64 - Β' Δυτικής Αττικής,234 E.T. Δήμου Φυλής,569,348,7,2,9,339,133,30,30,32,73,9,9,93,13,12,16,30,41,21,16,4,6,6,4,2,18,2,1,5,8,4,1,45,6,8,3,35,16,1,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,6,3,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7,5,2,0,1,3,1,2,1,0,0,7,1
64 - Β' Δυτικής Αττικής,235 E.T. Δήμου Φυλής,569,298,14,4,18,280,129,26,19,27,72,6,13,69,16,7,16,12,40,11,11,2,3,1,6,2,16,2,3,2,5,3,1,30,5,1,3,24,7,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6,5,4,1,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,8,2,0,0,2,3,1,1,1,0,0,2,2
64 - Β' Δυτικής Αττικής,236 E.T. Δήμου Φυλής,570,337,10,2,12,325,139,38,19,36,79,8,14,77,20,14,15,9,41,12,17,4,6,3,9,2,16,3,4,6,6,1,1,24,4,3,2,17,5,1,6,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,22,12,9,9,6,1,1,0,1,0,0,2,0,0,0,0,0,0,0,10,2,1,1,0,2,1,3,1,0,0,7,3
64 - Β' Δυτικής Αττικής,237 E.T. Δήμου Φυλής,565,327,10,3,13,314,128,24,21,47,79,10,11,89,16,11,17,27,45,25,15,5,5,3,9,6,13,2,4,5,7,2,1,28,6,6,0,23,8,1,5,1,1,1,0,2,0,0,0,3,0,1,1,1,0,0,0,19,9,6,9,7,1,1,0,1,0,0,2,2,2,1,1,0,1,0,7,1,1,0,1,2,1,0,0,0,0,2,1
64 - Β' Δυτικής Αττικής,238 E.T. Δήμου Φυλής,561,276,15,2,17,259,110,23,19,42,52,4,9,82,11,17,15,10,43,18,9,2,2,1,5,1,11,0,0,5,4,0,0,15,2,2,0,7,2,1,3,1,1,0,0,2,0,0,0,1,1,0,0,2,1,0,0,9,2,3,2,2,1,0,0,0,0,0,1,1,1,1,0,0,1,0,7,2,0,1,0,1,1,1,0,0,0,6,1
64 - Β' Δυτικής Αττικής,239 E.T. Δήμου Φυλής,568,262,16,4,20,242,161,21,14,68,90,6,6,32,3,2,11,5,13,5,3,1,0,1,1,0,13,2,1,5,6,2,2,12,5,2,2,5,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,2,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,7,0,3,2,1,1,1,1,0,0,0,0,0
64 - Β' Δυτικής Αττικής,240 E.T. Δήμου Φυλής,561,320,7,2,9,311,111,18,20,34,55,8,12,88,16,15,22,17,37,21,19,3,5,2,9,5,21,2,2,10,5,7,3,34,3,1,0,24,13,5,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,8,4,8,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,11,3,2,0,1,2,4,1,1,0,0,3,2
64 - Β' Δυτικής Αττικής,241 E.T. Δήμου Φυλής,500,376,4,4,8,368,104,16,13,21,40,3,10,134,11,12,52,4,37,73,12,3,2,0,0,1,35,1,0,30,0,2,0,22,4,4,0,11,7,2,3,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,25,9,3,5,10,1,0,0,0,0,0,6,4,3,1,0,0,1,1,13,2,0,1,2,1,4,2,1,0,0,8,3
64 - Β' Δυτικής Αττικής,242 E.T. Δήμου Φυλής,472,311,5,3,8,303,96,17,7,21,39,1,13,118,14,9,48,4,41,56,15,2,3,2,6,1,22,1,0,20,2,1,1,13,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,1,0,6,2,0,1,0,1,0,1,1,1,1,0,0,0,0,12,3,2,0,3,3,1,2,1,0,0,9,4
64 - Β' Δυτικής Αττικής,243 E.T. Δήμου Φυλής,473,290,3,0,3,287,81,19,22,15,33,2,6,122,11,7,57,7,50,50,13,2,5,1,9,1,30,3,0,27,1,1,0,12,2,1,0,8,3,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,20,4,2,6,13,0,0,0,0,0,0,3,2,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,2
64 - Β' Δυτικής Αττικής,244 E.T. Δήμου Φυλής,497,300,1,1,2,298,76,18,17,17,32,3,13,115,12,12,47,8,44,48,10,1,4,1,6,1,31,0,1,26,4,4,0,17,6,2,1,6,9,0,3,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,15,6,1,2,5,0,0,0,0,0,0,3,2,2,0,0,0,0,0,15,2,5,0,1,2,5,1,0,0,0,10,5
64 - Β' Δυτικής Αττικής,245 E.T. Δήμου Φυλής,471,314,2,2,4,310,84,6,9,14,30,2,8,128,8,8,49,3,46,64,12,3,1,1,4,1,31,0,2,28,1,0,0,19,3,7,1,8,4,0,3,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,11,2,2,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,2,3,2,0,0,10,4
64 - Β' Δυτικής Αττικής,246 E.T. Δήμου Φυλής,470,333,7,3,10,323,100,20,6,24,34,1,7,126,8,10,61,3,41,60,5,2,0,2,4,0,30,0,0,26,0,2,0,20,4,2,1,11,5,3,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,16,5,2,1,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,9,2,0,0,0,1,2,4,0,0,0,6,3
Σύνολο,,131066,78302,1472,605,2077,76225,27627,5025,4169,6122,11575,5261,3037,26131,4163,8019,8860,1591,10805,5287,3525,806,674,509,1809,895,3995,788,1159,1292,483,558,752,4518,1884,921,593,1283,1129,468,925,209,285,134,78,194,120,19,10,248,90,57,37,267,201,34,19,3995,1866,789,1433,1042,131,67,47,27,40,6,484,294,160,238,52,77,52,93,2441,512,445,172,269,492,657,406,168,0,0,1201,649
