ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Γεωργίου,ΚΑΪΣΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΛΕΣΗ ΕΛΙΣΑΒΕΤ (ΕΛΙΖΑ) του Δημητρίου,ΜΑΛΤΕΖΟΣ ΜΕΝΕΛΑΟΣ του Φωτεινού,ΡΙΖΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΤΣΟΛΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δήμου,Νέα Δημοκρατία,ΔΕΡΜΕΝΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Αλεξάνδρου,ΔΗΜΟΣΧΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Σπύρου,ΚΕΛΕΤΣΗΣ ΣΤΑΥΡΟΣ του Δημητρίου,ΜΠΑΧΑΡΙΔΟΥ ΧΡΥΣΗ του Γεωργίου,ΣΩΚΟΥ ΕΛΕΝΗ (ΕΛΕΝΑ) του Παντελή,ΦΑΡΑΝΤΑΤΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΜΗΝΙΔΟΥ ΔΗΜΗΤΡΟΥΛΑ του Ευαγγέλου,ΔΟΥΛΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΘΕΟΧΑΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΡΑΓΓΕΛΙΔΗΣ ΑΓΓΕΛΟΣ του Αθανασίου,ΤΣΙΓΓΕΡΛΙΩΤΟΥ ΜΑΡΙΑ του Νικολάου,Κίνημα Αλλαγής,ΒΑΣΙΛΕΙΑΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΖΑΠΑΡΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Εμμανουήλ,ΚΑΡΑΦΥΛΛΗΣ ΑΘΑΝΑΣΙΟΣ του Τραϊανού,ΜΑΛΚΟΠΟΥΛΟΥ ΜΟΡΦΩ του Θεοδώρου,ΟΥΣΤΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΧΑΜΑΛΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Κ.Κ.Ε.,ΓΚΑΤΖΙΔΗΣ ΣΤΑΜΑΤΙΟΣ του Χρήστου,ΔΕΥΤΕΡΑΙΟΣ ΣΑΒΒΑΣ του Παναγή,ΜΙΧΑΗΛΙΔΗΣ ΣΙΔΕΡΗΣ του Γεωργίου,ΣΙΣΚΟΥ ΑΝΝΑ- ΜΑΡΙΑ του Ευαγγέλου,ΤΡΕΛΛΗ ΦΑΝΗ του Αποστόλου,ΧΙΩΝΗΣ ΙΩΑΝΝΗΣ του Νικολάου,Ένωση Κεντρώων,ΛΥΣΙΜΑΧΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,ΜΟΥΣΙΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΜΠΑΔΑΝΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΣΑΓΚΟΥΡΗ ΒΑΣΙΛΙΚΗ του Νικολάου,ΧΑΡΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΕΜΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΣΙΝΟΒΑΛΗ ΑΙΚΑΤΕΡΙΝΑ του Δημητρίου,ΛΑΖΟΣ ΒΑΣΙΛΕΙΟΣ του Βασιλείου,ΜΠΟΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΛΕΞΑΝΔΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΗΛΙΑΔΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΚΥΡΟΥ ΜΑΡΙΑ του Παναγιώτη,ΛΑΖΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΟΛΥΜΕΡΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΕΡΜΕΝΤΖΟΓΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΡΚΟΣ ΜΑΡΓΑΡΙΤΗΣ του Δημητρίου,ΚΙΤΣΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ευαγγέλου,ΠΑΠΟΥΛΙΔΟΥ ΕΛΠΙΔΑ του Γεωργίου,ΠΑΥΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΧΙΝΙΔΟΥ ΛΥΓΕΡΗ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΑΛΛΙΑΔΑ ΑΝΘΟΥΛΑ του Ευσταθίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΠΑΧΗ ΣΤΥΛΙΑΝΗ του Λέανδρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΒΡΑΜΙΔΟΥ ΒΑΣΙΛΕΙΑ του Κυριάκου,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΓΑΖΗ ΕΛΕΝΗ του Χρήστου,ΖΕΛΙΑΣΚΟΣ ΙΩΑΝΝΗΣ του Σάββα,ΚΟΣΜΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΑΝΔΡΕΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜέΡΑ25,ΒΑΪΔΟΥ ΑΝΝΑ του Ζήση,ΓΕΡΑΣΙΜΟΥ ΗΛΙΑΣ του Ιωάννη,ΛΟΥΪΖΟΥ ΜΑΡΙΑ ΙΩΑΝΝΑ του Βασιλείου,ΜΗΤΡΙΤΖΙΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΣΗΜΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΙΩΣΗΦΙΔΗΣ ΣΑΒΒΑΣ του Στεφάνου,ΚΑΡΑΜΑΝΙΔΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΟΜΠΑΡΗ ΕΥΑΝΘΙΑ του Ευστρατίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Ζήση
1 - Έβρου,96 E.T. Δήμου Αλεξανδρούπολης,499,277,2,1,3,274,107,29,37,11,55,22,20,108,47,47,40,6,11,14,6,1,1,3,3,0,17,7,7,3,0,8,2,9,0,4,8,0,2,1,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,18,11,3,0,3,8,4,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,1
1 - Έβρου,97 E.T. Δήμου Αλεξανδρούπολης,103,59,1,0,1,58,31,10,7,3,14,6,2,11,2,4,4,0,6,0,1,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,1,0,2,1,2,0,0,1,1,1,0
1 - Έβρου,98 E.T. Δήμου Αλεξανδρούπολης,483,262,3,1,4,258,60,16,15,3,25,3,18,126,26,60,37,8,30,38,12,3,6,2,0,1,15,3,5,6,7,3,2,5,0,2,1,0,1,1,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,11,4,2,1,8,2,0,0,0,0,0,1,1,0,0,0,0,1,0,7,2,1,0,6,2,0,1,1,0,1,1
1 - Έβρου,99 E.T. Δήμου Αλεξανδρούπολης,480,281,7,3,10,271,79,14,17,1,42,5,21,87,19,37,25,0,16,27,16,3,5,4,3,1,37,0,19,7,22,8,1,5,1,3,1,0,1,2,4,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,26,11,5,1,2,9,3,2,1,1,0,0,4,1,2,0,1,1,0,0,8,1,1,1,2,0,0,0,0,0,2,1
1 - Έβρου,100 E.T. Δήμου Αλεξανδρούπολης,485,263,6,3,9,254,43,11,11,4,14,8,10,120,26,40,43,9,25,36,13,2,4,1,1,1,30,5,11,2,19,4,1,5,0,3,0,1,0,2,5,2,0,1,1,2,0,0,1,1,0,0,3,0,1,1,0,0,0,23,6,2,1,1,12,6,0,0,0,0,0,3,1,0,1,1,0,0,0,6,0,0,0,2,1,0,0,0,0,1,1
1 - Έβρου,101 E.T. Δήμου Αλεξανδρούπολης,109,37,1,0,1,36,16,2,3,0,9,5,6,3,1,1,2,0,1,1,0,0,0,0,0,0,6,0,6,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
1 - Έβρου,102 E.T. Δήμου Αλεξανδρούπολης,354,180,1,2,3,177,54,16,6,5,24,3,14,86,23,24,52,6,8,14,2,0,1,1,0,0,11,0,11,1,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,4,3,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,2,3,1,2,0,1,1,0
1 - Έβρου,103 E.T. Δήμου Αλεξανδρούπολης,368,221,0,7,7,214,65,10,12,3,35,8,14,100,17,29,58,5,10,22,11,3,4,2,2,1,6,0,3,1,0,0,0,3,0,3,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,4,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,1,3,2,0,0,0,0,1,1
1 - Έβρου,104 E.T. Δήμου Αλεξανδρούπολης,547,317,1,2,3,314,81,24,22,6,21,16,15,113,26,55,35,11,21,22,19,10,6,1,1,1,41,6,11,2,0,29,6,12,0,10,2,0,2,7,4,1,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,27,16,8,1,4,6,1,0,0,0,1,0,5,2,0,1,1,1,0,0,8,3,0,1,0,1,0,1,1,0,1,1
1 - Έβρου,105 E.T. Δήμου Αλεξανδρούπολης,518,288,12,0,12,276,72,11,17,7,17,14,11,128,42,68,35,18,23,29,12,3,6,5,4,0,22,0,5,2,0,17,1,9,0,7,0,2,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,2,3,1,9,2,0,0,0,0,0,4,1,1,2,0,0,1,0,2,1,1,0,1,2,1,1,0,0,3,2
1 - Έβρου,106 E.T. Δήμου Αλεξανδρούπολης,510,350,8,4,12,338,76,29,14,9,22,14,14,133,40,57,27,18,9,36,25,6,10,3,2,2,33,1,5,3,2,25,3,18,0,14,0,2,2,5,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,24,12,4,2,5,1,2,0,0,0,0,0,3,1,0,1,0,1,0,0,11,3,1,3,1,3,1,0,2,0,6,2
1 - Έβρου,107 E.T. Δήμου Αλεξανδρούπολης,520,295,3,0,3,292,83,21,11,10,38,13,18,126,57,55,37,11,13,20,10,5,4,0,1,1,21,4,4,2,0,13,2,13,1,10,1,2,3,2,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,6,3,3,1,9,3,0,0,0,0,0,1,0,1,0,0,1,0,0,11,6,2,3,1,1,0,0,0,0,2,2
1 - Έβρου,108 E.T. Δήμου Αλεξανδρούπολης,533,267,2,1,3,264,46,9,10,2,19,7,10,130,38,73,29,8,19,30,11,3,2,2,4,2,24,2,6,1,2,18,5,15,2,8,1,2,1,4,8,2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,19,4,2,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,2,1,0,0,0,0,1,0
1 - Έβρου,109 E.T. Δήμου Αλεξανδρούπολης,532,279,3,2,5,274,85,18,19,5,35,20,10,116,45,55,31,9,14,30,14,7,7,4,0,1,35,0,10,4,2,18,7,7,1,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,1,2,0,1,1,0,0,0,1,1
1 - Έβρου,110 E.T. Δήμου Αλεξανδρούπολης,516,255,5,3,8,247,58,19,12,12,14,11,15,84,28,43,23,5,16,16,11,2,2,1,3,0,45,4,10,3,1,39,1,23,4,21,0,1,5,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,4,0,3,0,3,1,0,0,0,0,0,3,1,1,0,0,0,0,0,11,2,1,2,3,0,0,0,0,0,1,1
1 - Έβρου,111 E.T. Δήμου Αλεξανδρούπολης,511,307,12,1,13,294,86,20,24,9,25,18,14,109,35,46,34,14,14,27,16,6,8,5,0,1,19,0,6,1,1,12,2,11,0,10,2,1,4,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,5,3,8,7,4,0,0,0,0,0,3,0,2,0,0,0,0,0,9,5,3,3,3,6,1,5,0,1,2,1
1 - Έβρου,112 E.T. Δήμου Αλεξανδρούπολης,534,275,5,1,6,269,73,18,16,5,26,15,15,125,49,69,31,11,20,27,6,1,2,3,1,0,21,1,6,2,0,14,5,19,1,16,3,2,7,3,4,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,1,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,1,0,1,2,1,0,0,0,3,2
1 - Έβρου,113 E.T. Δήμου Αλεξανδρούπολης,516,250,3,0,3,247,52,15,11,9,18,14,8,99,26,51,23,17,17,23,13,6,6,5,2,1,22,5,3,0,1,18,4,13,1,11,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28,9,5,1,3,15,5,0,0,0,0,0,2,0,1,1,0,1,1,1,8,4,2,6,2,1,0,1,0,1,3,1
1 - Έβρου,114 E.T. Δήμου Αλεξανδρούπολης,337,193,1,2,3,190,57,18,12,4,14,7,14,57,8,27,29,2,14,5,10,4,3,1,0,1,38,5,7,0,0,26,1,6,0,5,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
1 - Έβρου,115 E.T. Δήμου Αλεξανδρούπολης,481,306,4,0,4,302,101,31,33,14,44,15,23,101,15,53,26,19,27,20,13,10,4,0,1,6,32,21,6,0,0,14,1,8,0,7,1,0,5,1,4,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,3,5,5,14,4,0,0,0,0,0,3,1,1,0,0,1,0,0,10,4,0,1,2,0,0,0,0,0,1,1
1 - Έβρου,116 E.T. Δήμου Αλεξανδρούπολης,483,371,15,7,22,349,88,25,20,10,18,20,10,163,89,34,14,14,30,0,25,4,8,6,3,4,24,0,5,0,1,19,1,4,0,1,0,0,1,2,6,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,8,3,1,4,7,1,1,0,0,0,0,2,1,1,0,0,0,0,0,9,2,2,3,1,1,1,0,1,0,2,0
1 - Έβρου,117 E.T. Δήμου Αλεξανδρούπολης,411,242,3,1,4,238,80,21,22,1,24,14,7,88,27,50,25,6,14,16,8,2,4,3,2,1,32,4,15,4,2,16,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,2,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,9,2,2,1,2,2,0,0,0,0,4,1
1 - Έβρου,118 E.T. Δήμου Αλεξανδρούπολης,252,233,3,4,7,226,70,17,14,7,24,13,15,73,17,22,10,9,13,35,13,3,5,5,1,3,14,2,5,2,2,7,2,15,5,6,0,2,0,3,5,0,2,2,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,19,7,5,0,2,4,2,2,1,1,0,0,2,0,2,2,0,0,0,0,5,1,1,1,0,3,2,1,3,0,3,0
1 - Έβρου,119 E.T. Δήμου Αλεξανδρούπολης,252,203,2,3,5,198,66,13,22,5,9,17,15,56,19,15,6,7,2,28,21,4,7,6,7,1,14,2,7,0,1,10,0,7,1,6,0,0,2,2,2,1,1,0,0,0,0,0,1,0,1,1,2,0,0,0,1,1,0,15,6,5,0,4,4,1,0,0,0,0,0,4,2,1,1,0,0,0,0,5,1,1,0,0,2,1,0,1,1,3,3
1 - Έβρου,120 E.T. Δήμου Αλεξανδρούπολης,439,211,6,0,6,205,59,28,18,1,29,6,6,75,23,48,9,13,18,10,3,1,3,1,0,1,21,1,7,2,3,17,0,4,0,3,0,0,2,1,6,1,2,2,2,1,0,0,0,0,0,0,5,3,3,1,1,1,0,17,6,3,2,2,7,1,0,0,0,0,0,5,0,1,2,0,0,0,0,5,3,1,3,1,2,2,0,1,0,3,2
1 - Έβρου,121 E.T. Δήμου Αλεξανδρούπολης,453,216,3,1,4,212,61,19,15,4,18,8,14,80,28,38,12,11,16,17,7,2,0,2,1,0,26,0,10,1,0,17,1,3,0,3,1,0,0,0,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2,0,1,6,1,0,0,0,1,1,0,0,0,0,0,0,1,0,6,2,0,1,2,1,1,0,0,1,6,4
1 - Έβρου,122 E.T. Δήμου Αλεξανδρούπολης,449,286,7,1,8,278,75,27,21,6,23,17,8,107,29,49,17,15,17,28,12,5,7,3,2,2,28,6,7,2,2,19,0,4,0,1,2,0,0,0,3,2,1,0,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,25,8,1,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,2,4,4,0,1,2,0,4,2
1 - Έβρου,123 E.T. Δήμου Αλεξανδρούπολης,285,169,0,0,0,169,54,17,11,7,16,8,11,70,27,25,16,8,20,18,11,8,1,2,1,7,13,1,3,1,0,10,1,4,1,2,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,1,0
1 - Έβρου,124 E.T. Δήμου Αλεξανδρούπολης,257,162,1,0,1,161,45,14,5,2,28,7,4,64,9,32,22,3,21,15,2,0,0,0,0,0,22,1,12,1,0,12,0,11,0,7,2,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,1,4,0,0,0,0,0,1,1
1 - Έβρου,125 E.T. Δήμου Αλεξανδρούπολης,392,208,2,0,2,206,59,25,16,4,25,4,10,52,15,28,8,3,10,19,3,1,1,1,1,0,55,6,34,1,2,32,5,6,0,6,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,15,6,5,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,5,3,0,3,0,2,1,1,0,0,2,1
1 - Έβρου,126 E.T. Δήμου Αλεξανδρούπολης,410,208,2,7,9,199,37,14,8,3,9,6,7,104,43,43,22,10,27,13,11,5,2,4,1,1,13,0,8,1,0,5,1,4,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,20,7,1,5,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3
1 - Έβρου,127 E.T. Δήμου Αλεξανδρούπολης,182,122,1,1,2,120,11,2,2,1,5,4,3,83,15,43,20,1,28,23,6,1,1,1,4,0,9,0,2,0,0,7,0,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,128 E.T. Δήμου Αλεξανδρούπολης,192,95,0,0,0,95,22,13,7,3,5,1,3,38,10,21,11,3,6,10,5,3,3,0,2,1,9,0,6,0,0,8,0,4,2,3,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,3,0,4,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1 - Έβρου,129 E.T. Δήμου Διδυμοτείχου,550,250,4,2,6,244,93,41,12,6,3,2,9,106,16,73,11,18,6,15,5,0,3,0,2,0,9,1,4,0,0,0,4,1,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,4,0,7,6,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,4,0,5,2,1,1,1,0,0,0,0,0,1,1
1 - Έβρου,130 E.T. Δήμου Διδυμοτείχου,550,276,8,2,10,266,55,14,13,7,9,3,7,144,28,88,14,28,17,29,7,1,3,2,2,1,19,2,7,3,3,8,5,3,0,1,0,1,2,0,5,0,0,0,0,2,1,0,3,0,1,1,1,1,0,0,0,0,0,11,3,1,0,4,0,2,0,0,0,0,0,7,3,1,0,1,0,0,0,6,3,0,3,0,3,0,1,0,0,1,0
1 - Έβρου,131 E.T. Δήμου Διδυμοτείχου,566,308,1,3,4,304,63,20,19,5,3,6,13,164,39,106,33,27,21,32,13,3,7,1,1,1,13,1,3,1,0,6,4,8,3,2,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23,6,2,2,5,2,3,0,0,0,0,0,4,1,1,0,0,0,2,0,4,0,0,2,1,1,0,0,0,0,6,2
1 - Έβρου,132 E.T. Δήμου Διδυμοτείχου,527,208,3,2,5,203,70,35,12,5,12,3,20,97,28,57,18,17,10,25,4,0,4,0,1,0,15,1,3,1,0,6,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,2,0,1,0,1,0,1,1,0
1 - Έβρου,133 E.T. Δήμου Διδυμοτείχου,532,237,5,2,7,230,64,26,10,4,6,1,6,106,25,74,12,10,6,19,18,7,3,2,0,0,9,2,4,0,1,3,4,4,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,2,3,1,1,1,1,0,0,0,2,1,5,2,1,3,0,0,0,0,4,1,2,1,0,0,0,0,0,0,5,0
1 - Έβρου,134 E.T. Δήμου Διδυμοτείχου,525,232,2,5,7,225,76,31,18,7,6,4,16,96,20,58,14,19,5,18,4,0,2,0,0,0,12,1,5,3,0,5,1,5,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,8,3,1,1,2,0,0,0,0,0,0,5,0,0,3,0,1,0,0,5,2,3,0,1,0,0,0,0,0,4,0
1 - Έβρου,135 E.T. Δήμου Διδυμοτείχου,537,267,5,5,10,257,59,30,25,7,7,2,13,130,15,77,21,26,16,42,13,2,10,1,2,0,11,0,4,0,0,2,1,12,3,5,1,2,3,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,5,2,4,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,2,0
1 - Έβρου,136 E.T. Δήμου Διδυμοτείχου,523,252,4,2,6,246,91,34,21,1,8,2,17,88,20,42,19,9,10,20,7,0,5,2,1,0,17,1,7,1,3,1,4,7,1,1,2,0,0,2,8,0,1,1,0,3,1,0,0,0,0,0,2,0,0,0,0,2,0,18,7,6,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,1,2,0,0,0,0,0,0,1,1
1 - Έβρου,137 E.T. Δήμου Διδυμοτείχου,529,235,4,2,6,229,68,20,18,5,4,2,11,101,26,57,8,10,7,27,9,1,5,2,0,0,19,0,7,1,1,4,11,2,1,0,0,0,0,0,4,1,1,0,1,3,0,0,1,0,0,0,3,0,0,0,0,0,0,11,5,2,0,0,3,0,2,0,0,0,0,2,0,0,1,0,0,1,0,5,1,0,1,1,1,1,0,0,1,0,0
1 - Έβρου,138 E.T. Δήμου Διδυμοτείχου,522,283,5,3,8,275,67,36,26,6,8,4,9,151,40,73,22,22,20,45,5,1,2,2,2,0,12,4,5,0,1,1,0,2,1,1,1,0,1,0,5,3,3,2,0,0,0,0,1,0,0,1,6,0,0,0,0,6,0,10,4,3,0,0,4,0,0,0,0,0,0,2,2,0,1,0,0,0,0,7,1,0,0,0,7,3,5,3,0,0,0
1 - Έβρου,139 E.T. Δήμου Διδυμοτείχου,520,275,1,1,2,273,70,27,11,6,9,2,5,122,29,68,13,24,12,14,13,1,8,3,0,0,18,2,7,0,0,1,8,8,2,2,2,1,0,1,2,1,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,3,0,12,4,4,1,0,1,0,1,0,0,0,0,8,4,0,1,0,3,2,0,6,1,0,1,1,2,1,0,0,0,2,1
1 - Έβρου,140 E.T. Δήμου Διδυμοτείχου,526,226,3,4,7,219,84,31,21,14,6,11,18,94,26,52,18,19,11,14,3,1,2,0,0,0,14,1,9,1,0,4,8,6,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,6,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1,0,0,4,4
1 - Έβρου,141 E.T. Δήμου Διδυμοτείχου,520,252,10,2,12,240,73,27,20,7,8,2,8,114,25,67,20,20,14,32,14,1,10,5,1,0,14,2,3,0,0,2,5,3,3,0,0,1,1,0,6,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,3,0,1,1,1,1,1,0,0,0,0,0,4,1,1,3,0,2,0,0,3,1,0,1,0,2,0,0,0,0,1,1
1 - Έβρου,142 E.T. Δήμου Διδυμοτείχου,550,236,5,2,7,229,68,30,17,7,11,2,10,114,20,76,16,21,10,20,6,0,4,1,1,1,17,2,6,1,0,5,13,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,8,4,2,0,4,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,6,2,0,2,1,1,1,1,0,0,0,0
1 - Έβρου,143 E.T. Δήμου Διδυμοτείχου,532,274,6,4,10,264,76,19,20,3,5,6,25,106,16,69,16,17,12,21,4,0,2,0,0,0,22,2,3,1,0,5,15,7,2,3,2,1,3,0,5,0,1,0,0,1,0,0,2,0,0,0,4,0,0,0,3,4,0,17,6,6,0,3,3,0,0,0,0,0,0,2,1,0,0,1,0,1,1,11,2,1,2,1,6,2,2,2,1,1,1
1 - Έβρου,144 E.T. Δήμου Διδυμοτείχου,288,72,2,0,2,70,10,3,3,0,0,0,4,42,12,28,11,7,1,8,2,0,0,0,0,0,10,3,3,1,0,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,145 E.T. Δήμου Διδυμοτείχου,513,215,4,0,4,211,43,12,10,2,6,1,8,132,29,89,34,28,7,19,3,1,2,0,0,0,16,3,6,1,4,4,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1 - Έβρου,146 E.T. Δήμου Διδυμοτείχου,404,163,1,0,1,162,32,18,8,8,1,1,9,89,6,69,6,53,5,6,4,0,4,1,0,0,12,3,7,0,4,1,2,5,1,0,0,0,2,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,0,1,0,1,1,0,5,3
1 - Έβρου,147 E.T. Δήμου Διδυμοτείχου,402,159,5,2,7,152,31,25,7,0,0,2,6,92,12,52,4,50,9,9,3,0,2,1,1,0,5,0,3,0,0,2,1,3,0,0,1,1,2,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,1,1,0,1,1,0,0,0,0,0
1 - Έβρου,148 E.T. Δήμου Διδυμοτείχου,422,211,2,4,6,205,88,13,74,4,6,2,11,68,10,48,5,8,5,9,3,0,2,1,0,0,9,0,5,0,0,2,6,21,14,12,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,3,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,1,0,0,0
1 - Έβρου,149 E.T. Δήμου Διδυμοτείχου,419,210,4,2,6,204,60,15,51,3,6,3,7,90,17,48,10,14,5,22,8,1,6,0,0,0,4,0,3,0,0,1,1,21,14,5,12,3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,1,1,0,1,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,6,2,1,2,1,0,0,0,0,0,4,0
