ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Γεωργίου,ΚΑΪΣΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΛΕΣΗ ΕΛΙΣΑΒΕΤ (ΕΛΙΖΑ) του Δημητρίου,ΜΑΛΤΕΖΟΣ ΜΕΝΕΛΑΟΣ του Φωτεινού,ΡΙΖΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΤΣΟΛΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δήμου,Νέα Δημοκρατία,ΔΕΡΜΕΝΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Αλεξάνδρου,ΔΗΜΟΣΧΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Σπύρου,ΚΕΛΕΤΣΗΣ ΣΤΑΥΡΟΣ του Δημητρίου,ΜΠΑΧΑΡΙΔΟΥ ΧΡΥΣΗ του Γεωργίου,ΣΩΚΟΥ ΕΛΕΝΗ (ΕΛΕΝΑ) του Παντελή,ΦΑΡΑΝΤΑΤΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΜΗΝΙΔΟΥ ΔΗΜΗΤΡΟΥΛΑ του Ευαγγέλου,ΔΟΥΛΑΚΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΘΕΟΧΑΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΡΑΓΓΕΛΙΔΗΣ ΑΓΓΕΛΟΣ του Αθανασίου,ΤΣΙΓΓΕΡΛΙΩΤΟΥ ΜΑΡΙΑ του Νικολάου,Κίνημα Αλλαγής,ΒΑΣΙΛΕΙΑΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΖΑΠΑΡΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Εμμανουήλ,ΚΑΡΑΦΥΛΛΗΣ ΑΘΑΝΑΣΙΟΣ του Τραϊανού,ΜΑΛΚΟΠΟΥΛΟΥ ΜΟΡΦΩ του Θεοδώρου,ΟΥΣΤΟΓΛΟΥ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΧΑΜΑΛΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Κ.Κ.Ε.,ΓΚΑΤΖΙΔΗΣ ΣΤΑΜΑΤΙΟΣ του Χρήστου,ΔΕΥΤΕΡΑΙΟΣ ΣΑΒΒΑΣ του Παναγή,ΜΙΧΑΗΛΙΔΗΣ ΣΙΔΕΡΗΣ του Γεωργίου,ΣΙΣΚΟΥ ΑΝΝΑ- ΜΑΡΙΑ του Ευαγγέλου,ΤΡΕΛΛΗ ΦΑΝΗ του Αποστόλου,ΧΙΩΝΗΣ ΙΩΑΝΝΗΣ του Νικολάου,Ένωση Κεντρώων,ΛΥΣΙΜΑΧΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,ΜΟΥΣΙΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΜΠΑΔΑΝΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΣΑΓΚΟΥΡΗ ΒΑΣΙΛΙΚΗ του Νικολάου,ΧΑΡΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΕΜΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΣΙΝΟΒΑΛΗ ΑΙΚΑΤΕΡΙΝΑ του Δημητρίου,ΛΑΖΟΣ ΒΑΣΙΛΕΙΟΣ του Βασιλείου,ΜΠΟΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΑΛΕΞΑΝΔΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΗΛΙΑΔΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΚΥΡΟΥ ΜΑΡΙΑ του Παναγιώτη,ΛΑΖΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΟΛΥΜΕΡΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΕΡΜΕΝΤΖΟΓΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΡΚΟΣ ΜΑΡΓΑΡΙΤΗΣ του Δημητρίου,ΚΙΤΣΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ευαγγέλου,ΠΑΠΟΥΛΙΔΟΥ ΕΛΠΙΔΑ του Γεωργίου,ΠΑΥΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΧΙΝΙΔΟΥ ΛΥΓΕΡΗ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΑΛΛΙΑΔΑ ΑΝΘΟΥΛΑ του Ευσταθίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΠΑΧΗ ΣΤΥΛΙΑΝΗ του Λέανδρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΒΡΑΜΙΔΟΥ ΒΑΣΙΛΕΙΑ του Κυριάκου,ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΓΑΖΗ ΕΛΕΝΗ του Χρήστου,ΖΕΛΙΑΣΚΟΣ ΙΩΑΝΝΗΣ του Σάββα,ΚΟΣΜΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΑΝΔΡΕΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜέΡΑ25,ΒΑΪΔΟΥ ΑΝΝΑ του Ζήση,ΓΕΡΑΣΙΜΟΥ ΗΛΙΑΣ του Ιωάννη,ΛΟΥΪΖΟΥ ΜΑΡΙΑ ΙΩΑΝΝΑ του Βασιλείου,ΜΗΤΡΙΤΖΙΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΣΗΜΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΙΩΣΗΦΙΔΗΣ ΣΑΒΒΑΣ του Στεφάνου,ΚΑΡΑΜΑΝΙΔΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΟΜΠΑΡΗ ΕΥΑΝΘΙΑ του Ευστρατίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Ζήση
1 - Έβρου,150 E.T. Δήμου Διδυμοτείχου,198,322,8,6,14,308,95,32,15,15,5,12,24,101,19,42,5,23,12,26,29,8,6,9,5,4,8,0,1,0,1,0,0,15,5,1,4,2,3,2,6,2,1,1,0,3,0,0,4,2,2,0,1,0,0,1,0,0,0,21,10,3,3,3,1,1,0,0,0,0,0,3,2,1,1,0,0,2,1,12,3,3,2,3,8,1,4,1,0,3,1
1 - Έβρου,151 E.T. Δήμου Διδυμοτείχου,185,327,23,11,34,293,61,27,26,9,9,9,10,117,24,48,7,33,8,24,48,15,15,14,7,6,6,1,1,0,0,2,3,5,1,0,2,1,0,0,6,0,0,1,0,1,1,0,3,2,0,0,1,0,0,1,0,0,1,23,6,3,5,3,5,2,0,0,0,0,0,4,3,0,1,1,0,1,0,10,2,4,3,0,3,1,1,0,0,4,2
1 - Έβρου,152 E.T. Δήμου Διδυμοτείχου,450,178,7,0,7,171,35,18,22,0,1,0,9,97,13,77,17,19,4,9,12,2,11,0,0,0,6,0,4,0,0,1,1,5,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,10,7,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1
1 - Έβρου,153 E.T. Δήμου Διδυμοτείχου,389,202,5,1,6,196,32,15,10,4,5,2,4,124,17,91,34,11,6,28,15,3,10,2,1,0,12,2,5,0,2,2,6,2,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
1 - Έβρου,154 E.T. Δήμου Διδυμοτείχου,385,236,3,1,4,232,34,19,9,6,7,2,8,141,21,104,24,23,13,23,12,6,3,2,2,1,19,2,12,0,1,4,7,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,2,1,1,3,0,0,0,0,0,3,1,0,0,0,1,1,0,2,0,1,0,0,6,2,2,2,0,1,0
1 - Έβρου,155 E.T. Δήμου Διδυμοτείχου,314,162,0,0,0,162,20,7,7,3,2,1,4,92,23,51,15,11,14,22,3,0,1,1,0,0,23,3,1,6,0,5,18,6,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,3,1,1,1,1,0,0,2,1
1 - Έβρου,156 E.T. Δήμου Διδυμοτείχου,331,120,0,0,0,120,30,5,12,2,2,0,9,47,14,33,11,1,9,9,4,0,2,0,0,0,17,1,2,1,0,3,13,6,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,2,1,0,0,2,1,3,2,1,1,0,1,0,0,0,0,0,0,0,3,2,0,1,1,1,1,0,1,0,0,0
1 - Έβρου,157 E.T. Δήμου Διδυμοτείχου,333,345,11,3,14,331,81,30,30,13,12,12,8,167,40,52,40,29,15,70,18,4,4,5,4,2,21,4,6,2,2,5,3,7,2,3,0,2,3,0,5,0,2,0,0,2,0,0,1,0,0,0,2,0,0,1,0,1,0,19,2,4,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,2,1,1,2,0,2,1
1 - Έβρου,158 E.T. Δήμου Διδυμοτείχου,387,291,11,7,18,273,71,19,31,7,3,7,9,130,25,44,27,28,16,57,18,6,6,5,5,2,19,2,8,5,0,5,4,5,3,1,1,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,0,0,0,11,7,2,3,2,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,3,1,1,1,1,2,0,1,0,0,2,1
1 - Έβρου,159 E.T. Δήμου Διδυμοτείχου,429,164,2,0,2,162,66,41,15,5,2,4,10,53,12,27,15,13,3,2,7,6,0,0,0,0,16,0,10,0,1,7,5,8,1,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0
1 - Έβρου,160 E.T. Δήμου Διδυμοτείχου,351,113,2,0,2,111,43,17,20,3,1,1,15,39,4,23,12,4,1,13,2,2,0,0,0,0,5,1,1,0,0,2,4,5,2,0,0,1,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0
1 - Έβρου,161 E.T. Δήμου Διδυμοτείχου,366,110,1,0,1,109,32,11,9,0,2,1,2,55,41,10,16,1,8,0,2,1,2,0,0,0,7,2,1,0,0,0,4,3,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1 - Έβρου,162 E.T. Δήμου Διδυμοτείχου,500,208,4,3,7,201,27,18,8,3,2,0,4,115,28,76,28,16,16,16,9,1,4,1,1,1,38,2,10,7,1,18,11,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,1,0
1 - Έβρου,163 E.T. Δήμου Διδυμοτείχου,491,185,1,3,4,181,34,10,10,3,1,1,14,80,21,50,13,11,7,14,7,1,2,0,1,0,38,3,4,0,0,22,13,3,1,0,2,1,1,1,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,2,0,1,1,0,1,0,0,0
1 - Έβρου,164 E.T. Δήμου Διδυμοτείχου,354,104,0,0,0,104,14,3,7,0,5,1,2,68,17,44,9,13,3,18,2,0,0,1,0,0,5,0,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,1,0,6,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1 - Έβρου,165 E.T. Δήμου Διδυμοτείχου,168,59,1,0,1,58,12,4,6,1,2,0,2,25,5,16,4,7,3,4,4,1,2,0,0,1,2,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1 - Έβρου,166 E.T. Δήμου Διδυμοτείχου,391,95,0,0,0,95,24,10,4,3,10,1,13,47,47,24,1,7,6,9,3,1,2,0,0,0,2,0,1,0,0,0,1,4,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,2,3,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
1 - Έβρου,167 E.T. Δήμου Διδυμοτείχου,438,139,2,1,3,136,34,14,8,4,1,2,6,61,18,27,12,19,3,13,6,3,1,2,1,0,21,0,8,0,3,1,13,1,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1 - Έβρου,168 E.T. Δήμου Διδυμοτείχου,351,157,0,0,0,157,30,15,8,6,0,3,13,97,45,21,32,35,10,22,4,1,3,1,0,0,13,1,3,1,3,1,11,9,3,8,1,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1 - Έβρου,169 E.T. Δήμου Διδυμοτείχου,349,151,0,0,0,151,30,20,5,2,1,0,15,69,24,32,28,18,4,16,13,6,9,0,4,1,20,1,6,0,1,4,14,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,0,0,0,0,0,1,1
1 - Έβρου,170 E.T. Δήμου Διδυμοτείχου,342,144,1,1,2,142,29,11,4,10,12,0,4,92,24,49,12,20,8,23,1,0,0,1,0,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,0,0
1 - Έβρου,171 E.T. Δήμου Διδυμοτείχου,390,135,2,1,3,132,28,11,4,4,12,2,10,81,17,49,23,11,9,12,2,0,1,0,1,0,5,0,1,0,3,0,4,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,4,1,1,2,1,3,0,0,3,2,0,1,0,0,0,0,0,0,0,0
1 - Έβρου,172 E.T. Δήμου Διδυμοτείχου,406,123,2,0,2,121,39,23,3,2,3,4,3,60,6,45,10,9,2,15,3,2,0,0,0,0,7,1,1,0,0,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,173 E.T. Δήμου Διδυμοτείχου,389,97,0,0,0,97,26,16,4,2,3,3,6,35,5,25,6,7,5,9,5,2,4,1,0,0,16,2,6,1,0,4,13,4,3,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,5,2,2,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
1 - Έβρου,174 E.T. Δήμου Διδυμοτείχου,387,125,3,0,3,122,34,16,4,4,0,3,2,55,8,35,9,9,5,12,5,1,3,0,0,0,6,1,1,0,0,1,4,11,8,4,1,0,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,0,1,1,0,0,0,0,0,0,0
1 - Έβρου,175 E.T. Δήμου Διδυμοτείχου,364,90,2,0,2,88,18,9,1,0,4,1,1,39,13,28,7,3,3,5,4,1,1,0,0,0,10,1,2,0,0,1,2,2,2,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0
1 - Έβρου,176 E.T. Δήμου Διδυμοτείχου,366,111,0,1,1,110,11,3,2,0,1,2,2,60,7,31,5,33,11,12,3,3,0,0,0,2,15,4,5,2,0,3,6,0,0,0,0,0,0,0,5,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,7,0,3,1,1,0,0,0,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,177 E.T. Δήμου Διδυμοτείχου,394,149,2,0,2,147,29,14,7,7,1,4,10,64,11,32,14,27,5,7,1,0,0,0,0,0,28,2,11,3,2,7,13,2,0,2,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,2,3,1,2,7,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
1 - Έβρου,178 E.T. Δήμου Διδυμοτείχου,526,210,1,3,4,206,37,22,7,6,2,3,11,132,27,83,25,46,13,14,3,1,2,0,0,0,12,0,7,0,0,6,3,3,1,0,1,1,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0
1 - Έβρου,179 E.T. Δήμου Διδυμοτείχου,515,190,1,1,2,188,30,17,1,5,9,0,4,124,34,61,27,32,13,27,4,0,2,2,0,0,12,1,10,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,2,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0
1 - Έβρου,180 E.T. Δήμου Διδυμοτείχου,518,180,6,1,7,173,41,18,6,2,14,0,12,95,25,59,17,25,11,8,1,1,0,0,0,0,15,4,8,1,0,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,9,3,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,1,1,1,1,0,0,0,0,0,1,0
1 - Έβρου,181 E.T. Δήμου Διδυμοτείχου,467,211,1,0,1,210,43,15,9,4,8,2,15,114,16,62,37,7,5,34,5,1,1,1,1,0,15,0,3,3,1,4,7,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23,10,4,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,1,1,1,0
1 - Έβρου,182 E.T. Δήμου Διδυμοτείχου,344,101,1,0,1,100,47,8,3,0,31,1,3,18,5,7,2,1,0,8,4,4,0,0,1,0,20,1,8,2,0,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,183 E.T. Δήμου Διδυμοτείχου,381,217,5,0,5,212,15,7,4,2,4,0,1,163,83,71,29,15,14,21,7,1,3,1,0,0,8,1,3,0,2,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,4,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0
1 - Έβρου,184 E.T. Δήμου Διδυμοτείχου,355,192,4,1,5,187,11,5,0,2,1,0,2,136,67,52,24,20,19,17,12,5,8,2,0,0,7,1,5,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,11,3,1,0,0,1,1,0,1,0,2,1
1 - Έβρου,185 E.T. Δήμου Διδυμοτείχου,164,52,0,0,0,52,12,1,2,7,2,7,0,34,17,16,13,1,7,1,0,0,0,0,0,0,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,186 E.T. Δήμου Διδυμοτείχου,313,97,0,1,1,96,9,8,1,1,3,0,0,63,12,36,21,6,4,10,4,0,2,0,0,0,7,1,2,2,1,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1 - Έβρου,187 E.T. Δήμου Διδυμοτείχου,292,82,1,0,1,81,26,6,4,1,2,0,9,42,7,28,11,9,6,2,6,1,4,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1 - Έβρου,188 E.T. Δήμου Διδυμοτείχου,370,136,2,1,3,133,30,11,4,5,2,3,9,63,29,29,11,15,1,9,7,2,4,1,0,0,11,1,5,1,0,3,4,2,1,0,0,0,0,1,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,11,6,5,0,2,3,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1 - Έβρου,189 E.T. Δήμου Διδυμοτείχου,379,176,0,1,1,175,27,17,3,0,6,1,6,116,38,56,27,21,12,29,7,2,1,1,0,0,6,0,3,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0
1 - Έβρου,190 E.T. Δήμου Διδυμοτείχου,385,172,1,0,1,171,43,22,6,5,9,2,7,99,28,41,28,27,7,14,3,0,3,0,1,0,3,0,2,0,0,0,2,4,3,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,1
1 - Έβρου,191 E.T. Δήμου Διδυμοτείχου,551,125,3,0,3,122,37,5,13,0,34,1,1,66,28,41,11,13,4,17,1,0,1,0,0,0,4,0,1,0,0,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,1,1,1,0,2,1,1,0,0,3,1
1 - Έβρου,192 E.T. Δήμου Διδυμοτείχου,120,45,1,1,2,43,23,8,7,5,5,0,5,11,0,10,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,193 E.T. Δήμου Διδυμοτείχου,291,116,2,0,2,114,21,9,10,2,3,1,2,69,27,37,8,12,6,10,1,0,1,0,1,0,7,0,6,0,0,3,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0
1 - Έβρου,194 E.T. Δήμου Διδυμοτείχου,307,89,3,1,4,85,18,7,5,0,3,0,5,39,9,18,15,18,3,3,3,0,2,0,0,0,12,2,9,1,0,5,2,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,195 E.T. Δήμου Διδυμοτείχου,459,180,3,2,5,175,28,9,9,2,5,0,7,97,19,50,21,26,9,11,6,0,2,0,4,0,31,4,5,8,1,3,21,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,196 E.T. Δήμου Διδυμοτείχου,418,188,0,0,0,188,56,20,13,7,20,2,17,96,25,39,23,34,10,20,4,3,0,2,0,0,14,2,6,1,0,6,8,1,0,1,1,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,4,0,0,2,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,3,0,1,1,1,1,0,0,1,0,1,0
1 - Έβρου,197 E.T. Δήμου Διδυμοτείχου,402,200,1,2,3,197,58,21,18,3,25,3,5,89,17,35,17,26,17,16,6,3,1,1,0,0,22,3,11,1,0,2,12,5,1,4,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,4,1,3,0,0,0,0,0,0,3,2
1 - Έβρου,198 E.T. Δήμου Διδυμοτείχου,411,191,2,0,2,189,43,19,13,2,14,1,10,96,22,31,32,45,3,15,3,1,0,2,1,0,28,1,18,1,1,7,12,3,1,2,2,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,3,0,1,2,1,1,1,0,1,0,0,0
1 - Έβρου,199 E.T. Δήμου Διδυμοτείχου,515,226,4,0,4,222,46,22,15,5,11,3,11,111,43,51,31,17,11,14,3,1,0,0,0,0,31,6,10,3,3,11,9,5,4,1,0,1,4,0,3,1,1,0,0,0,0,0,2,0,1,2,1,0,0,0,1,1,0,11,4,3,0,3,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6,4,3,3,1,0,0,0,0,0,2,2
1 - Έβρου,200 E.T. Δήμου Διδυμοτείχου,454,149,3,1,4,145,26,10,9,3,6,0,3,92,27,51,12,13,9,14,5,0,3,0,0,1,11,1,5,2,0,3,3,5,2,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
1 - Έβρου,201 E.T. Δήμου Ορεστιάδας,510,236,6,2,8,228,49,28,3,3,3,1,16,148,19,24,20,122,5,3,7,1,3,3,2,2,1,0,0,0,0,0,1,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,1,0,0,2,1,1,1,0,5,0,2,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1 - Έβρου,202 E.T. Δήμου Ορεστιάδας,490,296,5,1,6,290,52,28,5,4,5,4,16,159,28,30,26,113,11,13,11,2,2,2,4,1,16,0,1,0,0,0,8,14,9,4,2,2,2,0,8,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,1,0,2,0,1,1,0,0,0,3,0,0,1,1,0,2,0,8,3,1,3,1,0,0,0,0,0,0,0
1 - Έβρου,203 E.T. Δήμου Ορεστιάδας,492,246,3,0,3,243,45,24,6,1,6,4,14,149,23,25,19,108,7,6,10,0,4,1,2,2,14,0,1,2,0,0,14,2,1,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,3,2
1 - Έβρου,204 E.T. Δήμου Ορεστιάδας,504,255,0,0,0,255,50,28,4,6,11,2,22,163,24,39,27,125,11,12,2,0,0,1,1,0,10,0,2,1,0,0,7,10,8,1,5,2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,8,3,5,3,1,1,1,1,0,0,2,2
