ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΙΟΥΛΟΥ ΓΕΩΡΓΙΑ του Λουκά,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,Νέα Δημοκρατία,ΕΥΣΤΑΘΙΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ανδρέα,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΠΑΝΑΚΗ ΒΑΣΙΛΙΚΗ του Λουκά,ΛΕΚΚΟΣ ΕΥΘΥΜΙΟΣ του Νικολάου,Κίνημα Αλλαγής,ΠΑΝΑΓΟΥ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,Κ.Κ.Ε.,ΚΑΡΑΧΑΣΑΝΗ ΑΡΧΟΝΤΙΑ (ΑΝΤΑ) του Βασιλείου,ΠΑΝΑΓΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ένωση Κεντρώων,ΒΑΡΝΑΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΣΑΓΚΟΥΡΗ ΑΘΗΝΑ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΑΓΚΕΛΙΔΟΥ ΕΛΕΝΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΒΑΣΙΛΙΚΗ του Ιωάννη,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΔΕΡΗ ΙΩΑΝΝΑ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΛΛΙΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΜέΡΑ25,ΚΟΥΣΕΛΑ ΧΡΥΣΟΥΛΑ (ΑΡΙΑΔΝΗ) του Ιωάννη,ΚΟΥΤΡΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΜΙΔΑΚΗ ΟΛΓΑ του Γεωργίου
35 - Φωκίδας,1 E.T. Δήμου Δελφών,521,371,8,3,11,360,88,6,42,28,160,13,50,82,13,3,4,18,6,1,9,41,2,28,5,1,0,0,0,0,2,0,0,0,0,0,10,2,3,1,0,0,0,4,1,0,0,15,4,4,1,0,6,4
35 - Φωκίδας,2 E.T. Δήμου Δελφών,517,349,6,4,10,339,99,16,34,27,149,14,35,96,7,4,1,30,1,4,7,21,0,15,1,0,0,0,0,0,1,0,1,0,0,0,15,1,5,1,0,0,0,2,0,0,0,9,4,2,0,0,4,2
35 - Φωκίδας,3 E.T. Δήμου Δελφών,519,359,4,1,5,354,126,11,52,35,134,11,37,77,3,0,2,18,4,1,8,27,0,19,1,4,1,1,0,0,1,1,1,1,0,0,11,6,2,1,1,1,1,1,1,1,0,19,4,7,2,0,4,4
35 - Φωκίδας,4 E.T. Δήμου Δελφών,517,321,4,5,9,312,99,12,54,20,143,21,34,81,3,1,1,19,5,2,7,16,0,8,2,0,0,0,0,0,2,1,2,2,0,0,13,8,0,0,0,0,0,0,0,0,0,10,0,4,0,0,5,3
35 - Φωκίδας,5 E.T. Δήμου Δελφών,556,363,4,2,6,357,125,17,45,37,143,14,44,72,4,1,1,12,0,0,2,21,1,12,2,3,0,1,0,0,1,0,3,3,0,0,20,5,3,0,0,1,0,1,1,0,0,18,0,14,1,0,4,2
35 - Φωκίδας,6 E.T. Δήμου Δελφών,524,360,5,5,10,350,134,13,64,32,117,17,24,69,9,1,2,25,6,2,4,31,1,21,3,3,0,0,0,0,1,1,0,0,0,0,11,6,1,0,0,0,0,1,1,0,0,10,0,4,4,1,4,1
35 - Φωκίδας,7 E.T. Δήμου Δελφών,523,343,4,8,12,331,111,16,48,19,166,17,37,94,3,0,0,10,0,4,1,10,1,3,1,2,1,0,0,0,1,0,1,1,0,0,9,4,2,0,0,0,0,1,1,0,0,15,1,6,1,0,1,0
35 - Φωκίδας,8 E.T. Δήμου Δελφών,523,359,3,4,7,352,108,10,50,24,150,18,28,90,6,2,2,29,14,2,6,29,0,17,3,4,1,0,0,0,1,0,0,0,0,0,8,2,1,1,1,1,0,1,0,1,0,8,1,3,2,0,3,0
35 - Φωκίδας,9 E.T. Δήμου Δελφών,549,342,4,6,10,332,129,12,71,27,113,10,35,57,8,0,4,21,3,2,4,21,2,13,0,0,0,0,0,0,1,0,1,1,0,0,14,6,0,1,1,1,0,1,0,1,1,11,2,7,3,0,6,3
35 - Φωκίδας,10 E.T. Δήμου Δελφών,525,331,7,4,11,320,108,9,48,33,135,17,39,66,6,0,5,8,5,1,1,21,3,13,0,3,1,1,0,0,2,0,1,1,0,0,11,5,4,0,0,0,0,3,1,1,0,17,6,4,0,0,4,1
35 - Φωκίδας,11 E.T. Δήμου Δελφών,552,365,8,2,10,355,104,10,52,19,170,17,52,90,15,6,7,13,5,0,1,22,2,10,0,3,0,0,1,0,1,0,0,0,0,0,7,1,1,0,0,1,1,1,0,0,0,15,0,6,1,0,1,1
35 - Φωκίδας,12 E.T. Δήμου Δελφών,361,188,7,3,10,178,47,15,12,9,97,10,31,51,4,2,2,14,2,3,4,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,2,1
35 - Φωκίδας,13 E.T. Δήμου Δελφών,295,163,2,0,2,161,39,15,12,7,69,8,17,40,10,1,5,13,4,0,7,9,2,5,1,1,0,0,0,0,1,1,1,1,0,0,10,6,3,0,0,1,1,0,0,0,0,6,2,2,0,0,1,1
35 - Φωκίδας,14 E.T. Δήμου Δελφών,113,68,1,0,1,67,17,7,7,2,24,1,6,17,2,2,0,3,0,0,1,12,1,5,5,1,1,0,0,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
35 - Φωκίδας,15 E.T. Δήμου Δελφών,57,40,0,0,0,40,17,2,7,7,9,3,4,2,0,0,0,4,0,0,1,9,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35 - Φωκίδας,16 E.T. Δήμου Δελφών,202,104,0,1,1,103,37,4,16,5,30,4,8,12,4,0,2,6,1,0,1,16,1,11,3,3,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0
35 - Φωκίδας,17 E.T. Δήμου Δελφών,448,304,6,4,10,294,89,13,43,15,128,23,39,60,8,0,4,16,6,2,2,16,2,9,3,5,1,2,0,0,0,0,0,0,2,1,8,2,3,0,0,2,0,2,1,1,0,12,3,2,3,1,2,0
35 - Φωκίδας,18 E.T. Δήμου Δελφών,544,276,5,5,10,266,101,12,44,12,98,10,39,37,11,2,6,14,2,0,1,21,2,16,1,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,0,1,0,4,0,2,1,0,6,1
35 - Φωκίδας,19 E.T. Δήμου Δελφών,333,210,7,3,10,200,67,12,29,17,71,7,21,34,7,3,3,12,3,1,2,18,1,5,2,1,0,0,0,0,0,0,0,0,0,0,9,1,3,0,0,0,0,2,2,4,3,8,6,1,0,0,1,1
35 - Φωκίδας,20 E.T. Δήμου Δελφών,392,234,4,4,8,226,49,10,22,14,111,24,32,44,10,5,2,9,2,0,5,9,0,2,7,2,0,1,0,0,0,0,3,1,1,1,10,6,3,1,1,0,0,5,2,1,1,10,4,4,1,1,4,2
35 - Φωκίδας,21 E.T. Δήμου Δελφών,399,242,1,3,4,238,57,2,24,16,112,15,48,31,5,1,0,26,2,5,8,8,0,1,2,1,0,0,0,0,0,0,0,0,1,1,9,4,2,0,0,0,0,5,1,1,0,9,3,1,0,0,4,3
35 - Φωκίδας,22 E.T. Δήμου Δελφών,478,263,6,5,11,252,76,12,25,21,132,26,36,52,5,0,4,10,1,4,2,7,0,1,1,3,1,1,0,0,0,0,1,1,0,0,5,3,1,0,0,0,0,1,1,0,0,11,3,3,0,0,1,1
35 - Φωκίδας,23 E.T. Δήμου Δελφών,482,285,3,2,5,280,95,10,52,18,106,28,35,29,5,3,2,24,5,9,4,12,1,1,7,1,0,0,0,0,1,0,1,0,0,0,11,7,2,0,0,0,0,1,1,0,0,12,2,7,2,1,9,5
35 - Φωκίδας,24 E.T. Δήμου Δελφών,326,237,1,1,2,235,59,3,43,5,108,13,52,28,19,0,7,10,0,5,4,3,0,0,0,0,0,0,0,0,0,0,7,5,0,0,15,7,4,0,0,0,0,2,1,0,0,8,2,4,1,0,3,2
35 - Φωκίδας,25 E.T. Δήμου Δελφών,472,278,4,4,8,270,67,50,8,5,153,19,82,42,3,2,0,19,7,1,5,10,0,1,2,1,1,0,0,0,0,0,0,0,0,0,10,7,0,0,0,1,1,1,0,0,0,3,0,0,0,0,2,1
35 - Φωκίδας,26 E.T. Δήμου Δελφών,329,188,4,1,5,183,58,12,28,7,79,8,35,30,4,1,0,18,1,5,1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,9,5,3,2,0,0,0
35 - Φωκίδας,27 E.T. Δήμου Δελφών,356,222,3,0,3,219,64,7,21,9,105,25,29,30,7,3,0,5,5,0,0,16,3,2,1,2,0,0,0,0,1,0,2,1,0,0,6,1,0,0,0,0,0,1,1,2,2,6,1,0,0,0,2,0
35 - Φωκίδας,28 E.T. Δήμου Δελφών,310,207,5,1,6,201,56,10,20,9,86,16,31,21,6,2,3,9,2,1,1,17,2,12,1,2,0,0,0,0,0,0,0,0,0,0,13,4,4,0,0,0,0,0,0,1,1,10,1,1,1,0,0,0
35 - Φωκίδας,29 E.T. Δήμου Δελφών,132,56,1,0,1,55,24,6,2,3,20,0,5,8,0,0,0,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,2
35 - Φωκίδας,30 E.T. Δήμου Δελφών,86,53,2,0,2,51,22,2,6,1,15,0,6,5,1,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0
35 - Φωκίδας,31 E.T. Δήμου Δελφών,264,114,1,1,2,112,36,5,21,3,41,5,26,5,4,1,1,17,7,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,5,0,0,2,1,0,0,0,1,1
35 - Φωκίδας,32 E.T. Δήμου Δελφών,288,175,1,2,3,172,50,9,19,4,56,3,24,16,6,2,1,8,2,2,1,21,5,8,1,1,1,0,1,0,1,0,0,0,0,0,12,2,4,0,0,1,0,1,0,0,0,7,2,1,1,1,6,3
35 - Φωκίδας,33 E.T. Δήμου Δελφών,369,197,2,4,6,191,60,9,21,5,79,3,33,26,4,0,1,7,5,0,0,23,6,8,0,3,1,0,0,0,1,1,0,0,0,0,6,2,1,1,1,0,0,0,0,0,0,5,1,0,0,0,2,2
35 - Φωκίδας,34 E.T. Δήμου Δελφών,443,256,2,3,5,251,64,16,8,7,113,35,37,30,9,3,6,24,13,1,4,14,2,2,0,3,0,2,0,0,0,0,3,3,0,0,8,2,2,0,0,0,0,2,0,1,0,6,0,0,2,1,2,0
35 - Φωκίδας,35 E.T. Δήμου Δελφών,102,51,0,0,0,51,10,1,2,2,26,2,6,12,3,3,0,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
35 - Φωκίδας,36 E.T. Δήμου Δελφών,44,24,0,0,0,24,7,3,0,2,10,1,7,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35 - Φωκίδας,37 E.T. Δήμου Δελφών,518,315,2,2,4,311,95,9,42,13,145,19,38,73,13,2,3,17,4,5,3,14,3,2,2,1,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,1,0,1,0,14,7,4,0,0,4,1
35 - Φωκίδας,38 E.T. Δήμου Δελφών,539,341,2,0,2,339,83,13,34,13,163,20,48,71,11,2,5,22,5,5,7,13,2,7,0,0,0,0,0,0,1,1,0,0,0,0,6,3,1,0,0,1,0,3,3,0,0,22,2,5,1,1,13,6
35 - Φωκίδας,39 E.T. Δήμου Δελφών,309,186,2,2,4,182,50,9,17,15,63,2,25,26,4,0,2,25,8,5,7,19,2,11,2,2,1,1,0,0,1,1,0,0,0,0,7,3,1,0,0,0,0,2,2,1,1,5,1,1,0,0,3,1
35 - Φωκίδας,40 E.T. Δήμου Δελφών,389,260,1,1,2,258,76,13,26,11,118,19,32,63,7,3,3,17,3,3,9,15,1,5,4,6,0,0,0,0,0,0,0,0,0,0,10,7,1,0,0,0,0,0,0,1,0,4,1,0,2,0,2,0
35 - Φωκίδας,41 E.T. Δήμου Δελφών,423,287,3,4,7,280,97,15,26,21,110,19,29,49,4,3,1,9,1,1,2,28,1,8,9,5,2,1,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,2,0,1,1,14,3,6,2,0,2,1
35 - Φωκίδας,42 E.T. Δήμου Δελφών,398,264,1,2,3,261,92,15,19,17,93,11,34,39,0,0,0,18,1,6,7,24,2,6,12,3,0,2,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,1,0,3,0,13,4,5,1,1,5,1
35 - Φωκίδας,43 E.T. Δήμου Δελφών,482,318,3,2,5,313,110,15,41,13,109,10,34,56,9,4,0,11,1,4,1,41,3,7,16,3,2,0,1,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,19,6,2,0,0,3,2
35 - Φωκίδας,44 E.T. Δήμου Δελφών,438,294,0,3,3,291,91,23,41,7,122,20,31,54,8,2,2,11,0,5,3,19,0,4,8,1,0,0,1,0,1,0,1,0,0,0,9,4,1,0,0,0,0,4,2,1,1,18,3,4,1,1,3,3
35 - Φωκίδας,45 E.T. Δήμου Δελφών,553,361,6,3,9,352,112,19,46,18,140,19,72,43,12,3,6,21,4,6,2,23,4,2,12,5,1,1,0,0,2,1,2,1,0,0,11,8,0,2,1,1,0,1,0,0,0,13,4,3,3,1,4,0
35 - Φωκίδας,46 E.T. Δήμου Δελφών,539,306,3,3,6,300,116,15,48,21,119,14,58,35,8,1,3,9,1,3,1,14,1,2,7,5,2,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,0,1,1,4,1,11,3,3,1,1,4,1
35 - Φωκίδας,47 E.T. Δήμου Δελφών,542,341,4,4,8,333,116,12,61,18,126,12,65,42,11,1,5,19,4,6,6,26,1,4,16,3,1,1,0,0,1,0,1,0,0,0,12,7,1,0,0,0,0,2,0,1,0,12,4,3,1,1,2,0
35 - Φωκίδας,48 E.T. Δήμου Δελφών,558,357,5,4,9,348,96,13,32,15,145,17,85,38,9,0,7,22,4,8,3,30,3,8,10,2,0,2,0,0,0,0,0,0,0,0,12,6,0,1,1,1,0,1,1,2,1,16,2,5,7,2,4,1
35 - Φωκίδας,49 E.T. Δήμου Δελφών,555,356,4,1,5,351,110,17,45,11,131,11,82,31,10,2,7,31,2,22,1,26,3,7,13,2,2,0,0,0,1,0,0,0,0,0,13,4,4,0,0,0,0,4,3,5,5,12,3,4,2,1,4,2
35 - Φωκίδας,50 E.T. Δήμου Δελφών,539,331,0,4,4,327,102,15,44,14,116,11,66,26,9,1,4,32,3,22,4,28,1,4,18,2,0,0,0,0,5,0,0,0,0,0,7,3,1,0,0,0,0,5,4,1,0,12,0,0,0,0,8,0
35 - Φωκίδας,51 E.T. Δήμου Δελφών,532,314,8,5,13,301,97,13,54,9,129,28,67,23,6,1,4,21,3,13,2,19,2,0,13,0,0,0,0,0,3,0,1,0,0,0,8,5,1,1,1,0,0,1,1,4,2,6,3,1,1,1,4,1
35 - Φωκίδας,52 E.T. Δήμου Δελφών,563,339,6,5,11,328,118,16,45,24,110,11,62,33,9,0,7,34,4,22,3,20,1,0,14,1,0,0,0,0,1,0,1,1,1,0,10,6,1,1,0,0,0,2,1,4,3,12,5,1,1,0,3,1
35 - Φωκίδας,53 E.T. Δήμου Δελφών,463,291,5,4,9,282,75,17,29,6,108,16,51,31,8,0,6,37,4,15,6,20,2,2,10,6,3,0,0,0,2,1,1,0,0,0,11,6,2,0,0,1,0,0,0,0,0,8,2,2,1,0,4,4
35 - Φωκίδας,54 E.T. Δήμου Δελφών,539,331,5,5,10,321,102,12,43,21,120,10,52,49,21,6,13,19,7,11,0,14,1,1,8,0,0,0,0,0,1,1,0,0,0,0,13,2,2,1,0,1,0,1,1,1,1,13,4,4,0,0,14,6
35 - Φωκίδας,55 E.T. Δήμου Δελφών,175,67,2,1,3,64,15,0,11,0,32,4,16,7,3,1,0,2,0,0,1,5,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0
35 - Φωκίδας,56 E.T. Δήμου Δελφών,251,135,0,2,2,133,45,8,16,3,63,11,22,21,6,4,0,5,1,0,0,8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35 - Φωκίδας,57 E.T. Δήμου Δελφών,388,221,1,0,1,220,46,10,10,15,126,32,40,39,11,4,6,4,2,0,1,2,0,0,0,6,3,1,2,2,2,2,0,0,0,0,13,5,6,0,0,0,0,1,0,3,1,1,0,0,1,0,2,0
35 - Φωκίδας,58 E.T. Δήμου Δελφών,146,60,0,0,0,60,5,1,3,0,36,6,18,7,6,2,4,4,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1
35 - Φωκίδας,59 E.T. Δήμου Δελφών,155,100,0,1,1,99,19,3,4,3,51,8,24,9,2,0,1,6,0,5,0,3,0,1,0,3,1,0,0,0,1,0,0,0,0,0,12,0,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
35 - Φωκίδας,60 E.T. Δήμου Δελφών,176,79,0,1,1,78,24,4,7,6,39,2,14,14,1,1,0,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,0
35 - Φωκίδας,61 E.T. Δήμου Δελφών,78,52,1,1,2,50,17,6,6,1,23,4,16,1,2,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,62 E.T. Δήμου Δελφών,149,70,1,1,2,68,24,7,5,3,22,1,13,6,1,1,0,9,4,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,2,0
35 - Φωκίδας,63 E.T. Δήμου Δελφών,471,277,2,0,2,275,64,8,23,4,147,28,44,60,10,5,2,12,6,1,1,25,4,13,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,9,4,0,0,0,3,1
35 - Φωκίδας,64 E.T. Δήμου Δελφών,423,259,4,2,6,253,56,22,12,7,125,24,46,45,13,5,2,18,8,0,4,7,3,1,1,0,0,0,0,0,0,0,1,0,1,1,5,3,1,0,0,0,0,1,1,0,0,18,9,4,4,3,4,2
