ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΣΟΥΛΤΑΝΑ του Παύλου,ΕΜΜΑΝΟΥΗΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΜΟΡΦΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανέστη,ΝΕΣΤΟΡΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Θεόδωρου,ΠΑΝΑΓΙΩΤΙΔΟΥ ΑΘΗΝΑ του Ιωάννη,ΠΑΠΑΦΙΛΙΠΠΟΥ ΓΕΩΡΓΙΟΣ του Αντωνίου,Νέα Δημοκρατία,ΚΑΛΑΝΤΖΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΛΑΖΑΡΙΔΗΣ ΜΑΚΑΡΙΟΣ του Βασιλείου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΑΠΟΥΤΣΗ-ΜΗΤΤΑ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Δημητρίου,ΠΑΣΧΑΛΙΔΗΣ ΙΩΑΝΝΗΣ του Αδάμ,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ-ΚΑΣΜΕΝΗ ΜΑΡΙΑ (ΜΑΙΡΗ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΝΤΩΝΙΑΔΗΣ ΠΑΥΛΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Αναστασίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παντελή,ΤΣΑΦΑ ΔΕΣΠΟΙΝΑ του Ανέστη,Κίνημα Αλλαγής,ΜΑΝΤΕΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημοσθένη,ΠΑΠΑΚΟΣΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγή,ΠΑΠΟΥΤΣΗΣ ΔΗΜΗΤΡΙΟΣ του Πασχάλη,ΤΣΑΛΔΑΡΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΤΣΑΡΔΑΚΛΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Ορέστη,ΤΣΟΥΡΗ ΜΑΡΙΑ του Κυριάκου,Κ.Κ.Ε.,ΓΙΑΓΚΙΔΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,ΚΑΡΑΓΕΩΡΓΗ ΑΝΑΣΤΑΣΙΑ του Ηλία,ΚΟΝΤΟΓΕΩΡΓΙΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΠΗΛΙΤΣΗ ΧΑΪΔΟΥΛΑ (ΧΑΡΙΣ) του Δημητρίου,ΣΥΜΕΩΝΙΔΗΣ ΘΕΟΔΩΡΟΣ του Φίλιππου,ΧΡΙΣΤΟΔΟΥΛΕΑ ΑΛΕΞΑΝΔΡΑ του Νικολάου,Ένωση Κεντρώων,ΓΙΑΛΕΛΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΛΥΣΙΜΑΧΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΣΧΑΛΗ ΔΗΜΗΤΡΑ του Βασιλείου,ΤΟΡΟΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΧΑΤΖΗΛΟΥΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΒΑΚΑΣ ΓΕΩΡΓΙΟΣ του Κοσμά,ΠΙΤΤΑ ΑΝΝΑ (ΤΑΤΙΑΝΑ) του Μάξιμου,ΠΟΖΙΔΟΥ ΡΟΖΑ του Σπυρίδωνα,Ελλήνων Συνέλευσις,ΔΑΛΓΙΑΝΝΑΚΗ ΑΘΗΝΑ του Στέφανου,ΚΑΡΑΚΟΖΙΔΗΣ ΗΛΙΑΣ του Χαράλαμπου,ΜΑΣΤΡΑΝΤΩΝΗ ΔΕΣΠΟΙΝΑ του Χρήστου,ΣΑΒΒΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΖΙΝΗΣ ΓΕΩΡΓΙΟΣ του Δούκα,ΧΩΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΑΛΑΚΟΥΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΑΣΤΟΡΗΣ ΜΕΝΕΛΑΟΣ του Θεολόγη,ΠΑΠΑΔΟΠΟΥΛΟΥ ΣΩΤΗΡΙΑ του Αλεξίου,ΠΙΠΕΡΓΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΧΑΤΖΗΓΙΑΝΝΙΔΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΨΑΡΑΓΚΑΘΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,Κ.Κ.Ε. (μ-λ),ΑΣΒΕΣΤΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,Μ-Λ Κ.Κ.Ε.,ΠΑΣΑΧΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΒΟΛΟΝΑΚΗ ΕΥΤΥΧΙΑ του Σπυρίδωνος,ΓΟΥΔΕΒΕΝΟΥ ΚΑΛΛΙΟΠΗ του Σπυρίδωνα,ΝΙΚΗΤΑΣ ΜΙΧΑΗΛ του Νικήτα,ΠΑΚΑΤΑΡΙΔΗΣ ΣΑΒΒΑΣ του Ευσταθίου,Λαϊκή Ενότητα,ΙΩΑΝΝΙΔΗΣ ΗΛΙΑΣ του Λαζάρου,ΚΙΤΣΟΣ ΑΠΟΣΤΟΛΟΣ του Παναγιώτη,ΝΕΟΦΩΤΙΣΤΟΥ ΜΑΡΙΑ του Ανδρέα,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΛΣΑΜΗ του Αργυρίου,ΠΑΣΣΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΤΣΕΒΡΕΜΕΣ ΙΩΑΝΝΗΣ του Αγγελου,ΜέΡΑ25,ΚΡΙΘΑΡΙΔΗ ΤΑΤΙΑΝΑ του Βιατσεσλάβ,ΜΑΚΑΡΙΟΣ ΜΙΧΑΗΛ του Εμμανουήλ,ΝΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΘΕΝΑ του Χαράλαμπου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΣΑΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΜΥΛΩΝΑΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΣΤΟΪΔΗΣ ΒΑΣΙΛΕΙΟΣ του Μάριου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΛΑΣΑΡΙΝΗ ΗΛΙΑΝΝΑ του Παναγιώτη
5 - Καβάλας,1 E.T. Δήμου Θάσου,546,324,5,2,7,317,65,25,9,9,2,12,27,165,35,57,89,12,27,33,3,1,1,0,0,17,6,0,7,0,5,4,11,6,0,0,0,1,8,4,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,20,7,3,4,4,2,5,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,21,3,1,6,2,1,0,0,0,1,4,2
5 - Καβάλας,2 E.T. Δήμου Θάσου,562,331,6,2,8,323,67,16,16,6,7,3,17,143,25,36,69,17,18,31,11,1,3,6,4,17,9,2,5,0,3,1,23,7,4,1,2,2,11,5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24,4,4,2,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,2,3,3,5,5,1,3,1,2,4,2
5 - Καβάλας,3 E.T. Δήμου Θάσου,552,317,4,2,6,311,53,11,12,3,4,6,22,186,33,62,87,12,41,28,8,1,1,3,2,19,6,2,7,0,5,3,7,3,0,1,0,1,2,4,1,0,0,1,0,0,3,1,1,0,1,1,0,0,0,1,0,14,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,8,3,2,4,2,3,0,1,2,1,4,1
5 - Καβάλας,4 E.T. Δήμου Θάσου,570,322,1,2,3,319,78,16,23,10,10,8,39,140,41,40,73,12,19,19,6,4,2,2,1,24,12,3,12,2,4,4,22,2,3,6,1,2,9,5,0,1,2,2,0,0,3,0,0,1,1,1,0,0,0,0,0,13,4,2,4,0,0,2,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,20,4,7,6,5,1,0,0,1,1,3,1
5 - Καβάλας,5 E.T. Δήμου Θάσου,567,312,6,0,6,306,62,18,15,4,6,9,20,135,31,44,76,4,31,26,9,2,5,3,4,27,8,2,10,0,11,4,16,5,3,2,0,0,6,3,0,0,2,0,0,0,1,0,1,1,9,9,0,0,0,6,1,21,10,5,2,2,2,4,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,1,14,3,4,5,6,0,0,0,0,0,5,3
5 - Καβάλας,6 E.T. Δήμου Θάσου,542,251,4,0,4,247,73,30,12,9,3,5,29,77,8,25,30,3,38,11,8,5,3,2,2,43,37,1,10,0,2,3,22,7,3,5,2,0,16,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,4,5,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,7,2,1,0,2,0,0,0,0,0,3,1
5 - Καβάλας,7 E.T. Δήμου Θάσου,512,205,6,2,8,197,46,13,13,11,8,2,14,82,22,23,35,2,36,10,9,3,2,0,0,20,17,1,1,0,0,0,11,2,0,1,0,2,8,4,1,1,3,0,0,0,0,0,0,0,3,3,0,0,0,2,0,16,7,2,3,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,1,0
5 - Καβάλας,8 E.T. Δήμου Θάσου,517,247,7,2,9,238,59,26,7,17,8,8,18,81,20,24,35,5,31,13,3,2,1,0,0,42,39,1,8,0,2,1,20,11,0,4,1,1,16,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5,0,14,4,5,4,0,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,1,4,2,1,2,0,0,1,1,2,1
5 - Καβάλας,9 E.T. Δήμου Θάσου,645,416,7,2,9,407,84,34,15,12,7,2,39,165,44,52,64,11,64,27,6,2,0,1,2,73,68,3,10,4,1,2,29,11,3,4,0,0,22,6,3,0,1,1,0,0,0,0,0,0,2,1,0,0,0,1,0,16,7,3,1,3,2,1,0,0,0,0,4,2,0,2,0,2,2,0,0,0,0,0,13,2,4,3,3,6,1,1,2,1,1,0
5 - Καβάλας,10 E.T. Δήμου Θάσου,596,330,5,3,8,322,93,21,32,7,4,17,55,106,33,28,43,3,32,26,2,1,1,1,0,16,13,1,4,0,1,1,75,33,9,4,0,6,44,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,13,6,3,2,2,1,0,0,0,0,0,3,0,0,2,2,1,0,0,0,0,0,1,9,1,2,2,1,1,0,0,0,0,0,0
5 - Καβάλας,11 E.T. Δήμου Θάσου,607,356,2,1,3,353,105,26,29,8,6,12,52,99,44,14,26,3,31,32,11,3,7,1,0,23,13,2,5,1,0,0,74,37,15,4,1,1,54,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,17,1,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,8,2,1,1,0,0,0,0,0,0
5 - Καβάλας,12 E.T. Δήμου Θάσου,535,346,2,1,3,343,87,18,20,25,7,11,29,137,58,29,71,7,40,14,3,1,1,1,0,34,19,4,21,0,2,2,62,2,0,42,1,1,54,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,2,2,0,2,0,1,1,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,2,1
5 - Καβάλας,13 E.T. Δήμου Θάσου,564,344,7,1,8,336,63,13,9,13,3,13,26,154,79,35,80,10,23,19,2,1,1,0,0,20,12,3,9,0,0,0,76,5,7,54,3,0,63,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,3,1,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0
5 - Καβάλας,14 E.T. Δήμου Θάσου,542,323,5,1,6,317,64,12,11,12,7,12,17,121,64,21,67,4,25,12,10,4,5,3,1,30,24,5,10,1,2,2,58,2,1,46,0,1,51,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,18,6,5,0,4,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,0,4,1
5 - Καβάλας,15 E.T. Δήμου Θάσου,537,324,3,0,3,321,66,17,15,13,6,4,24,134,69,24,58,7,32,18,6,5,3,0,0,20,13,1,5,1,0,1,71,6,6,41,2,4,50,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,1,7,3,0,0,1,0,0,0,0,0,2,0
5 - Καβάλας,16 E.T. Δήμου Θάσου,337,155,0,1,1,154,49,14,14,8,2,10,28,39,12,18,28,3,6,2,7,4,2,3,2,11,7,2,4,1,2,0,28,8,3,1,3,8,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,3,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,6,2,2,2,1,0,0,0,0,0,2,0
5 - Καβάλας,17 E.T. Δήμου Θάσου,447,306,4,4,8,298,74,18,13,9,11,14,36,123,24,26,86,3,54,24,7,3,1,4,3,24,19,1,12,0,1,1,50,32,0,12,1,1,42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,2,1,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,5,3
5 - Καβάλας,18 E.T. Δήμου Θάσου,421,240,0,3,3,237,54,24,18,10,2,14,20,92,26,23,55,3,22,22,3,0,0,0,0,10,3,2,4,0,4,2,53,25,3,8,2,3,0,3,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,3,1,4,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,6,3,1,2,2,0,0,0,0,0,4,4
5 - Καβάλας,19 E.T. Δήμου Θάσου,485,315,1,3,4,311,47,16,9,7,3,6,15,124,26,48,68,8,27,21,1,0,0,0,0,29,24,2,14,2,5,4,58,31,7,3,4,0,47,9,5,2,5,2,0,0,0,0,0,0,2,0,0,0,2,0,2,17,5,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,6,5,2,2,2,0,0,5,2
