ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΡΗΤΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σωτηρίου,ΣΕΜΕΡΤΖΙΔΟΥ ΑΝΝΑ του Σάββα,ΣΗΦΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΤΖΑΚΡΗ ΘΕΟΔΩΡΑ του Εμμανουήλ,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΖΗΣΗΣ του Αθανασίου,Νέα Δημοκρατία,ΒΑΣΙΛΕΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ (ΛΑΚΗΣ) του Νικολάου,ΖΩΓΡΑΦΟΥ - ΤΣΑΝΤΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΚΑΡΑΣΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΟΖΙΔΟΥ ΝΙΚΟΛΕΤΤΑ του Οδυσσέα,ΣΤΑΜΕΝΙΤΗΣ ΔΙΟΝΥΣΙΟΣ του Ευαγγέλου,ΦΟΥΝΤΟΥΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αχιλλέα,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΑΤΣΑΡΑ-ΧΡΗΣΤΟΥ ΕΙΡΗΝΗ του Νικολάου,ΚΟΥΡΤΙΔΗΣ ΘΩΜΑΣ του Χαραλάμπους,ΣΑΧΙΝΙΔΗΣ ΙΩΑΝΝΗΣ του Ισαάκ,ΤΑΠΚΟΥ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,Κίνημα Αλλαγής,ΑΛΕΞΑΝΔΡΙΔΟΥ ΡΑΧΗΛ του Νικολάου,ΖΑΡΟΓΟΥΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αριστοτέλη,ΜΑΚΡΙΔΟΥ ΑΓΑΘΗ του Βασιλείου,ΜΠΟΓΔΑΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΠΑΠΑΔΑΚΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Γεωργίου,ΠΑΠΑΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ιωάννη,Κ.Κ.Ε.,ΔΡΟΣΟΓΛΟΥ ΣΤΑΥΡΟΣ του Νικολάου,ΜΠΟΥΦΚΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΥΜΠΙΑ του Νικολάου,ΣΟΥΜΕΛΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΣΙΤΣΑΓΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΧΑΤΖΗΒΑΣΙΛΕΙΑΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Ένωση Κεντρώων,ΑΝΑΣΤΑΣΙΟΥ ΣΤΑΥΡΟΣ του Ιωάννη,ΔΗΜΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ του Χαραλάμπους,ΔΟΥΛΚΕΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΚΑΤΣΑΝΟΥ ΕΛΕΥΘΕΡΙΑ του Χαρίλαου,ΠΟΥΣΙΝΗΣ ΣΤΑΥΡΟΣ του Πέτρου,Ο.Κ.Δ.Ε.,ΓΑΤΣΟΥ ΙΟΡΔΑΝΑ του Ευάγγελου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΕΡΑΤΙΔΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΟΥΣΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΜΠΑΚΑΛΑΚΗ ΟΛΓΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΔΑΝΑΣ ΑΡΓΥΡΙΟΣ του Σταύρου,ΔΙΠΛΑΡΙΔΟΥ ΕΙΡΗΝΗ του Χαραλάμπους,ΔΙΣΚΟΥ ΠΑΡΑΣΚΕΥΗ του Παύλου,ΜΑΤΖΑΡΗΣ ΑΡΙΣΤΕΙΔΗΣ του Γεωργίου,ΟΡΜΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΦΑΝΤΙΔΗΣ ΦΩΤΙΟΣ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΥΓΕΡΟΥ ΜΑΡΙΑΝΝΑ του Αθανασίου,ΔΕΛΛΙΟΣ ΓΡΗΓΟΡΙΟΣ του Αντωνίου,ΚΑΠΕΤΑΝΙΔΗΣ ΖΑΦΕΙΡΙΟΣ του Ιωάννη,ΚΟΥΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ελευθερίου,ΤΡΙΚΑΛΙΩΤΗ ΑΙΚΑΤΕΡΙΝΗ του Αποστόλου,ΤΣΕΜΠΕΡΛΙΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Αναστασίου,Κ.Κ.Ε. (μ-λ),ΖΑΓΓΑΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,ΚΟΤΑΝΙΔΟΥ ΜΑΡΙΑ του Δημητρίου ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΟΥΛΙΩΤΗ ΣΟΦΙΑ του Κωνσταντίνου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΕΥΘΥΜΙΑΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΚΟΚΚΙΝΟΜΑΓΟΥΛΟΥ ΜΑΡΙΑ του Ίον,Λαϊκή Ενότητα,ΚΡΗΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΜΗΛΩΣΗ ΝΙΝΑ του Χρήστου,ΤΟΠΑΛΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Χρυσοβέργη,ΜέΡΑ25,ΔΟΥΡΔΟΥΜΠΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΑΡΚΟΥΔΑ ΕΥΘΥΜΙΑ (ΕΦΗ) του Αθανασίου,ΜΑΥΡΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Κυριάκου,ΠΟΖΑΡΛΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΟΥΣΙΑΣ ΛΕΩΝΙΔΑΣ του Αθανασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΑΚΡΙΔΗΣ ΦΩΤΙΟΣ του Ευαγγέλου,ΜΑΤΣΑΚΙΔΟΥ ΑΝΘΙΑ του Βασιλείου -  Ελευθερίου,ΜΠΟΣΝΕΑ ΣΟΦΙΑ του Ιωάννη,ΧΑΪΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΡΕΝΤΖΟΥΛΑΣ ΑΝΔΡΕΑΣ του Γεωργίου ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΕΥΣΤΡΑΤΙΟΣ του Ευθυμίου
11 - Πέλλας,1 E.T. Δήμου Αλμωπίας,546,348,10,3,13,335,77,1,10,3,52,24,4,150,28,28,51,11,63,28,8,2,0,6,1,35,4,1,3,30,4,4,7,0,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,23,4,10,0,7,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,11,3,3,3,1,1,2,0,0,0,0,0,0,3,0
11 - Πέλλας,2 E.T. Δήμου Αλμωπίας,536,329,8,0,8,321,91,3,6,5,57,36,4,133,26,22,64,14,46,27,17,5,2,7,4,32,11,1,2,28,1,4,3,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,4,13,3,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,3,0,0,4,0,0,0,0,0,0,6,0
11 - Πέλλας,3 E.T. Δήμου Αλμωπίας,539,305,4,0,4,301,79,5,9,5,42,32,2,121,22,21,59,2,58,15,18,6,4,8,3,48,12,2,3,43,1,5,2,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,11,2,1,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,7,0
11 - Πέλλας,4 E.T. Δήμου Αλμωπίας,544,341,6,3,9,332,96,10,10,11,52,39,6,142,20,41,62,10,61,22,9,3,2,3,1,36,13,1,3,26,2,2,3,3,0,0,0,1,2,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,20,3,8,0,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,3,2,0,3,0,0,0,0,0,0,3,0
11 - Πέλλας,5 E.T. Δήμου Αλμωπίας,531,318,7,2,9,309,90,13,8,4,55,32,4,113,24,11,44,15,49,15,7,1,3,5,1,51,9,2,2,45,4,5,6,4,0,0,0,0,4,11,0,2,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,19,6,4,2,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,1,0,1,1,1,0,0,0,0,4,0
11 - Πέλλας,6 E.T. Δήμου Αλμωπίας,530,311,5,1,6,305,72,7,6,4,41,19,3,134,28,27,51,7,52,17,11,4,3,7,5,35,5,2,2,29,4,0,6,3,0,2,1,1,3,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,21,3,11,0,9,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,2,1,0,1,4,0,0,0,0,0,0,8,0
11 - Πέλλας,7 E.T. Δήμου Αλμωπίας,530,321,4,1,5,316,83,6,3,2,48,30,2,125,19,23,44,6,50,25,13,4,7,8,0,44,4,6,2,36,12,7,8,3,0,2,0,1,3,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,2,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,3,1,0,4,0,0,0,0,0,0,5,0
11 - Πέλλας,8 E.T. Δήμου Αλμωπίας,531,309,4,2,6,303,85,5,7,2,47,27,3,137,11,32,65,13,49,22,5,0,0,1,1,33,4,2,2,28,2,3,8,6,0,0,0,0,4,4,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,13,3,4,1,0,3,0,0,0,0,0,0,0,2,2,2,0,0,0,0,11,4,2,1,3,1,2,0,0,0,0,0,0,1,0
11 - Πέλλας,9 E.T. Δήμου Αλμωπίας,506,315,2,2,4,311,85,9,3,5,51,43,4,104,11,12,37,12,52,21,23,5,2,13,5,39,10,1,5,2,6,3,11,0,0,2,0,0,3,5,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,26,7,9,1,5,0,6,0,0,0,0,0,0,2,1,1,0,0,0,0,7,0,1,3,0,0,4,1,2,1,0,0,0,3,3
11 - Πέλλας,10 E.T. Δήμου Αλμωπίας,299,158,1,1,2,156,37,3,1,15,20,19,2,61,7,3,34,8,28,13,7,1,1,4,0,26,11,0,3,20,8,5,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,4,3,4,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11 - Πέλλας,11 E.T. Δήμου Αλμωπίας,324,172,2,0,2,170,33,3,2,1,17,16,1,80,22,5,50,6,24,24,6,0,0,3,1,22,4,0,0,20,4,10,2,0,0,2,0,0,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,1,3,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8,6
11 - Πέλλας,12 E.T. Δήμου Αλμωπίας,549,270,5,0,5,265,55,5,4,4,24,24,5,105,28,10,54,13,25,27,19,2,5,10,4,43,10,2,6,25,29,0,9,6,0,2,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,1,4,3,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,2,1,0,1,0,0,0,0,0,0,5,0
11 - Πέλλας,13 E.T. Δήμου Αλμωπίας,538,286,1,3,4,282,60,9,14,8,30,19,2,130,40,7,43,22,63,40,21,2,3,14,0,32,6,0,1,19,19,1,8,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,7,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,2,0,0,0,0,0,0,6,0
11 - Πέλλας,14 E.T. Δήμου Αλμωπίας,551,283,2,5,7,276,56,8,2,8,26,24,2,136,25,9,49,17,61,39,15,0,1,9,8,39,7,2,3,26,22,3,7,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,4,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,3,0
11 - Πέλλας,15 E.T. Δήμου Αλμωπίας,436,254,2,5,7,247,74,4,9,2,46,32,2,103,8,11,36,0,49,31,12,3,5,3,4,16,5,2,2,8,3,1,4,1,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,1,3,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,2,3,1,1,3,0,0,0,0,0,0,3,0
11 - Πέλλας,16 E.T. Δήμου Αλμωπίας,506,312,0,4,4,308,63,5,2,1,24,32,6,184,17,24,72,5,88,51,7,0,2,3,0,8,0,0,0,5,1,0,5,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,7,6,0,8,1,1,0,0,0,0,0,0,4,2,2,0,0,0,0,5,2,0,1,2,1,0,0,0,0,0,0,0,5,2
11 - Πέλλας,17 E.T. Δήμου Αλμωπίας,532,297,7,1,8,289,75,2,16,4,49,13,6,152,53,21,53,23,59,18,18,1,2,5,1,18,9,0,0,10,1,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12,2,2,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
11 - Πέλλας,18 E.T. Δήμου Αλμωπίας,398,303,9,2,11,292,50,1,0,5,20,28,0,181,20,26,44,8,73,68,5,1,1,2,1,24,20,1,5,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,4,3,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,2,2,2,0,1,0,0,0,0,0,0,0,3,0
11 - Πέλλας,19 E.T. Δήμου Αλμωπίας,300,192,4,4,8,184,38,0,3,3,20,20,0,93,8,21,28,6,34,37,4,2,0,3,0,13,10,1,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,4,1,17,2,4,3,2,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,3,2
11 - Πέλλας,20 E.T. Δήμου Αλμωπίας,355,187,1,5,6,181,62,9,4,0,37,28,2,38,4,4,16,1,20,9,5,0,0,0,0,34,9,0,4,24,2,2,13,5,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,2,0,2,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,11,6,3,2,4,0,6,0,0,0,0,0,0,0,0
11 - Πέλλας,21 E.T. Δήμου Αλμωπίας,448,254,1,2,3,251,94,9,5,6,51,38,8,73,19,13,26,2,34,20,6,3,0,3,1,39,7,0,2,36,8,6,11,7,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,3,6,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,1,2,3,0,0,0,0,0,0,5,0
11 - Πέλλας,22 E.T. Δήμου Αλμωπίας,352,242,2,1,3,239,71,1,0,3,16,49,0,102,10,9,50,1,43,30,13,3,3,3,2,20,4,0,6,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,15,5,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,6,2,0,0,0,0,0,0,0,4,0
11 - Πέλλας,23 E.T. Δήμου Αλμωπίας,355,256,7,7,14,242,73,3,6,3,32,51,1,105,14,15,36,2,46,27,10,4,1,4,2,23,10,0,8,10,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,13,3,5,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,4,0
11 - Πέλλας,24 E.T. Δήμου Αλμωπίας,443,298,3,5,8,290,90,3,1,2,34,69,1,99,3,11,49,1,36,21,10,2,2,5,0,35,4,0,11,27,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,37,10,10,2,7,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0
11 - Πέλλας,25 E.T. Δήμου Αλμωπίας,496,287,4,3,7,280,84,2,2,3,52,53,1,120,13,27,34,8,45,32,9,1,1,1,2,22,13,1,2,11,2,3,4,1,2,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,23,3,8,1,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,1,4,0,2,0,0,0,0,0,0,1,0
11 - Πέλλας,26 E.T. Δήμου Αλμωπίας,300,179,7,3,10,169,41,3,1,1,27,22,2,80,12,5,44,4,36,21,12,4,3,8,1,14,7,0,4,7,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0
11 - Πέλλας,27 E.T. Δήμου Αλμωπίας,391,233,0,0,0,233,62,7,3,9,39,24,1,94,27,15,49,6,36,9,17,7,6,13,4,32,16,1,0,21,1,9,6,3,0,2,0,1,4,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,9,4,2,1,1,1,2,0,0,0,0,0,0,2,2,2,0,0,0,0,7,2,1,1,1,2,0,0,0,0,0,0,0,0,0
11 - Πέλλας,28 E.T. Δήμου Αλμωπίας,461,288,11,0,11,277,64,6,10,6,39,25,2,85,30,10,48,3,28,11,13,4,3,12,3,49,19,1,10,37,7,2,16,9,2,2,1,0,6,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,4,5,4,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,3,3,0,1,0,0,0,0,0,0,7,0
11 - Πέλλας,29 E.T. Δήμου Αλμωπίας,483,285,1,2,3,282,80,6,12,6,37,40,5,92,16,14,50,6,26,15,15,2,2,7,2,54,17,0,1,40,8,1,5,2,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3,2,0,3,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,7,2,1,1,1,1,0,0,0,0,0,0,0,6,0
11 - Πέλλας,30 E.T. Δήμου Αλμωπίας,273,197,0,3,3,194,60,2,11,3,13,44,0,88,4,3,66,7,20,10,13,2,2,10,1,10,0,1,1,2,5,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,1,0,2,0,2,0,0,0,0,0,0,0,0
11 - Πέλλας,31 E.T. Δήμου Αλμωπίας,373,261,3,3,6,255,60,5,3,1,14,49,1,128,10,4,84,6,39,25,15,3,3,7,2,21,5,0,3,11,10,1,8,3,1,1,0,0,2,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,1,3,0,0,1,0,0,0,4,3
11 - Πέλλας,32 E.T. Δήμου Αλμωπίας,297,186,5,0,5,181,54,7,3,6,29,24,2,70,5,8,24,10,23,13,7,1,2,1,0,17,6,1,0,15,2,0,4,2,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,5,9,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,6,0
11 - Πέλλας,33 E.T. Δήμου Αλμωπίας,354,212,3,4,7,205,75,5,7,7,40,38,1,68,12,2,45,1,17,18,8,1,3,4,1,19,8,1,0,13,3,2,9,3,0,3,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0
11 - Πέλλας,34 E.T. Δήμου Αλμωπίας,407,238,4,1,5,233,60,3,7,13,24,23,1,110,13,8,76,6,38,33,10,4,1,5,2,16,3,0,3,8,3,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,18,1,7,3,1,3,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11 - Πέλλας,35 E.T. Δήμου Αλμωπίας,431,228,2,2,4,224,53,5,2,2,20,27,3,92,13,5,43,4,36,23,7,2,1,3,4,30,7,0,2,16,2,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,4,1,1,0,1,0,15,2,3,1,0,1,2,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,1,1,0,0,4,1,0,1,1,0,0,7,1
11 - Πέλλας,36 E.T. Δήμου Αλμωπίας,404,245,1,2,3,242,41,5,3,6,14,12,6,129,13,20,75,8,46,18,12,1,3,2,1,17,1,0,0,12,8,1,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,4,4,1,5,1,0,1,0,1,1,0,0,5,0,0,1,0,0,0,4,0,1,2,1,0,1,0,0,0,0,0,0,3,0
11 - Πέλλας,37 E.T. Δήμου Αλμωπίας,467,319,4,2,6,313,29,2,2,6,15,14,1,231,33,30,76,34,100,56,6,2,0,0,2,7,3,0,1,3,1,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,5,0,22,2,7,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,2
11 - Πέλλας,38 E.T. Δήμου Αλμωπίας,451,305,7,1,8,297,34,3,1,5,11,17,0,210,34,18,65,22,75,61,17,1,1,5,3,8,2,1,1,5,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,7,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,1,1,0,0,1,1
11 - Πέλλας,39 E.T. Δήμου Αλμωπίας,455,313,3,6,9,304,37,1,0,1,9,23,1,195,39,23,67,31,86,34,8,1,0,1,1,13,4,2,4,5,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,26,0,5,1,10,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,10,1,2,0,2,0,1,0,0,0,0,0,0,4,0
11 - Πέλλας,40 E.T. Δήμου Αλμωπίας,481,333,3,2,5,328,44,0,2,6,13,23,3,204,26,22,56,19,76,69,9,2,0,2,1,16,6,0,0,7,3,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,27,4,0,1,10,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,2,1,1,2,1,0,0,0,0,0,0,8,0
11 - Πέλλας,41 E.T. Δήμου Αλμωπίας,500,334,0,1,1,333,150,6,11,8,48,108,3,125,15,17,80,1,20,29,12,3,2,3,4,23,6,4,2,7,11,2,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,3,0,1,0,2,0,0,0,0,0,0,2,2,2,1,0,0,0,6,4,0,0,2,1,0,0,0,0,0,0,0,1,0
11 - Πέλλας,42 E.T. Δήμου Αλμωπίας,421,260,7,4,11,249,74,3,6,2,31,44,2,112,20,17,32,4,62,17,6,1,0,1,2,27,14,0,1,21,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,5,0
11 - Πέλλας,43 E.T. Δήμου Αλμωπίας,453,320,2,5,7,313,107,5,10,8,54,61,2,109,29,19,33,3,60,18,8,3,2,2,4,41,21,0,1,8,4,1,4,2,0,1,0,0,1,5,0,0,1,0,1,1,1,1,0,0,0,3,3,1,1,0,1,0,18,5,5,1,4,3,2,0,0,0,0,0,0,3,2,2,1,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,6,3
11 - Πέλλας,44 E.T. Δήμου Αλμωπίας,400,258,0,0,0,258,91,2,15,5,49,60,2,93,17,21,28,5,51,21,4,0,1,3,1,37,14,1,4,29,7,0,4,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,5,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,6,0
11 - Πέλλας,45 E.T. Δήμου Αλμωπίας,389,223,4,1,5,218,66,2,7,13,24,31,16,74,14,11,32,4,19,15,7,0,1,3,1,34,10,0,6,21,3,1,4,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,12,3,5,6,0,0,1,0,0,0,0,0,0,3,0
