ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΓΛΙΑ ΕΙΡΗΝΗ του Νικολάου,ΚΑΚΛΑΜΑΝΗΣ ΝΙΚΟΛΑΟΣ του Σταματίου,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Νέα Δημοκρατία,ΚΑΡΑΓΙΑΝΝΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΣΤΕΦΑΝΑΔΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Ισίδωρου,ΣΤΕΦΑΝΗΣ ΝΙΚΟΛΑΟΣ του Αριστόδημου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΑΒΙΤΣΑΝΟΣ ΒΑΣΙΛΕΙΟΣ του Ζώη,Κίνημα Αλλαγής,ΒΟΥΛΓΑΡΗ ΝΙΚΗ του Ευαγγέλου,ΓΑΪΤΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αβέρκιου,ΚΟΥΜΑΣ ΕΛΕΥΘΕΡΙΟΣ του Χριστόδουλου,Κ.Κ.Ε.,ΒΡΥΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΚΑΡΟΥΤΣΟΣ ΦΑΝΟΥΡΙΟΣ του Θεοδώρου,ΠΕΡΡΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,Ένωση Κεντρώων,ΜΑΣΤΡΑΠΑ ΑΓΑΘΗ του Αθανασίου,ΠΑΛΤΑΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΛΑΓΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΛΟΥΚΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,Ελλήνων Συνέλευσις,ΔΟΜΑΝΗ ΕΥΔΟΚΙΑ του Αριστείδη - Ευάγγελου,ΣΤΑΜΑΤΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Κωνσταντίνου,ΤΣΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΙΑΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σπυρίδωνος,ΚΟΥΤΖΑΣ ΑΝΔΡΕΑΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΚΕΛΕΣΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΝΙΚΟΛΑΟΥ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,ΠΑΠΑΚΩΣΤΑ ΜΥΡΤΩ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΟΡΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παντελή,Λαϊκή Ενότητα,ΚΡΑΤΣΑ ΕΥΓΕΝΙΑ του Δημητρίου,ΜΠΟΥΣΟΥΛΑΣ ΖΑΧΑΡΙΑΣ του Θεοδώρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ - ΣΤΑΘΑΚΙΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΑΝΔΡΕΟΥ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΤΡΥΠΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΞΕΝΑΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ
50 - Σάμου,56 E.T. Δήμου Ανατολικής Σάμου,332,177,4,3,7,170,50,4,22,11,72,11,38,17,7,5,11,1,0,4,12,4,0,2,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0,2,0,1,1,5,4,0,0,6,4
50 - Σάμου,57 E.T. Δήμου Ανατολικής Σάμου,399,214,2,0,2,212,61,5,21,23,81,6,47,20,14,5,16,7,2,5,17,8,3,4,1,0,1,0,0,1,0,0,0,0,0,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7
50 - Σάμου,58 E.T. Δήμου Ανατολικής Σάμου,115,20,0,0,0,20,6,0,2,0,10,1,7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50 - Σάμου,59 E.T. Δήμου Ανατολικής Σάμου,541,225,2,2,4,221,45,7,24,4,102,15,21,59,12,8,8,2,0,6,24,10,3,5,1,0,0,1,0,0,0,3,1,0,0,10,1,9,1,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,8,4
50 - Σάμου,60 E.T. Δήμου Ανατολικής Σάμου,540,250,5,3,8,242,56,10,36,2,99,6,30,59,16,12,8,2,0,6,33,6,1,17,3,1,1,0,0,0,0,0,0,0,0,18,5,10,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,3,0
50 - Σάμου,61 E.T. Δήμου Ανατολικής Σάμου,539,212,3,5,8,204,56,9,27,4,81,9,20,49,8,6,12,2,0,7,19,5,3,9,3,2,1,0,0,0,0,5,4,1,0,11,1,7,2,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,2,0
50 - Σάμου,62 E.T. Δήμου Ανατολικής Σάμου,442,256,8,3,11,245,46,4,20,9,103,15,25,55,27,11,15,3,1,5,23,2,3,11,4,0,0,0,0,0,0,3,1,1,0,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,6,3
50 - Σάμου,63 E.T. Δήμου Ανατολικής Σάμου,496,247,6,5,11,236,38,5,24,5,110,17,34,52,13,9,14,1,2,10,31,3,2,18,5,1,2,1,0,0,0,2,1,1,0,5,2,1,1,0,0,1,2,1,0,0,0,0,0,0,8,7,4,2,2,2
50 - Σάμου,64 E.T. Δήμου Ανατολικής Σάμου,541,193,0,2,2,191,41,2,26,4,85,23,19,34,8,2,24,0,1,19,8,4,0,4,1,0,0,1,1,0,0,2,2,0,0,13,7,2,0,0,0,0,0,0,4,3,0,0,0,0,3,1,0,0,1,0
50 - Σάμου,65 E.T. Δήμου Ανατολικής Σάμου,453,274,4,7,11,263,53,13,15,3,109,28,31,25,16,7,22,2,3,12,21,8,0,5,2,1,0,0,0,3,2,6,2,0,0,7,0,1,1,0,0,0,0,0,6,2,0,0,0,0,6,3,4,2,7,0
50 - Σάμου,66 E.T. Δήμου Ανατολικής Σάμου,542,226,7,4,11,215,45,5,19,2,80,13,19,41,16,6,31,0,0,24,19,4,1,5,2,0,0,0,0,1,1,1,1,0,0,3,0,2,1,0,0,0,0,0,8,6,1,0,0,0,6,3,0,0,1,0
50 - Σάμου,67 E.T. Δήμου Ανατολικής Σάμου,456,235,5,1,6,229,73,10,35,9,85,15,14,53,6,3,10,3,0,4,9,5,1,1,4,1,0,0,0,0,0,1,1,0,0,11,5,3,2,0,0,0,0,0,7,4,1,1,0,0,9,2,4,2,7,5
50 - Σάμου,68 E.T. Δήμου Ανατολικής Σάμου,452,239,3,2,5,234,68,3,33,4,95,13,25,51,7,3,13,1,2,5,19,10,4,1,2,0,1,0,0,1,0,0,0,0,0,8,3,3,1,0,1,0,0,0,6,3,0,0,0,0,6,2,1,0,7,1
50 - Σάμου,69 E.T. Δήμου Ανατολικής Σάμου,443,226,1,4,5,221,63,9,36,4,91,9,11,64,16,4,8,1,0,5,7,3,0,0,0,0,0,0,0,0,0,1,0,0,1,9,6,2,2,0,0,0,0,0,2,1,0,0,0,0,4,2,10,2,8,3
50 - Σάμου,70 E.T. Δήμου Ανατολικής Σάμου,436,252,5,1,6,246,61,11,30,6,110,18,21,61,12,4,15,5,0,5,17,9,0,5,1,1,0,0,0,0,0,0,0,0,0,10,4,0,4,0,2,0,0,0,3,2,1,0,0,0,7,3,1,1,4,0
50 - Σάμου,71 E.T. Δήμου Ανατολικής Σάμου,401,188,4,4,8,180,46,8,15,10,72,19,13,35,11,4,18,0,1,15,10,5,1,3,1,1,0,0,0,0,0,4,4,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,9,8
50 - Σάμου,72 E.T. Δήμου Ανατολικής Σάμου,482,206,1,1,2,204,67,7,30,14,85,16,15,52,4,3,11,1,1,7,13,7,0,5,1,0,1,0,0,0,0,6,4,1,0,11,2,4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0
50 - Σάμου,73 E.T. Δήμου Ανατολικής Σάμου,419,165,7,0,7,158,42,7,22,5,82,25,23,29,4,3,7,0,0,5,10,6,0,1,2,1,1,0,0,0,0,1,1,0,0,6,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2
50 - Σάμου,74 E.T. Δήμου Ανατολικής Σάμου,197,91,3,1,4,87,23,7,8,1,38,6,8,23,2,0,2,0,0,0,13,7,2,3,3,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
50 - Σάμου,75 E.T. Δήμου Ανατολικής Σάμου,268,272,7,2,9,263,81,23,23,8,94,21,15,34,16,8,20,1,2,12,15,7,4,0,5,1,2,0,0,0,0,1,0,1,0,18,4,5,2,1,0,0,0,0,1,0,0,0,0,0,5,1,2,1,3,2
50 - Σάμου,76 E.T. Δήμου Ανατολικής Σάμου,197,72,0,0,0,72,24,1,12,2,20,3,6,8,9,1,10,0,6,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50 - Σάμου,77 E.T. Δήμου Ανατολικής Σάμου,341,126,1,0,1,125,50,5,20,4,35,6,11,15,4,0,14,1,2,10,4,2,0,1,3,3,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,4,0,0,0,0,3,1,1,1,1,1
50 - Σάμου,78 E.T. Δήμου Ανατολικής Σάμου,218,98,0,0,0,98,23,4,11,3,35,4,12,17,5,4,8,1,0,5,19,4,1,8,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
50 - Σάμου,79 E.T. Δήμου Ανατολικής Σάμου,274,106,1,2,3,103,32,3,14,4,22,4,14,2,12,6,7,0,1,6,16,7,1,4,1,0,0,0,0,1,1,1,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0
50 - Σάμου,80 E.T. Δήμου Ανατολικής Σάμου,363,146,3,1,4,142,43,9,21,4,42,7,13,21,11,5,3,0,0,1,20,16,1,1,1,0,1,0,0,0,0,0,0,0,0,10,0,4,1,0,0,1,0,0,2,2,0,0,0,0,6,4,0,0,3,3
50 - Σάμου,81 E.T. Δήμου Ανατολικής Σάμου,306,132,8,2,10,122,37,2,14,10,29,3,10,15,6,2,36,0,0,34,6,0,0,2,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1
50 - Σάμου,82 E.T. Δήμου Ανατολικής Σάμου,314,131,3,1,4,127,39,4,14,11,31,3,9,4,4,3,22,1,0,20,9,4,1,3,0,0,0,0,0,0,0,1,0,1,0,10,3,5,0,0,0,0,0,0,3,2,3,0,0,2,2,2,0,0,3,2
50 - Σάμου,83 E.T. Δήμου Δυτικής Σάμου,546,293,6,2,8,285,93,17,46,11,114,32,50,25,6,4,17,2,6,4,19,1,2,12,1,0,0,0,0,0,0,1,0,1,0,12,6,3,4,3,0,1,0,0,4,1,1,0,0,1,5,4,1,1,7,4
50 - Σάμου,84 E.T. Δήμου Δυτικής Σάμου,517,309,3,5,8,301,99,16,54,14,107,40,33,21,7,6,16,4,7,1,21,8,0,7,4,1,0,0,0,3,1,1,0,0,1,14,6,5,3,0,0,2,0,0,2,1,0,0,0,0,16,5,3,2,5,4
50 - Σάμου,85 E.T. Δήμου Δυτικής Σάμου,521,303,7,2,9,294,93,13,43,12,115,31,47,31,10,5,14,5,4,4,23,7,3,9,4,0,1,0,0,0,0,0,0,0,0,11,4,4,2,0,0,1,0,0,2,1,0,0,0,0,8,4,2,1,10,7
50 - Σάμου,86 E.T. Δήμου Δυτικής Σάμου,540,308,5,6,11,297,95,15,55,8,117,42,47,18,8,7,15,5,6,3,24,7,3,10,2,0,1,0,0,1,0,3,2,0,0,9,4,1,7,6,0,1,0,0,1,0,1,0,0,0,11,8,1,0,2,1
50 - Σάμου,87 E.T. Δήμου Δυτικής Σάμου,446,310,12,5,17,293,80,23,34,4,97,33,31,20,32,13,17,4,8,1,24,6,0,12,1,0,1,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,5,2,0,0,0,0,8,5,0,0,11,3
50 - Σάμου,88 E.T. Δήμου Δυτικής Σάμου,556,297,4,1,5,292,90,14,45,11,115,51,41,20,9,5,18,3,8,5,28,2,4,19,2,1,1,0,0,2,2,1,1,0,0,13,9,4,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,1,5,4
50 - Σάμου,89 E.T. Δήμου Δυτικής Σάμου,544,303,9,3,12,291,89,14,43,17,118,41,39,33,9,6,11,0,2,5,27,3,1,18,2,1,0,1,1,1,1,0,0,0,0,11,5,4,10,3,3,3,1,1,0,0,0,0,0,0,9,5,2,0,0,0
50 - Σάμου,90 E.T. Δήμου Δυτικής Σάμου,559,252,6,4,10,242,75,11,39,5,100,36,35,24,9,3,17,2,5,3,15,3,1,8,2,0,1,0,0,1,1,0,0,0,0,8,3,2,4,2,0,1,0,0,0,0,2,0,0,0,5,2,1,0,3,1
50 - Σάμου,91 E.T. Δήμου Δυτικής Σάμου,556,298,7,2,9,289,84,18,48,8,132,54,50,20,4,3,13,4,3,3,18,5,1,9,1,1,0,0,0,1,1,0,0,0,0,8,1,5,3,2,0,0,1,0,1,0,1,1,0,0,12,6,2,2,8,6
50 - Σάμου,92 E.T. Δήμου Δυτικής Σάμου,559,283,4,2,6,277,90,16,47,9,102,38,33,25,13,9,18,4,8,4,21,6,1,9,5,2,0,0,0,1,0,3,1,1,0,11,4,4,2,2,0,0,0,0,0,0,1,0,0,1,5,3,1,1,4,1
50 - Σάμου,93 E.T. Δήμου Δυτικής Σάμου,458,255,7,2,9,246,75,6,44,7,88,30,31,23,9,4,10,2,5,2,17,4,3,7,6,2,1,0,0,2,0,1,1,0,0,7,4,2,9,4,2,3,0,0,3,1,2,0,0,2,12,6,1,0,4,2
50 - Σάμου,94 E.T. Δήμου Δυτικής Σάμου,162,73,0,0,0,73,23,6,16,1,20,7,12,1,0,0,1,0,0,1,22,1,3,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3
50 - Σάμου,95 E.T. Δήμου Δυτικής Σάμου,166,92,1,0,1,91,31,3,19,2,42,9,18,14,3,2,2,0,0,2,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
50 - Σάμου,96 E.T. Δήμου Δυτικής Σάμου,296,128,2,3,5,123,35,7,19,4,45,17,13,9,3,2,5,4,0,0,23,3,1,13,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,2,1,2,1
50 - Σάμου,97 E.T. Δήμου Δυτικής Σάμου,418,180,6,1,7,173,18,2,9,0,95,3,18,24,3,2,6,0,3,0,44,1,0,42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
50 - Σάμου,98 E.T. Δήμου Δυτικής Σάμου,527,239,3,2,5,234,81,16,38,8,65,15,33,12,8,6,18,2,10,3,34,9,3,14,1,0,1,0,0,0,0,0,0,0,0,11,4,4,3,2,0,0,0,0,1,0,1,0,1,0,5,3,0,0,6,4
50 - Σάμου,99 E.T. Δήμου Δυτικής Σάμου,587,266,1,3,4,262,76,7,38,9,66,18,22,20,7,4,31,2,13,7,62,25,4,24,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1,1,0,2,1,0,0,1,1,0,0,4,1,1,1,5,1
50 - Σάμου,100 E.T. Δήμου Δυτικής Σάμου,191,112,7,3,10,102,52,11,29,6,28,14,12,2,5,2,5,1,1,2,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
50 - Σάμου,101 E.T. Δήμου Δυτικής Σάμου,372,166,1,1,2,164,47,16,19,5,38,16,7,7,4,2,26,3,3,11,32,4,5,19,0,0,0,0,0,1,0,0,0,0,0,6,3,2,1,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,5,3
50 - Σάμου,102 E.T. Δήμου Δυτικής Σάμου,391,142,2,1,3,139,44,11,14,6,38,21,6,7,9,6,13,3,6,2,21,2,2,10,1,1,0,0,0,0,0,1,1,0,0,2,2,0,1,1,0,0,0,0,1,1,2,0,0,0,5,1,0,0,1,0
50 - Σάμου,103 E.T. Δήμου Δυτικής Σάμου,333,131,2,1,3,128,44,10,24,4,35,16,11,6,2,1,12,0,4,5,23,3,1,15,0,0,0,0,0,1,1,0,0,0,0,7,3,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
50 - Σάμου,104 E.T. Δήμου Δυτικής Σάμου,326,111,1,1,2,109,37,4,20,5,30,18,10,2,2,1,14,2,5,1,12,1,1,6,0,0,0,0,0,1,1,0,0,0,0,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4
50 - Σάμου,105 E.T. Δήμου Δυτικής Σάμου,534,220,3,2,5,215,48,6,33,3,99,20,29,49,10,6,9,1,0,6,35,4,4,24,1,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2,2,1,0,0,0
50 - Σάμου,106 E.T. Δήμου Δυτικής Σάμου,465,225,5,2,7,218,51,7,18,14,66,25,21,14,10,5,22,2,8,5,39,2,4,23,1,1,0,0,0,4,1,1,1,0,0,8,4,0,4,0,0,3,0,0,0,0,0,0,0,0,9,3,2,0,1,0
50 - Σάμου,107 E.T. Δήμου Δυτικής Σάμου,479,228,9,1,10,218,60,8,8,19,60,26,21,8,7,4,17,1,2,8,37,1,2,20,4,1,0,0,0,3,2,0,0,0,0,9,1,1,2,1,0,0,0,0,7,5,0,0,0,0,3,1,3,2,6,1
50 - Σάμου,108 E.T. Δήμου Δυτικής Σάμου,460,237,5,1,6,231,77,9,18,10,59,14,15,18,14,2,16,5,2,3,42,4,3,27,1,0,0,0,0,1,1,0,0,0,0,7,0,2,1,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,6,0
50 - Σάμου,109 E.T. Δήμου Δυτικής Σάμου,460,202,1,3,4,198,46,6,18,12,58,24,20,11,8,3,19,2,6,8,43,9,3,26,1,1,0,1,0,2,1,0,0,0,0,6,3,1,2,1,1,0,0,0,1,0,1,1,0,0,5,3,1,0,4,3
50 - Σάμου,110 E.T. Δήμου Δυτικής Σάμου,465,220,1,1,2,218,64,10,32,12,69,25,23,17,11,2,10,3,0,3,37,4,3,29,0,0,0,0,0,2,2,0,0,0,0,7,3,2,2,2,0,0,0,0,1,1,0,0,0,0,4,3,2,2,9,5
50 - Σάμου,111 E.T. Δήμου Δυτικής Σάμου,268,107,2,0,2,105,39,9,11,4,36,17,9,7,1,0,19,0,2,16,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50 - Σάμου,112 E.T. Δήμου Δυτικής Σάμου,447,228,6,1,7,221,94,15,26,7,53,20,18,6,6,3,36,5,14,10,18,1,0,9,3,1,0,0,0,3,0,1,0,0,1,2,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
50 - Σάμου,113 E.T. Δήμου Δυτικής Σάμου,92,50,0,1,1,49,20,2,10,2,6,2,2,0,5,1,5,1,0,1,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,1,1
50 - Σάμου,114 E.T. Δήμου Δυτικής Σάμου,156,101,1,3,4,97,29,6,14,1,23,5,1,13,0,0,26,0,16,10,6,2,0,2,4,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,2
50 - Σάμου,Ετερ. Σάμου (από 129ο Ε.Τ. Νομ. Αττικής-Αθηνών),477,272,1,0,1,271,77,28,18,15,101,29,43,14,2,0,11,3,1,2,46,4,17,4,3,1,0,0,0,3,2,0,0,0,0,7,2,1,0,0,0,0,0,0,2,1,2,0,0,1,7,2,3,0,7,1
50 - Σάμου,Ετερ. Σάμου (από 130ο Ε.Τ. Νομ. Αττικής-Αθηνών),488,298,2,1,3,295,91,33,16,21,115,32,55,13,6,1,25,3,3,13,29,6,13,4,1,1,0,0,0,2,1,0,0,0,0,7,1,2,1,1,0,0,1,0,2,0,2,1,0,1,8,7,2,0,3,0
50 - Σάμου,Ετερ. Σάμου (από 24ο Ε.Τ. Νομ. Αττικής-Πειραιώς),150,81,1,1,2,79,21,8,3,7,23,8,6,2,1,0,5,5,0,0,19,3,8,6,2,2,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Σύνολο,,49508,25159,465,242,707,24452,7111,2066,2354,831,8345,1966,3268,2211,869,431,1674,457,281,504,3537,560,1441,803,216,71,35,10,2,96,38,136,47,32,41,806,274,242,113,46,16,21,39,16,141,68,78,28,4,13,687,327,122,54,472,241
